observationUnitName,observationVariableName,value,timestamp,image_name,person,subplot_id,,timestamp
B4I_2025_PM3D_NY_01_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_33_53.904-04_00,741910_Emergence|day 128|COMP:0000130_2025-05-08 10_33_53.904-04_00,Peter,741910,,2025-05-08 10:33:53.904-04:00
B4I_2025_PM3D_NY_01_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_34_55.073-04_00,741911_Emergence|day 128|COMP:0000130_2025-05-08 10_34_55.073-04_00,Peter,741911,,2025-05-08 10:34:55.073-04:00
B4I_2025_PM3D_NY_01_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_35_15.414-04_00,741912_Emergence|day 128|COMP:0000130_2025-05-08 10_35_15.414-04_00,Peter,741912,,2025-05-08 10:35:15.414-04:00
B4I_2025_PM3D_NY_02_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_35_42.473-04_00,741859_Emergence|day 128|COMP:0000130_2025-05-08 10_35_42.473-04_00,Peter,741859,,2025-05-08 10:35:42.473-04:00
B4I_2025_PM3D_NY_02_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_36_02.893-04_00,741860_Emergence|day 128|COMP:0000130_2025-05-08 10_36_02.893-04_00,Peter,741860,,2025-05-08 10:36:02.893-04:00
B4I_2025_PM3D_NY_02_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_36_23.759-04_00,741861_Emergence|day 128|COMP:0000130_2025-05-08 10_36_23.759-04_00,Peter,741861,,2025-05-08 10:36:23.759-04:00
B4I_2025_PM3D_NY_03_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_36_45.082-04_00,741886_Emergence|day 128|COMP:0000130_2025-05-08 10_36_45.082-04_00,Peter,741886,,2025-05-08 10:36:45.082-04:00
B4I_2025_PM3D_NY_03_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_37_04.227-04_00,741887_Emergence|day 128|COMP:0000130_2025-05-08 10_37_04.227-04_00,Peter,741887,,2025-05-08 10:37:04.227-04:00
B4I_2025_PM3D_NY_03_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_37_23.967-04_00,741888_Emergence|day 128|COMP:0000130_2025-05-08 10_37_23.967-04_00,Peter,741888,,2025-05-08 10:37:23.967-04:00
B4I_2025_PM3D_NY_04_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_37_43.371-04_00,741895_Emergence|day 128|COMP:0000130_2025-05-08 10_37_43.371-04_00,Peter,741895,,2025-05-08 10:37:43.371-04:00
