subplot_name,subplot_id,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,subplot_number,"Pea Plant Height - cm|timepoint 1			|COMP:0000122","Plant height - cm|timepoint 1			|COMP:0000114","Pea Plant Establishment - plants/ft2			|CO_xxx:0003011","Plant establishment - plants/ft2			|CO_350:0005124","Plant height - cm|timepoint 2			|COMP:0000115","Pea Plant Height - cm|timepoint 2			|COMP:0000123"
B4I_2025_PM3D_AL_401_subplot_1,738026,B4I_2025_PM3D_AL_401,ND Spilde,401,1,,1,1,2,1,,29,,30,85,
B4I_2025_PM3D_AL_401_subplot_2,738027,B4I_2025_PM3D_AL_401,ND Spilde,401,1,,1,1,2,2,,31,,31,78,
B4I_2025_PM3D_AL_401_subplot_3,738028,B4I_2025_PM3D_AL_401,ND Spilde,401,1,,1,1,2,3,,29,,29,83,
B4I_2025_PM3D_AL_402_subplot_1,738029,B4I_2025_PM3D_AL_402,SD Momentum,402,1,,1,1,1,1,27,28,5,,83,37
B4I_2025_PM3D_AL_402_subplot_2,738030,B4I_2025_PM3D_AL_402,SD Momentum,402,1,,1,1,1,2,20,31,8,,81,46
B4I_2025_PM3D_AL_402_subplot_3,738031,B4I_2025_PM3D_AL_402,SD Momentum,402,1,,1,1,1,3,23,23,8,,79,48
B4I_2025_PM3D_AL_403_subplot_1,738011,B4I_2025_PM3D_AL_403,SD Momentum,403,1,,1,2,1,1,,24,,25,70,
B4I_2025_PM3D_AL_403_subplot_2,738012,B4I_2025_PM3D_AL_403,SD Momentum,403,1,,1,2,1,2,,22,,28,72,
B4I_2025_PM3D_AL_403_subplot_3,738013,B4I_2025_PM3D_AL_403,SD Momentum,403,1,,1,2,1,3,,22,,28,80,
B4I_2025_PM3D_AL_404_subplot_1,738020,B4I_2025_PM3D_AL_404,NO_OATS_PLANTED,404,1,,1,2,2,1,23,,10,,,58
B4I_2025_PM3D_AL_404_subplot_2,738021,B4I_2025_PM3D_AL_404,NO_OATS_PLANTED,404,1,,1,2,2,2,26,,12,,,48
B4I_2025_PM3D_AL_404_subplot_3,738022,B4I_2025_PM3D_AL_404,NO_OATS_PLANTED,404,1,,1,2,2,3,24,,13,,,50
B4I_2025_PM3D_AL_405_subplot_1,738005,B4I_2025_PM3D_AL_405,ND190393,405,1,,1,3,2,1,17,27,9,33,80,50
