"trial_name","breeding_program","location","year","design_type","description","trial_type","plot_width","plot_length","field_size","planting_date","harvest_date","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","range_number","row_number","col_number","seedlot_name","num_seed_per_plot","weight_gram_seed_per_plot","entry_number","is_private","intercrop_accession_name","Plant establishment - plants/ft2|CO_350:0005124","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Plant height - cm|timepoint 4|COMP:0000117","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Pea Plant Height - cm|timepoint 4|COMP:0000125","Above ground dry biomass - g|timepoint 1|COMP:0000110","Above ground dry biomass - g|timepoint 2|COMP:0000111","Above ground dry biomass - g|timepoint 3|COMP:0000112","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Weed above ground dry biomass - g|timepoint 3|COMP:0000128","Heading date - Julian day|CO_350:0000270","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Maturity date - Julian day|CO_350:0000271","Pea Maturity Date - Julian Day|CO_xxx:0003015","Lodging severity - 0-9 Rating|CO_350:0005007","Lodging incidence - percent|CO_350:0000165","Total grain moisture content - percent|CO_350:xxx","Total grain weight - g|CO_350:xxx","Total grain yield - g/m2|CO_350:xxx","Total test weight - g/L|CO_350:xxx","Grain weight - g|CO_350:0005123","Pea Grain Weight - g|CO_xxx:0003006","Grain yield - g/m2|CO_350:0000260","Pea Grain Yield - g/m2|CO_xxx:0003008","Test weight - g/L|CO_350:0000259","Pea Test Weight - g/L|CO_xxx:0003016","Thousand grain weight - g|CO_350:0000251","Pea Thousand Grain Weight - g|CO_xxx:0003017","note"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_101","IL22-251",101,1,NA,1,1,1,1,NA,NA,24,NA,NA,"NDP170133G",25,6,38,72,83.82,NA,33,67,55.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,147,174,174,3,20,12.7,2653.5132,527.1280716,365.26375,2437.995112,197.999603,477.1027616,38.74747613,440.8193433,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_102","IL23-3730",102,1,NA,1,1,1,2,NA,NA,24,NA,NA,"NDP170185Y",18,6,34,62,81.28,NA,30,50,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,151,176,175,7,5,11.6,2444.86088,491.7983475,364.49125,2210.995567,210.999577,432.6801501,41.29150234,454.0175272,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_103","IL19-2673",103,1,NA,1,1,1,3,NA,NA,24,NA,NA,"NDP250069Y",24,5,40,79,91.44,NA,32,64,55.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,148,173,174,3,10,13.5,2653.5132,522.2975738,399.3825,2310.995367,311.9993745,452.2495825,61.05662905,465.4559533,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_104","IL23-4547",104,1,NA,1,1,1,4,NA,NA,24,NA,NA,"NDP170247Y",15,11,40,76,81.28,NA,36,50,55.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,147,172,173,1,5,14.3,2376.82208,463.5089707,430.2825,1752.996485,565.9988652,343.0521498,110.7629873,498.0114736,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_105","IL23-4835",105,1,NA,1,1,1,5,NA,NA,24,NA,NA,"NDP250040Y",26,5,41,80,86.36,NA,30,54,58.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,154,171,180,1,10,13.4,2785.05488,548.8229932,382.25875,2406.995174,336.9993243,471.0362376,65.94898715,441.6992222,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_106","IL23-4252",106,2,NA,1,1,1,6,NA,NA,24,NA,NA,"NDP170110Y",12,5,42,76,96.52,NA,40,63,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,144,176,175,3,5,15.2,2757.83936,532.1639688,445.2175,2184.995619,508.9989795,427.5920977,99.60841086,485.6931686,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_107","IL23-3673",107,2,NA,1,1,1,7,NA,NA,24,NA,NA,"NDP250130Y",17,4,42,78,91.44,NA,34,62,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,153,171,176,4,25,12.3,2585.4744,515.9652867,402.73,2175.995637,377.9992421,425.8308488,73.97245443,483.9334108,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_108","IL23-1621",108,2,NA,1,1,1,8,NA,NA,24,NA,NA,"NDP250061Y",22,8,46,80,78.74,NA,38,66,78.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,147,170,172,4,10,12.7,2381.358,473.063654,443.93,1767.996455,589.9988171,345.9875646,115.4596511,480.413895,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_109","IL21-6116",109,2,NA,1,1,1,9,NA,NA,24,NA,NA,"NDP250178Y",21,5,39,77,81.28,NA,33,48,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,146,172,173,0,0,14.3,2490.22008,485.6229483,467.74875,1847.996295,612.998771,361.6431105,119.9606205,515.6090522,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_110","IL23-3337",110,2,NA,1,1,1,10,NA,NA,24,NA,NA,"NDP250136G",25,15,33,61,83.82,NA,28,45,81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,150,174,177,1,2,12.5,2503.82784,498.532144,396.035,2031.995926,447.9991018,397.6508661,87.6710571,479.5340161,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
