"plot_name","collection_order"
"B4I_2025_AL_1001",1
"B4I_2025_AL_1002",2
"B4I_2025_AL_1003",3
"B4I_2025_AL_1004",4
"B4I_2025_AL_1005",5
"B4I_2025_AL_1006",6
"B4I_2025_AL_1007",7
"B4I_2025_AL_1008",8
"B4I_2025_AL_1009",9
"B4I_2025_AL_1010",10
"B4I_2025_AL_1011",11
"B4I_2025_AL_1012",12
"B4I_2025_AL_1013",13
"B4I_2025_AL_1014",14
"B4I_2025_AL_1015",15
"B4I_2025_AL_1016",16
"B4I_2025_AL_1017",17
"B4I_2025_AL_1018",18
"B4I_2025_AL_1019",19
"B4I_2025_AL_1020",20
"B4I_2025_AL_1021",21
"B4I_2025_AL_1022",22
"B4I_2025_AL_1023",23
"B4I_2025_AL_1024",24
"B4I_2025_AL_1025",25
"B4I_2025_AL_1026",26
"B4I_2025_AL_1027",27
"B4I_2025_AL_1028",28
"B4I_2025_AL_1029",29
"B4I_2025_AL_1030",30
"B4I_2025_AL_1031",31
"B4I_2025_AL_1032",32
"B4I_2025_AL_1033",33
"B4I_2025_AL_1034",34
"B4I_2025_AL_1035",35
"B4I_2025_AL_1036",36
"B4I_2025_AL_1037",37
"B4I_2025_AL_1038",38
"B4I_2025_AL_1039",39
"B4I_2025_AL_1040",40
"B4I_2025_AL_1041",41
"B4I_2025_AL_1042",42
"B4I_2025_AL_1043",43
"B4I_2025_AL_1044",44
"B4I_2025_AL_1045",45
"B4I_2025_AL_1046",46
"B4I_2025_AL_1047",47
"B4I_2025_AL_1368",48
"B4I_2025_AL_1049",49
"B4I_2025_AL_1050",50
"B4I_2025_AL_1051",51
"B4I_2025_AL_1052",52
"B4I_2025_AL_1053",53
"B4I_2025_AL_1054",54
"B4I_2025_AL_1055",55
"B4I_2025_AL_1056",56
"B4I_2025_AL_1057",57
"B4I_2025_AL_1058",58
"B4I_2025_AL_1059",59
"B4I_2025_AL_1060",60
"B4I_2025_AL_1061",61
"B4I_2025_AL_1062",62
"B4I_2025_AL_1063",63
"B4I_2025_AL_1064",64
"B4I_2025_AL_1065",65
"B4I_2025_AL_1066",66
"B4I_2025_AL_1067",67
"B4I_2025_AL_1068",68
"B4I_2025_AL_1069",69
"B4I_2025_AL_1070",70
"B4I_2025_AL_1071",71
"B4I_2025_AL_1072",72
"B4I_2025_AL_1073",73
"B4I_2025_AL_1074",74
"B4I_2025_AL_1075",75
"B4I_2025_AL_1076",76
"B4I_2025_AL_1077",77
"B4I_2025_AL_1078",78
"B4I_2025_AL_1079",79
"B4I_2025_AL_1080",80
"B4I_2025_AL_1081",81
"B4I_2025_AL_1082",82
"B4I_2025_AL_1083",83
"B4I_2025_AL_1084",84
"B4I_2025_AL_1085",85
"B4I_2025_AL_1086",86
"B4I_2025_AL_1087",87
"B4I_2025_AL_1088",88
"B4I_2025_AL_1089",89
"B4I_2025_AL_1090",90
"B4I_2025_AL_1091",91
"B4I_2025_AL_1092",92
"B4I_2025_AL_1093",93
"B4I_2025_AL_1094",94
"B4I_2025_AL_1095",95
"B4I_2025_AL_1096",96
"B4I_2025_AL_1097",97
"B4I_2025_AL_1098",98
"B4I_2025_AL_1099",99
"B4I_2025_AL_1100",100
"B4I_2025_AL_1101",101
"B4I_2025_AL_1102",102
"B4I_2025_AL_1103",103
"B4I_2025_AL_1104",104
"B4I_2025_AL_1105",105
"B4I_2025_AL_1106",106
"B4I_2025_AL_1107",107
"B4I_2025_AL_1108",108
"B4I_2025_AL_1109",109
"B4I_2025_AL_1110",110
"B4I_2025_AL_1111",111
"B4I_2025_AL_1112",112
"B4I_2025_AL_1048",113
"B4I_2025_AL_1114",114
"B4I_2025_AL_1115",115
"B4I_2025_AL_1116",116
"B4I_2025_AL_1117",117
"B4I_2025_AL_1118",118
"B4I_2025_AL_1119",119
