"subplot_name","collection_order"
"B4I_2025_AL_1001_subplot_1",1
"B4I_2025_AL_1001_subplot_2",1
"B4I_2025_AL_1001_subplot_3",1
"B4I_2025_AL_1002_subplot_1",2
"B4I_2025_AL_1002_subplot_2",2
"B4I_2025_AL_1002_subplot_3",2
"B4I_2025_AL_1003_subplot_1",3
"B4I_2025_AL_1003_subplot_2",3
"B4I_2025_AL_1003_subplot_3",3
"B4I_2025_AL_1004_subplot_1",4
"B4I_2025_AL_1004_subplot_2",4
"B4I_2025_AL_1004_subplot_3",4
"B4I_2025_AL_1005_subplot_1",5
"B4I_2025_AL_1005_subplot_2",5
"B4I_2025_AL_1005_subplot_3",5
"B4I_2025_AL_1006_subplot_1",6
"B4I_2025_AL_1006_subplot_2",6
"B4I_2025_AL_1006_subplot_3",6
"B4I_2025_AL_1007_subplot_1",7
"B4I_2025_AL_1007_subplot_2",7
"B4I_2025_AL_1007_subplot_3",7
"B4I_2025_AL_1008_subplot_1",8
"B4I_2025_AL_1008_subplot_2",8
"B4I_2025_AL_1008_subplot_3",8
"B4I_2025_AL_1009_subplot_1",9
"B4I_2025_AL_1009_subplot_2",9
"B4I_2025_AL_1009_subplot_3",9
"B4I_2025_AL_1010_subplot_1",10
"B4I_2025_AL_1010_subplot_2",10
"B4I_2025_AL_1010_subplot_3",10
"B4I_2025_AL_1011_subplot_1",11
"B4I_2025_AL_1011_subplot_2",11
"B4I_2025_AL_1011_subplot_3",11
"B4I_2025_AL_1012_subplot_1",12
"B4I_2025_AL_1012_subplot_2",12
"B4I_2025_AL_1012_subplot_3",12
"B4I_2025_AL_1013_subplot_1",13
"B4I_2025_AL_1013_subplot_2",13
"B4I_2025_AL_1013_subplot_3",13
"B4I_2025_AL_1014_subplot_1",14
"B4I_2025_AL_1014_subplot_2",14
"B4I_2025_AL_1014_subplot_3",14
"B4I_2025_AL_1015_subplot_1",15
"B4I_2025_AL_1015_subplot_2",15
"B4I_2025_AL_1015_subplot_3",15
"B4I_2025_AL_1016_subplot_1",16
"B4I_2025_AL_1016_subplot_2",16
"B4I_2025_AL_1016_subplot_3",16
"B4I_2025_AL_1017_subplot_1",17
"B4I_2025_AL_1017_subplot_2",17
"B4I_2025_AL_1017_subplot_3",17
"B4I_2025_AL_1018_subplot_1",18
"B4I_2025_AL_1018_subplot_2",18
"B4I_2025_AL_1018_subplot_3",18
"B4I_2025_AL_1019_subplot_1",19
"B4I_2025_AL_1019_subplot_2",19
"B4I_2025_AL_1019_subplot_3",19
"B4I_2025_AL_1020_subplot_1",20
"B4I_2025_AL_1020_subplot_2",20
"B4I_2025_AL_1020_subplot_3",20
"B4I_2025_AL_1021_subplot_1",21
"B4I_2025_AL_1021_subplot_2",21
"B4I_2025_AL_1021_subplot_3",21
"B4I_2025_AL_1022_subplot_1",22
"B4I_2025_AL_1022_subplot_2",22
"B4I_2025_AL_1022_subplot_3",22
"B4I_2025_AL_1023_subplot_1",23
"B4I_2025_AL_1023_subplot_2",23
"B4I_2025_AL_1023_subplot_3",23
"B4I_2025_AL_1024_subplot_1",24
"B4I_2025_AL_1024_subplot_2",24
