"observationUnitName","observationUnitDbId","plot.subplot","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"B4I_2025_PM3D_ND_01_subplot_1",741823,"1.1",2,NA,1,NA
"B4I_2025_PM3D_ND_01_subplot_2",741824,"1.2",1,1,NA,NA
"B4I_2025_PM3D_ND_01_subplot_3",741825,"1.3",3,NA,NA,1
"B4I_2025_PM3D_ND_02_subplot_1",741826,"2.1",3,NA,NA,1
"B4I_2025_PM3D_ND_02_subplot_2",741827,"2.2",1,1,NA,NA
"B4I_2025_PM3D_ND_02_subplot_3",741828,"2.3",2,NA,1,NA
"B4I_2025_PM3D_ND_03_subplot_1",741796,"3.1",2,NA,1,NA
"B4I_2025_PM3D_ND_03_subplot_2",741797,"3.2",1,1,NA,NA
"B4I_2025_PM3D_ND_03_subplot_3",741798,"3.3",3,NA,NA,1
"B4I_2025_PM3D_ND_04_subplot_1",741805,"4.1",2,NA,1,NA
"B4I_2025_PM3D_ND_04_subplot_2",741806,"4.2",3,NA,NA,1
"B4I_2025_PM3D_ND_04_subplot_3",741807,"4.3",1,1,NA,NA
"B4I_2025_PM3D_ND_05_subplot_1",741802,"5.1",1,1,NA,NA
"B4I_2025_PM3D_ND_05_subplot_2",741803,"5.2",3,NA,NA,1
"B4I_2025_PM3D_ND_05_subplot_3",741804,"5.3",2,NA,1,NA
"B4I_2025_PM3D_ND_06_subplot_1",741808,"6.1",3,NA,NA,1
"B4I_2025_PM3D_ND_06_subplot_2",741809,"6.2",1,1,NA,NA
"B4I_2025_PM3D_ND_06_subplot_3",741810,"6.3",2,NA,1,NA
"B4I_2025_PM3D_ND_07_subplot_1",741838,"7.1",2,NA,1,NA
"B4I_2025_PM3D_ND_07_subplot_2",741839,"7.2",3,NA,NA,1
"B4I_2025_PM3D_ND_07_subplot_3",741840,"7.3",1,1,NA,NA
"B4I_2025_PM3D_ND_08_subplot_1",741853,"8.1",1,1,NA,NA
"B4I_2025_PM3D_ND_08_subplot_2",741854,"8.2",2,NA,1,NA
"B4I_2025_PM3D_ND_08_subplot_3",741855,"8.3",3,NA,NA,1
"B4I_2025_PM3D_ND_09_subplot_1",741835,"9.1",1,1,NA,NA
"B4I_2025_PM3D_ND_09_subplot_2",741836,"9.2",2,NA,1,NA
"B4I_2025_PM3D_ND_09_subplot_3",741837,"9.3",3,NA,NA,1
"B4I_2025_PM3D_ND_10_subplot_1",741820,"10.1",3,NA,NA,1
"B4I_2025_PM3D_ND_10_subplot_2",741821,"10.2",2,NA,1,NA
"B4I_2025_PM3D_ND_10_subplot_3",741822,"10.3",1,1,NA,NA
"B4I_2025_PM3D_ND_11_subplot_1",741799,"11.1",2,NA,1,NA
"B4I_2025_PM3D_ND_11_subplot_2",741800,"11.2",1,1,NA,NA
"B4I_2025_PM3D_ND_11_subplot_3",741801,"11.3",3,NA,NA,1
"B4I_2025_PM3D_ND_12_subplot_1",741811,"12.1",2,NA,1,NA
"B4I_2025_PM3D_ND_12_subplot_2",741812,"12.2",1,1,NA,NA
"B4I_2025_PM3D_ND_12_subplot_3",741813,"12.3",3,NA,NA,1
"B4I_2025_PM3D_ND_13_subplot_1",741847,"13.1",2,NA,1,NA
"B4I_2025_PM3D_ND_13_subplot_2",741848,"13.2",1,1,NA,NA
"B4I_2025_PM3D_ND_13_subplot_3",741849,"13.3",3,NA,NA,1
"B4I_2025_PM3D_ND_14_subplot_1",741832,"14.1",2,NA,1,NA
"B4I_2025_PM3D_ND_14_subplot_2",741833,"14.2",1,1,NA,NA
"B4I_2025_PM3D_ND_14_subplot_3",741834,"14.3",3,NA,NA,1
"B4I_2025_PM3D_ND_15_subplot_1",741844,"15.1",1,1,NA,NA
