sn,Pea,Oat,combo2,category,Replication,Location,Present on field PlotNumber,Row,Column,original on T3 PlotNumber,plot_number,changed,type of change
1,NDP250174Y,IL23-260,NDP250174Y+IL23-260,unique_combos,Rep 0,1,1,1,1,1,1001,TRUE,
2,NDP170336G,IL23-963,NDP170336G+IL23-963,unique_combos,Rep 0,1,2,1,2,2,1002,TRUE,
3,NDP250149G,IL23-2956,NDP250149G+IL23-2956,unique_combos,Rep 0,1,3,1,3,3,1003,TRUE,
4,NDP250127Y,IL23-1650,NDP250127Y+IL23-1650,unique_combos,Rep 0,1,4,1,4,4,1004,TRUE,
5,NDP250049Y,IL23-723,NDP250049Y+IL23-723,unique_combos,Rep 0,1,5,1,5,5,1005,TRUE,
6,NDP160188Y,IL23-1209,NDP160188Y+IL23-1209,unique_combos,Rep 0,1,6,1,6,6,1006,TRUE,
7,NDP170052G,IL23-1206,NDP170052G+IL23-1206,unique_combos,Rep 0,1,7,1,7,7,1007,TRUE,
8,NDP250164Y,IL21-8143,NDP250164Y+IL21-8143,across_loc,Rep 0,1,8,1,8,8,1008,TRUE,
9,NDP250040Y,IL23-3655,NDP250040Y+IL23-3655,unique_combos,Rep 0,1,9,1,9,9,1009,TRUE,
10,NDP250093Y,IL23-1669,NDP250093Y+IL23-1669,unique_combos,Rep 0,1,10,1,10,10,1010,TRUE,
11,NDP250095Y,IL23-3576,NDP250095Y+IL23-3576,across_loc,Rep 0,1,11,1,11,11,1011,TRUE,
12,NDP250163Y,IL21-7653,NDP250163Y+IL21-7653,unique_combos,Rep 0,1,12,1,12,12,1012,TRUE,
13,NDP150412G,IL23-1450,NDP150412G+IL23-1450,unique_combos,Rep 0,1,13,1,13,13,1013,TRUE,
14,NDP250148G,IL23-1815,NDP250148G+IL23-1815,across_loc,Rep 0,1,14,1,14,14,1014,TRUE,
15,NDP170008G,IL23-1423,NDP170008G+IL23-1423,unique_combos,Rep 0,1,15,1,15,15,1015,TRUE,
16,NDP170089G,IL23-1459,NDP170089G+IL23-1459,unique_combos,Rep 0,1,16,1,16,16,1016,TRUE,
17,NDP250086Y,IL23-739,NDP250086Y+IL23-739,unique_combos,Rep 0,1,17,1,17,17,1017,TRUE,
18,NDP121711R,IL23-810,NDP121711R+IL23-810,unique_combos,Rep 0,1,18,1,18,18,1018,TRUE,
19,NDP250168Y,IL22-4548,NDP250168Y+IL22-4548,unique_combos,Rep 0,1,19,1,19,19,1019,TRUE,
20,NDP170181Y,IL23-3673,NDP170181Y+IL23-3673,unique_combos,Rep 0,1,20,1,20,20,1020,TRUE,
21,NDP250036Y,IL23-4039,NDP250036Y+IL23-4039,unique_combos,Rep 0,1,21,1,21,21,1021,TRUE,
22,NDP250064Y,IL23-453,NDP250064Y+IL23-453,unique_combos,Rep 0,1,22,1,22,22,1022,TRUE,
23,NDP250111G,IL23-4274,NDP250111G+IL23-4274,within_loc,Rep 2,1,23,1,23,23,1023,TRUE,
24,NDP170151Y,IL19-3618,NDP170151Y+IL19-3618,unique_combos,Rep 0,1,24,1,24,24,1024,TRUE,
25,NDP250162Y,IL23-1431,NDP250162Y+IL23-1431,unique_combos,Rep 0,1,25,1,25,25,1025,TRUE,
26,NDP150218Y,IL23-377,NDP150218Y+IL23-377,unique_combos,Rep 0,1,26,1,26,26,1026,TRUE,
27,NDP170012G,IL19-4556,NDP170012G+IL19-4556,unique_combos,Rep 0,1,27,1,27,27,1027,TRUE,
28,NDP250155Y,IL23-959,NDP250155Y+IL23-959,unique_combos,Rep 0,1,28,1,28,28,1028,TRUE,
29,NDP250104G,IL23-376,NDP250104G+IL23-376,unique_combos,Rep 0,1,29,1,29,29,1029,TRUE,
30,NDP250160Y,IL23-524,NDP250160Y+IL23-524,unique_combos,Rep 0,1,30,1,30,30,1030,TRUE,
31,NDP250067Y,IL23-2554,NDP250067Y+IL23-2554,unique_combos,Rep 0,1,31,1,31,31,1031,TRUE,
32,NDP250049Y,IL23-267,NDP250049Y+IL23-267,unique_combos,Rep 0,1,32,1,32,32,1032,TRUE,
33,NDP250030Y,IL23-4572,NDP250030Y+IL23-4572,unique_combos,Rep 0,1,33,1,33,33,1033,TRUE,
34,NDP250177Y,IL17-3125,NDP250177Y+IL17-3125,unique_combos,Rep 0,1,34,1,34,34,1034,TRUE,
35,NDP150412G,IL23-3731,NDP150412G+IL23-3731,unique_combos,Rep 0,1,35,1,35,35,1035,TRUE,
36,NDP250050Y,IL23-2034,NDP250050Y+IL23-2034,within_loc,Rep 2,1,36,1,36,36,1036,TRUE,
37,NDP170037G,IL23-415,NDP170037G+IL23-415,unique_combos,Rep 0,1,37,1,37,37,1037,TRUE,
38,NDP170328G,IL22-3958,NDP170328G+IL22-3958,within_loc,Rep 0,1,38,1,38,38,1038,TRUE,
39,NDP170084G,IL23-3337,NDP170084G+IL23-3337,unique_combos,Rep 0,1,39,1,39,39,1039,TRUE,
40,NDP250051Y,IL23-1462,NDP250051Y+IL23-1462,unique_combos,Rep 0,1,40,1,40,40,1040,TRUE,
41,NDP250133G,IL23-3576,NDP250133G+IL23-3576,unique_combos,Rep 0,1,41,2,40,41,1041,TRUE,
42,NDP250040Y,IL23-4144,NDP250040Y+IL23-4144,unique_combos,Rep 0,1,42,2,39,42,1042,TRUE,
43,NDP250101Y,IL23-3827,NDP250101Y+IL23-3827,unique_combos,Rep 0,1,43,2,38,43,1043,TRUE,
44,NDP250042Y,IL23-4252,NDP250042Y+IL23-4252,within_loc,Rep 2,1,44,2,37,44,1044,TRUE,
45,NDP250084Y,IL23-3572,NDP250084Y+IL23-3572,unique_combos,Rep 0,1,45,2,36,45,1045,TRUE,
46,NDP250171Y,IL19-5336,NDP250171Y+IL19-5336,unique_combos,Rep 0,1,46,2,35,46,1046,TRUE,
47,NDP250040Y,IL22-1019,NDP250040Y+IL22-1019,unique_combos,Rep 0,1,47,2,34,47,1047,TRUE,
48,NDP250166Y,IL20-746,NDP250166Y+IL20-746,unique_combos,Rep 0,1,48,2,33,368,1048,FALSE,field_row
49,NDP250165Y,IL23-1608,NDP250165Y+IL23-1608,across_loc,Rep 0,1,49,2,32,49,1049,TRUE,
50,NDP121714R,IL20-615,NDP121714R+IL20-615,unique_combos,Rep 0,1,50,2,31,50,1050,TRUE,
51,NDP250106G,IL21-5955,NDP250106G+IL21-5955,within_loc,Rep 1,1,51,2,30,51,1051,TRUE,
52,NDP121711R,IL23-475,NDP121711R+IL23-475,unique_combos,Rep 0,1,52,2,29,52,1052,TRUE,
53,NDP250063Y,IL23-4243,NDP250063Y+IL23-4243,unique_combos,Rep 0,1,53,2,28,53,1053,TRUE,
54,NDP250162Y,IL23-1206,NDP250162Y+IL23-1206,unique_combos,Rep 0,1,54,2,27,54,1054,TRUE,
55,NDP121711R,IL23-247,NDP121711R +IL23-247,across_loc,Rep 0,1,55,2,26,55,1055,TRUE,
56,NDP150218Y,IL23-524,NDP150218Y+IL23-524,unique_combos,Rep 0,1,56,2,25,56,1056,TRUE,
57,NDP170253Y,IL21-6257,NDP170253Y+IL21-6257,across_loc,Rep 0,1,57,2,24,57,1057,TRUE,
58,NDP121711R,IL20-618,NDP121711R+IL20-618,within_loc,Rep 1,1,58,2,23,58,1058,TRUE,
59,NDP250076Y,IL23-1859,NDP250076Y+IL23-1859,unique_combos,Rep 0,1,59,2,22,59,1059,TRUE,
60,NDP170043G,IL22-4714,NDP170043G+IL22-4714,unique_combos,Rep 0,1,60,2,21,60,1060,TRUE,
61,NDP170028G,IL23-951,NDP170028G+IL23-951,across_loc,Rep 0,1,61,2,20,61,1061,TRUE,
62,NDP250027G,IL23-1623,NDP250027G+IL23-1623,unique_combos,Rep 0,1,62,2,19,62,1062,TRUE,
63,NDP250130Y,IL23-475,NDP250130Y+IL23-475,unique_combos,Rep 0,1,63,2,18,63,1063,TRUE,
64,NDP250144G,IL23-1657,NDP250144G+IL23-1657,unique_combos,Rep 0,1,64,2,17,64,1064,TRUE,
65,NDP250161Y,IL22-5335,NDP250161Y+IL22-5335,unique_combos,Rep 0,1,65,2,16,65,1065,TRUE,
66,NDP170022G,IL23-1608,NDP170022G+IL23-1608,unique_combos,Rep 0,1,66,2,15,66,1066,TRUE,
67,NDP250101Y,IL23-1650,NDP250101Y+IL23-1650,unique_combos,Rep 0,1,67,2,14,67,1067,TRUE,
68,NDP250073Y,IL23-959,NDP250073Y+IL23-959,within_loc,Rep 1,1,68,2,13,68,1068,TRUE,
69,NDP250174Y,IL19-1222,NDP250174Y+IL19-1222,unique_combos,Rep 0,1,69,2,12,69,1069,TRUE,
70,NDP250147G,IL21-4039,NDP250147G+IL21-4039,unique_combos,Rep 0,1,70,2,11,70,1070,TRUE,
71,NDP170156Y,IL23-1764,NDP170156Y+IL23-1764,unique_combos,Rep 0,1,71,2,10,71,1071,TRUE,
72,NDP250038Y,IL23-1775,NDP250038Y+IL23-1775,across_loc,Rep 0,1,72,2,9,72,1072,TRUE,
73,NDP170183Y,IL23-907,NDP170183Y+IL23-907,unique_combos,Rep 0,1,73,2,8,73,1073,TRUE,
74,NDP250069Y,IL23-3468,NDP250069Y+IL23-3468,unique_combos,Rep 0,1,74,2,7,74,1074,TRUE,
75,NDP250108G,IL23-3565,NDP250108G+IL23-3565,unique_combos,Rep 0,1,75,2,6,75,1075,TRUE,
76,ND VICTORY,IL23-3823,ND VICTORY+IL23-3823,unique_combos,Rep 0,1,76,2,5,76,1076,TRUE,
77,NDP170057G,IL23-3549,NDP170057G+IL23-3549,unique_combos,Rep 0,1,77,2,4,77,1077,TRUE,
