plot_name	row_number	col_number
B4I_2025_AL_1001	1	1
B4I_2025_AL_1002	1	2
B4I_2025_AL_1003	1	3
B4I_2025_AL_1004	1	4
B4I_2025_AL_1005	1	5
B4I_2025_AL_1006	1	6
B4I_2025_AL_1007	1	7
B4I_2025_AL_1008	1	8
B4I_2025_AL_1009	1	9
B4I_2025_AL_1010	1	10
B4I_2025_AL_1011	1	11
B4I_2025_AL_1012	1	12
B4I_2025_AL_1013	1	13
B4I_2025_AL_1014	1	14
B4I_2025_AL_1015	1	15
B4I_2025_AL_1016	1	16
B4I_2025_AL_1017	1	17
B4I_2025_AL_1018	1	18
B4I_2025_AL_1019	1	19
B4I_2025_AL_1020	1	20
B4I_2025_AL_1021	1	21
B4I_2025_AL_1022	1	22
B4I_2025_AL_1023	1	23
B4I_2025_AL_1024	1	24
B4I_2025_AL_1025	1	25
B4I_2025_AL_1026	1	26
B4I_2025_AL_1027	1	27
B4I_2025_AL_1028	1	28
B4I_2025_AL_1029	1	29
B4I_2025_AL_1030	1	30
B4I_2025_AL_1031	1	31
B4I_2025_AL_1032	1	32
B4I_2025_AL_1033	1	33
B4I_2025_AL_1034	1	34
B4I_2025_AL_1035	1	35
B4I_2025_AL_1036	1	36
B4I_2025_AL_1037	1	37
B4I_2025_AL_1038	1	38
B4I_2025_AL_1039	1	39
B4I_2025_AL_1040	1	40
B4I_2025_AL_1041	2	40
B4I_2025_AL_1042	2	39
B4I_2025_AL_1043	2	38
B4I_2025_AL_1044	2	37
B4I_2025_AL_1045	2	36
B4I_2025_AL_1046	2	35
B4I_2025_AL_1047	2	34
B4I_2025_AL_1048	3	33
B4I_2025_AL_1049	2	32
B4I_2025_AL_1050	2	31
B4I_2025_AL_1051	2	30
B4I_2025_AL_1052	2	29
B4I_2025_AL_1053	2	28
B4I_2025_AL_1054	2	27
B4I_2025_AL_1055	2	26
B4I_2025_AL_1056	2	25
B4I_2025_AL_1057	2	24
B4I_2025_AL_1058	2	23
B4I_2025_AL_1059	2	22
B4I_2025_AL_1060	2	21
B4I_2025_AL_1061	2	20
B4I_2025_AL_1062	2	19
B4I_2025_AL_1063	2	18
B4I_2025_AL_1064	2	17
B4I_2025_AL_1065	2	16
B4I_2025_AL_1066	2	15
B4I_2025_AL_1067	2	14
B4I_2025_AL_1068	2	13
B4I_2025_AL_1069	2	12
B4I_2025_AL_1070	2	11
B4I_2025_AL_1071	2	10
B4I_2025_AL_1072	2	9
B4I_2025_AL_1073	2	8
B4I_2025_AL_1074	2	7
B4I_2025_AL_1075	2	6
B4I_2025_AL_1076	2	5
B4I_2025_AL_1077	2	4
B4I_2025_AL_1078	2	3
