observationunit_name,Plot score - 1-9 Rating,Plot size - feet,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,,,,,,
B4I_2025_IA_2095,9,104.52,7,7/4/2025,6/2/2025,6/4/2025,7/1/2025,184,152,154,181,,,,,,1/1/2025
B4I_2025_IA_2240,5,104.52,3,7/3/2025,6/7/2025,6/3/2025,7/1/2025,183,157,153,181,,,,,,1/1/2025
B4I_2025_IA_2002,7,104.52,0,7/4/2025,6/6/2025,6/3/2025,7/1/2025,184,156,153,181,,,,,,1/1/2025
B4I_2025_IA_2048,5,104.52,1,7/3/2025,6/7/2025,6/8/2025,7/9/2025,183,157,158,189,,,,,,1/1/2025
B4I_2025_IA_2065,5,104.52,5,7/4/2025,6/4/2025,6/8/2025,7/9/2025,184,154,158,189,,,,,,1/1/2025
B4I_2025_IA_2188,3,104.52,5,7/3/2025,6/8/2025,6/7/2025,7/9/2025,183,158,157,189,,,,,,1/1/2025
B4I_2025_IA_2276,9,104.52,6,6/30/2025,6/3/2025,6/7/2025,7/9/2025,180,153,157,189,,,,,,1/1/2025
B4I_2025_IA_2244,5,104.52,1,7/5/2025,6/8/2025,6/3/2025,7/9/2025,185,158,153,189,,,,,,1/1/2025
B4I_2025_IA_2067,3,104.52,2,7/5/2025,6/7/2025,6/9/2025,7/8/2025,185,157,159,188,,,,,,1/1/2025
B4I_2025_IA_2313,9,104.52,8,7/3/2025,6/5/2025,6/9/2025,7/8/2025,183,155,159,188,,,,,,1/1/2025
B4I_2025_IA_2345,7,104.52,7,7/3/2025,6/5/2025,6/9/2025,7/8/2025,183,155,159,188,,,,,,1/1/2025
B4I_2025_IA_2203,3,104.52,6,7/1/2025,6/5/2025,6/8/2025,7/8/2025,181,155,158,188,,,,,,1/1/2025
B4I_2025_IA_2261,5,104.52,7,7/3/2025,6/5/2025,6/8/2025,7/8/2025,183,155,158,188,,,,,,1/1/2025
B4I_2025_IA_2331,9,104.52,4,7/1/2025,6/5/2025,6/8/2025,7/8/2025,181,155,158,188,,,,,,1/1/2025
B4I_2025_IA_2080,7,104.52,1,7/4/2025,6/7/2025,6/7/2025,7/8/2025,184,157,157,188,,,,,,1/1/2025
B4I_2025_IA_2262,9,104.52,7,7/3/2025,6/7/2025,6/7/2025,7/8/2025,183,157,157,188,,,,,,1/1/2025
B4I_2025_IA_2378,9,104.52,7,7/3/2025,6/7/2025,6/7/2025,7/8/2025,183,157,157,188,,,,,,1/1/2025
B4I_2025_IA_2386,5,104.52,7,7/3/2025,6/7/2025,6/7/2025,7/8/2025,183,157,157,188,,,,,,1/1/2025
B4I_2025_IA_2176,7,104.52,4,7/3/2025,6/6/2025,6/7/2025,7/8/2025,183,156,157,188,,,,,,1/1/2025
B4I_2025_IA_2364,7,104.52,7,7/3/2025,6/4/2025,6/7/2025,7/8/2025,183,154,157,188,,,,,,1/1/2025
B4I_2025_IA_2135,5,104.52,7,7/4/2025,6/8/2025,6/6/2025,7/8/2025,184,158,156,188,,,,,,1/1/2025
B4I_2025_IA_2167,7,104.52,3,7/3/2025,6/7/2025,6/5/2025,7/8/2025,183,157,155,188,,,,,,1/1/2025
B4I_2025_IA_2181,3,104.52,8,7/2/2025,6/7/2025,6/5/2025,7/8/2025,182,157,155,188,,,,,,1/1/2025
B4I_2025_IA_2271,5,104.52,0,7/3/2025,6/7/2025,6/5/2025,7/8/2025,183,157,155,188,,,,,,1/1/2025
B4I_2025_IA_2295,7,104.52,7,7/3/2025,6/5/2025,6/5/2025,7/8/2025,183,155,155,188,,,,,,1/1/2025
B4I_2025_IA_2189,7,104.52,8,6/29/2025,6/4/2025,6/5/2025,7/8/2025,179,154,155,188,,,,,,1/1/2025
B4I_2025_IA_2347,7,104.52,6,7/4/2025,6/6/2025,6/4/2025,7/8/2025,184,156,154,188,,,,,,1/1/2025
B4I_2025_IA_2377,7,104.52,7,7/4/2025,6/7/2025,6/3/2025,7/8/2025,184,157,153,188,,,,,,1/1/2025
B4I_2025_IA_2034,7,104.52,8,7/4/2025,6/5/2025,6/1/2025,7/8/2025,184,155,151,188,,,,,,1/1/2025
B4I_2025_IA_2096,5,104.52,4,7/4/2025,6/8/2025,6/11/2025,7/7/2025,184,158,161,187,,,,,,1/1/2025
B4I_2025_IA_2311,7,104.52,8,7/3/2025,6/7/2025,6/9/2025,7/7/2025,183,157,159,187,,,,,,1/1/2025
B4I_2025_IA_2344,5,104.52,6,7/2/2025,6/6/2025,6/8/2025,7/7/2025,182,156,158,187,,,,,,1/1/2025
B4I_2025_IA_2088,7,104.52,4,7/4/2025,6/8/2025,6/7/2025,7/7/2025,184,158,157,187,,,,,,1/1/2025
B4I_2025_IA_2140,3,104.52,6,7/3/2025,6/8/2025,6/7/2025,7/7/2025,183,158,157,187,,,,,,1/1/2025
B4I_2025_IA_2225,5,104.52,0,7/3/2025,6/7/2025,6/7/2025,7/7/2025,183,157,157,187,,,,,,1/1/2025
B4I_2025_IA_2257,3,104.52,5,7/3/2025,6/7/2025,6/7/2025,7/7/2025,183,157,157,187,,,,,,1/1/2025
B4I_2025_IA_2365,5,104.52,6,7/5/2025,6/7/2025,6/7/2025,7/7/2025,185,157,157,187,,,,,,1/1/2025
B4I_2025_IA_2051,5,104.52,8,7/4/2025,6/6/2025,6/7/2025,7/7/2025,184,156,157,187,,,,,,1/1/2025
B4I_2025_IA_2062,5,104.52,7,7/4/2025,6/6/2025,6/7/2025,7/7/2025,184,156,157,187,,,,,,1/1/2025
