PEA,Range,Column,OAT,Pea Test Weight (g),Pea Test Weight Valume (cm3),Pea 1000Seed/WT (g),Pea Harvest Weight (g),Pea Yield bu/A,Oat Test Weight (lb/bu),Oat Test Weight (g),Oat Test Weight Valume (cm3),Oat 1000Seed/WT (g),Oat Harvest Weight (kg),Oat Yield bu/A,plot_number
PLNDP170247Y,2,2,PLIL23-512,175.96,236.588,155.4,374.66,9.994413482,44,NA,NA,30.2,0.415,20.75722786,2001
PLNDP250085Y,3,2,PLIL23-3228,175.64,236.588,169,471.54,12.57878005,38.4,NA,NA,25.8,0.319,15.95555587,2016
PLNDP250051Y,4,2,PLIL23-1959,99.47,118.294,145.4,103.62,2.764162507,NA,50.24,236.588,23.7,0.186,9.303239475,2017
PLNDP250123Y,5,2,PLIL22-3365,92.16,118.294,153.2,95.25,2.54088476,NA,30.96,118.294,30.2,0.068,3.401184324,2032
PLNDP170253Y,6,2,PLIL21-6257,95.66,118.294,136.2,159.97,4.267352599,27.2,NA,NA,28.5,0.188,9.403274308,2033
PLNDP250184G,7,2,PLIL23-959,93.57,118.294,145.8,103.68,2.765763065,24.5,NA,NA,27.9,0.195,9.753396224,2048
PLNDP250159Y,8,2,PLIL23-1608,173.17,236.588,173.9,421.47,11.24311496,21.5,NA,NA,25.6,0.173,8.65301306,2049
PLNDP170054Y,9,2,PLIL23-3635,174.45,236.588,160.3,178.92,4.772861955,28.2,NA,NA,32.6,0.415,20.75722786,2064
PLNDP250189G,10,2,PLIL23-3635,92.47,118.294,137,111.77,2.981571544,27.5,NA,NA,31.4,0.3,15.00522496,2065
PLNDP250093Y,11,2,PLIL19-6432,64.32,78.862,135.3,74.7,1.992693875,26,NA,NA,34.2,0.798,39.91389839,2080
PLNDP170111G,12,2,PLIL23-524,NA,NA,146.8,16.3,0.434818074,24.9,NA,NA,27.3,0.266,13.3046328,2081
PLNDP250041Y,13,2,PLIL23-2942,173.46,236.588,135.5,222.93,5.946870756,21.6,NA,NA,31.1,0.332,16.60578229,2096
PLNDP120083Y,14,2,PLIL21-4039,163.21,236.588,142.1,167.59,4.47062338,25.2,NA,NA,27.4,0.317,15.85552104,2097
PLNDP170027G,15,2,PLIL23-1632,19.53,59.147,159.2,19.57,0.522048449,NA,NA,NA,28.8,0.167,8.352908561,2112
PLNDP250165Y,16,2,PLIL23-3675,83.46,118.294,177.6,83.46,2.226375245,30.7,NA,NA,28.6,0.466,23.3081161,2113
PLNDP250038Y,17,2,PLIL23-1775,62.22,78.862,152.3,65.53,1.748075363,21.6,NA,NA,28.8,0.458,22.90797677,2128
PLNDP170182Y,18,2,PLIL23-3731,68.58,78.862,177.5,75.27,2.007899169,24.1,NA,NA,29.3,0.284,14.2049463,2129
PLNDP250164Y,19,2,PLIL23-3576,168.54,236.588,168.7,251.94,6.720740225,25.2,NA,NA,33.5,0.434,21.70755878,2144
PLNDP170336G,20,2,PLIL23-3857,51.21,59.147,164.5,59.07,1.57574869,NA,75.08,236.588,29.5,0.174,8.703030477,2145
PLNDP250062Y,21,2,PLIL23-3572,91.3,118.294,158.1,101.89,2.718013104,28.8,NA,NA,25.9,0.456,22.80794194,2160
PLNDP170156Y,22,2,PLIL21-5955,92.53,118.294,176,115.09,3.070135717,25.7,NA,NA,27.1,0.66,33.01149491,2161
PLNDP120083Y,23,2,PLIL23-1450,174.85,236.588,154.7,211.94,5.653702005,29.6,NA,NA,31.6,1.166,58.32030768,2176
PLNDP170133G,24,2,PLIL23-3443,46.87,59.147,139.8,47.92,1.278311787,26.6,NA,NA,30.5,0.269,13.45468505,2177
PLNDP250073Y,25,2,PLIL23-1959,NA,NA,138.4,28.92,0.771468633,27.7,NA,NA,30.2,0.464,23.20808127,2192
PLNDP170101G,26,2,PLIL23-1462,47.41,59.147,140.8,51.24,1.366875959,NA,72.66,236.588,28,0.103,5.151793903,2193
PLNDP150412G,27,2,PLIL23-1666,164.11,236.588,110.5,180.98,4.827814424,28.2,NA,NA,32.9,0.294,14.70512046,2208
PLNDP150070G,28,2,PLIL22-2231,NA,NA,125.5,38.56,1.028624843,26.1,NA,NA,30.8,0.404,20.20703628,2209
PLNDP250048Y,29,2,PLIL23-739,177.11,236.588,161.4,507.47,13.53724713,27.3,NA,NA,35.9,0.814,40.71417706,2224
PLNDP250114G,30,2,PLIL23-621,185.77,236.588,168.6,637.59,17.00832246,29,NA,NA,26.4,0.926,46.31612771,2225
