Year,Entry,Range,Column,Rep,Sub-Plot,OAT,PEA,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|timepoint 1|COMP:0000114,Pea Plant Establishment - plants/ft2|CO_xxx:0003011,Pea Plant Height - cm|timepoint 1|COMP:0000122,Plant height - cm|timepoint 2|COMP:0000115,Pea Plant Height - cm|timepoint 2|COMP:0000123,Plant height - cm|timepoint 3|COMP:0000116,Pea Plant Height - cm|timepoint 3|COMP:0000124,Plant height - cm|timepoint 4|COMP:0000117,Pea Plant Height - cm|timepoint 4|COMP:0000125,plot_subplot
2025,1,2,2,1,1,PLIL23-512-200865912,PLNDP170247Y,7,19,7,21,59,61,80,68,30,40,2001_1
2025,1,2,2,1,1,PLIL23-512-200865912,PLNDP170247Y,7,19,7,21,59,61,80,68,30,40,2001_2
2025,1,2,2,1,1,PLIL23-512-200865912,PLNDP170247Y,7,19,7,21,59,61,80,68,30,40,2001_3
2025,1,2,2,1,2,PLIL23-512-200865912,PLNDP170247Y,6,19,2,24,59,60,40,72,33,42,2001_1
2025,1,2,2,1,2,PLIL23-512-200865912,PLNDP170247Y,6,19,2,24,59,60,40,72,33,42,2001_2
2025,1,2,2,1,2,PLIL23-512-200865912,PLNDP170247Y,6,19,2,24,59,60,40,72,33,42,2001_3
2025,1,2,2,1,3,PLIL23-512-200865912,PLNDP170247Y,16,18,2,21,63,56,84,75,44,53,2001_1
2025,1,2,2,1,3,PLIL23-512-200865912,PLNDP170247Y,16,18,2,21,63,56,84,75,44,53,2001_2
2025,1,2,2,1,3,PLIL23-512-200865912,PLNDP170247Y,16,18,2,21,63,56,84,75,44,53,2001_3
2025,2,2,3,1,1,PLIL23-911-200865925,PLNDP250131Y,15,12,6,8,61,59,71,69,55,62,2002_2
2025,2,2,3,1,1,PLIL23-911-200865925,PLNDP250131Y,15,12,6,8,61,59,71,69,55,62,2002_3
2025,2,2,3,1,1,PLIL23-911-200865925,PLNDP250131Y,15,12,6,8,61,59,71,69,55,62,2002_1
2025,2,2,3,1,2,PLIL23-911-200865925,PLNDP250131Y,13,20,4,22,60,64,73,80,56,50,2002_2
2025,2,2,3,1,2,PLIL23-911-200865925,PLNDP250131Y,13,20,4,22,60,64,73,80,56,50,2002_3
2025,2,2,3,1,2,PLIL23-911-200865925,PLNDP250131Y,13,20,4,22,60,64,73,80,56,50,2002_1
2025,2,2,3,1,3,PLIL23-911-200865925,PLNDP250131Y,8,20,4,22,49,60,72,68,56,45,2002_2
2025,2,2,3,1,3,PLIL23-911-200865925,PLNDP250131Y,8,20,4,22,49,60,72,68,56,45,2002_3
2025,2,2,3,1,3,PLIL23-911-200865925,PLNDP250131Y,8,20,4,22,49,60,72,68,56,45,2002_1
2025,3,2,4,1,1,PLIL23-509-200865911,PLNDP160188Y,13,17,9,15,59,59,68,69,40,43,2003_3
2025,3,2,4,1,1,PLIL23-509-200865911,PLNDP160188Y,13,17,9,15,59,59,68,69,40,43,2003_1
2025,3,2,4,1,1,PLIL23-509-200865911,PLNDP160188Y,13,17,9,15,59,59,68,69,40,43,2003_2
2025,3,2,4,1,2,PLIL23-509-200865911,PLNDP160188Y,10,23,6,30,61,61,74,67,40.01,43,2003_3
2025,3,2,4,1,2,PLIL23-509-200865911,PLNDP160188Y,10,23,6,30,61,61,74,67,40.01,43,2003_1
2025,3,2,4,1,2,PLIL23-509-200865911,PLNDP160188Y,10,23,6,30,61,61,74,67,40.01,43,2003_2
2025,3,2,4,1,3,PLIL23-509-200865911,PLNDP160188Y,7,23,6,24,54,58,68,65,54.01,40.01,2003_3
2025,3,2,4,1,3,PLIL23-509-200865911,PLNDP160188Y,7,23,6,24,54,58,68,65,54.01,40.01,2003_1
2025,3,2,4,1,3,PLIL23-509-200865911,PLNDP160188Y,7,23,6,24,54,58,68,65,54.01,40.01,2003_2
2025,4,2,5,1,1,PLIL23-1651-201774444,PLNDP121711R,6,19,4,11,59,50,84,60,72,68,2004_1
2025,4,2,5,1,1,PLIL23-1651-201774444,PLNDP121711R,6,19,4,11,59,50,84,60,72,68,2004_2
2025,4,2,5,1,1,PLIL23-1651-201774444,PLNDP121711R,6,19,4,11,59,50,84,60,72,68,2004_3
2025,4,2,5,1,2,PLIL23-1651-201774444,PLNDP121711R,13,20,3,18,62,54,84,65,68,63,2004_1
2025,4,2,5,1,2,PLIL23-1651-201774444,PLNDP121711R,13,20,3,18,62,54,84,65,68,63,2004_2
2025,4,2,5,1,2,PLIL23-1651-201774444,PLNDP121711R,13,20,3,18,62,54,84,65,68,63,2004_3
2025,4,2,5,1,3,PLIL23-1651-201774444,PLNDP121711R,6,23,3,14,64,55,85,63,71,57,2004_1
2025,4,2,5,1,3,PLIL23-1651-201774444,PLNDP121711R,6,23,3,14,64,55,85,63,71,57,2004_2
2025,4,2,5,1,3,PLIL23-1651-201774444,PLNDP121711R,6,23,3,14,64,55,85,63,71,57,2004_3
2025,5,2,6,1,1,PLIL23-1623-200865814,PLNDP170111G,9,18,4,12,55,60,56,38,34,43,2005_2
2025,5,2,6,1,1,PLIL23-1623-200865814,PLNDP170111G,9,18,4,12,55,60,56,38,34,43,2005_3
2025,5,2,6,1,1,PLIL23-1623-200865814,PLNDP170111G,9,18,4,12,55,60,56,38,34,43,2005_1
2025,5,2,6,1,2,PLIL23-1623-200865814,PLNDP170111G,12,20,6,21,44,53,62,55,33,29,2005_2
2025,5,2,6,1,2,PLIL23-1623-200865814,PLNDP170111G,12,20,6,21,44,53,62,55,33,29,2005_3
2025,5,2,6,1,2,PLIL23-1623-200865814,PLNDP170111G,12,20,6,21,44,53,62,55,33,29,2005_1
2025,5,2,6,1,3,PLIL23-1623-200865814,PLNDP170111G,8,21,4,24,55,56,85,23,40,36,2005_2
2025,5,2,6,1,3,PLIL23-1623-200865814,PLNDP170111G,8,21,4,24,55,56,85,23,40,36,2005_3
2025,5,2,6,1,3,PLIL23-1623-200865814,PLNDP170111G,8,21,4,24,55,56,85,23,40,36,2005_1
2025,6,2,7,1,1,PLIL23-1806-200865827,PLNDP120083Y,5,18,4,20,54,56,73,70,52,59,2006_3
2025,6,2,7,1,1,PLIL23-1806-200865827,PLNDP120083Y,5,18,4,20,54,56,73,70,52,59,2006_1
2025,6,2,7,1,1,PLIL23-1806-200865827,PLNDP120083Y,5,18,4,20,54,56,73,70,52,59,2006_2
2025,6,2,7,1,2,PLIL23-1806-200865827,PLNDP120083Y,16,17,3,18,60,56,70,75,72,66,2006_3
2025,6,2,7,1,2,PLIL23-1806-200865827,PLNDP120083Y,16,17,3,18,60,56,70,75,72,66,2006_1
2025,6,2,7,1,2,PLIL23-1806-200865827,PLNDP120083Y,16,17,3,18,60,56,70,75,72,66,2006_2
2025,6,2,7,1,3,PLIL23-1806-200865827,PLNDP120083Y,12,19,6,18,46,50,77,57,60,67,2006_3
2025,6,2,7,1,3,PLIL23-1806-200865827,PLNDP120083Y,12,19,6,18,46,50,77,57,60,67,2006_1
2025,6,2,7,1,3,PLIL23-1806-200865827,PLNDP120083Y,12,19,6,18,46,50,77,57,60,67,2006_2
2025,7,2,8,1,1,PLIL23-1663-201774445,PLNDP170006G,5,17,2,11,62,58,71,38,58,20,2007_1
2025,7,2,8,1,1,PLIL23-1663-201774445,PLNDP170006G,5,17,2,11,62,58,71,38,58,20,2007_2
2025,7,2,8,1,1,PLIL23-1663-201774445,PLNDP170006G,5,17,2,11,62,58,71,38,58,20,2007_3
2025,7,2,8,1,2,PLIL23-1663-201774445,PLNDP170006G,11,19,6,15,55,60,52,40,27,25,2007_1
2025,7,2,8,1,2,PLIL23-1663-201774445,PLNDP170006G,11,19,6,15,55,60,52,40,27,25,2007_2
2025,7,2,8,1,2,PLIL23-1663-201774445,PLNDP170006G,11,19,6,15,55,60,52,40,27,25,2007_3
