current_year,affiliation,timing,plot_id,count,missing,,,Image Name (from PlantMap3D app),Sample Date,Timing,Plot ID,Species,Dry Wt (g),,,Image Name (from PlantMap3D app),Sample Date,Timing,Plot ID,Species,Dry Wt (g)
2025,AL01,1,AUOatPea402.1,4,biomass,added biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea402.1,3/4/2025,1,402.3,Oat,23,,,AL-Wolfe_2025_TM-1_PL-AUOatPea401.1,3/4/2025,1,AUOatPea401.1,Oat,48.35
2025,AL01,1,AUOatPea403.1,4,biomass,added biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea403.1,3/4/2025,1,403.2,Oat,39.3,,,AL-Wolfe_2025_TM-1_PL-AUOatPea401.1,3/4/2025,1,AUOatPea401.1,Pea,0
2025,AL01,1,AUOatPea404.1,4,biomass,added biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea404.1,3/4/2025,1,404.3,Oat,0,,,AL-Wolfe_2025_TM-1_PL-AUOatPea401.1,3/4/2025,1,AUOatPea401.1,Other,0
2025,AL01,1,AUOatPea405.1,4,biomass,delete,,AL-Wolfe_2025_TM-1_PL-AUOatPea418.2,3/4/2025,1,417.3,Oat,41.75,,,AL-Wolfe_2025_TM-2_PL-20EXTRAPLOTS_401.2,5/12/2025,2,20EXTRAPLOTS_401.2,Oat,169.5
2025,AL01,1,AUOatPea406.3,4,biomass,delete,,AL-Wolfe_2025_TM-1_PL-AUOatPea402.1,3/4/2025,1,402.3,Pea,28.2,,,AL-Wolfe_2025_TM-2_PL-20EXTRAPLOTS_401.2,5/12/2025,2,20EXTRAPLOTS_401.2,Pea,0
2025,AL01,1,AUOatPea418.2,4,biomass,added biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea403.1,3/4/2025,1,403.2,Pea,0,,,AL-Wolfe_2025_TM-2_PL-20EXTRAPLOTS_401.2,5/12/2025,2,20EXTRAPLOTS_401.2,Other,0
2025,AL01,1,AUOatPea402.3,2,image,used biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea404.1,3/4/2025,1,404.3,Pea,63.8,,,AL-Wolfe_2025_TM-2_PL-20EXTRAPLOTS_402.2,5/12/2025,2,20EXTRAPLOTS_402.2,Oat,112.2
2025,AL01,1,AUOatPea403.2,1,image,used biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea418.2,3/4/2025,1,417.3,Pea,9.7,,,AL-Wolfe_2025_TM-2_PL-20EXTRAPLOTS_402.2,5/12/2025,2,20EXTRAPLOTS_402.2,Pea,78.95
2025,AL01,1,AUOatPea404.3,1,image,used biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea402.1,3/4/2025,1,402.3,Other,0,,,AL-Wolfe_2025_TM-2_PL-20EXTRAPLOTS_402.2,5/12/2025,2,20EXTRAPLOTS_402.2,Other,0
2025,AL01,1,AUOatPea417.3,1,image,used biomass,,AL-Wolfe_2025_TM-1_PL-AUOatPea403.1,3/4/2025,1,403.2,Other,0,,,AL-Wolfe_2025_TM-1_PL-AUOatPea402.3,3/4/2025,1,AUOatPea402.3,Oat,23
