current_year,affiliation,timing,plot_id,count,missing
2025,IL02,1.0,1.1001.2,4,complete
2025,IL02,1.0,1.1002.3,8,complete
2025,IL02,1.0,1.101.1,8,complete
2025,IL02,1.0,1.102.1,4,complete
2025,IL02,1.0,1.201.2,8,complete
2025,IL02,1.0,1.202.1,4,complete
2025,IL02,1.0,1.301.2,8,complete
2025,IL02,1.0,1.302.2,4,complete
2025,IL02,1.0,1.401.2,4,complete
2025,IL02,1.0,1.402.2,4,complete
2025,IL02,1.0,1.501.2,8,complete
2025,IL02,1.0,1.502.1,8,complete
2025,IL02,1.0,1.601.1,8,complete
2025,IL02,1.0,1.602.1,8,complete
2025,IL02,1.0,1.701.3,8,complete
2025,IL02,1.0,1.702.3,4,complete
2025,IL02,1.0,1.801.2,4,complete
2025,IL02,1.0,1.802.1,4,complete
2025,IL02,1.0,1.901.1,8,complete
2025,IL02,1.0,1.902.2,4,complete
2025,IL02,2.0,2.1001.1,4,complete
2025,IL02,2.0,2.1002.1,8,complete
2025,IL02,2.0,2.101.2,8,complete
2025,IL02,2.0,2.102.3,4,complete
2025,IL02,2.0,2.201.3,8,complete
2025,IL02,2.0,2.202.3,4,complete
2025,IL02,2.0,2.301.1,8,complete
2025,IL02,2.0,2.302.3,4,complete
2025,IL02,2.0,2.401.1,4,complete
2025,IL02,2.0,2.402.1,4,complete
2025,IL02,2.0,2.501.3,8,complete
2025,IL02,2.0,2.502.2,8,complete
2025,IL02,2.0,2.601.2,8,complete
2025,IL02,2.0,2.602.2,8,complete
2025,IL02,2.0,2.701.1,8,complete
2025,IL02,2.0,2.702.2,4,complete
2025,IL02,2.0,2.801.1,4,complete
2025,IL02,2.0,2.802.2,4,complete
2025,IL02,2.0,2.901.2,8,complete
2025,IL02,2.0,2.902.3,4,complete
2025,IL02,3.0,3.1001.3,4,complete
2025,IL02,3.0,3.1002.2,8,complete
2025,IL02,3.0,3.101.3,8,complete
2025,IL02,3.0,3.102.2,4,complete
2025,IL02,3.0,3.201.1,8,complete
2025,IL02,3.0,3.202.2,4,complete
2025,IL02,3.0,3.301.3,8,complete
2025,IL02,3.0,3.302.1,4,complete
2025,IL02,3.0,3.401.3,4,complete
2025,IL02,3.0,3.402.3,4,complete
2025,IL02,3.0,3.501.1,8,complete
2025,IL02,3.0,3.502.3,8,complete
2025,IL02,3.0,3.601.3,8,complete
2025,IL02,3.0,3.602.3,8,complete
2025,IL02,3.0,3.701.2,8,complete
2025,IL02,3.0,3.702.1,4,complete
2025,IL02,3.0,3.801.3,4,complete
2025,IL02,3.0,3.802.3,4,complete
2025,IL02,3.0,3.901.3,8,complete
2025,IL02,3.0,3.902.1,4,complete
