current_year,affiliation,timing,plot_id,count,missing,,,Image Name (from PlantMap3D app),Sample Date,Timing,Plot ID,Species,Dry Wt (g),,,Image Name (from PlantMap3D app),Sample Date,Timing,Plot ID,Species,Dry Wt (g)
2025,ND02,1,1.2,2,image,find image,,ND-Berti_2025_TM-3_PL-1.1,7/9/2025,2,1.1,Oat,326.5,,,ND-Berti_2025_TM-1_PL-1.2,6/18/2025,1,1.2,Oat,31.5
2025,ND02,1,10.3,2,image,find image,,ND-Berti_2025_TM-3_PL-1.1,7/9/2025,2,1.1,Pea,0,,,ND-Berti_2025_TM-1_PL-1.2,6/18/2025,1,1.2,Pea,0
2025,ND02,1,11.2,2,image,find image,,ND-Berti_2025_TM-3_PL-1.1,7/9/2025,2,1.1,Other,4,,,ND-Berti_2025_TM-1_PL-1.2,6/18/2025,1,1.2,Other,1.5
2025,ND02,1,12.2,3,image,find image,,ND-Berti_2025_TM-3_PL-2.3,7/9/2025,2,2.3,Oat,141.5,,,ND-Berti_2025_TM-1_PL-2.2,6/18/2025,1,2.2,Oat,12
2025,ND02,1,13.2,2,image,find image,,ND-Berti_2025_TM-3_PL-2.3,7/9/2025,2,2.3,Pea,61.5,,,ND-Berti_2025_TM-1_PL-2.2,6/18/2025,1,2.2,Pea,6
2025,ND02,1,14.2,3,image,find image,,ND-Berti_2025_TM-3_PL-2.3,7/9/2025,2,2.3,Other,72,,,ND-Berti_2025_TM-1_PL-2.2,6/18/2025,1,2.2,Other,2.1
2025,ND02,1,15.1,2,image,find image,,ND-Berti_2025_TM-3_PL-3.1,7/9/2025,2,3.1,Oat,0,,,ND-Berti_2025_TM-1_PL-3.2,6/18/2025,1,3.2,Oat,0
2025,ND02,1,16.2,3,image,find image,,ND-Berti_2025_TM-3_PL-3.1,7/9/2025,2,3.1,Pea,132,,,ND-Berti_2025_TM-1_PL-3.2,6/18/2025,1,3.2,Pea,23
2025,ND02,1,17.2,2,image,find image,,ND-Berti_2025_TM-3_PL-3.1,7/9/2025,2,3.1,Other,43,,,ND-Berti_2025_TM-1_PL-3.2,6/18/2025,1,3.2,Other,3.6
2025,ND02,1,18.2,3,image,find image,,ND-Berti_2025_TM-3_PL-4.1,7/9/2025,2,4.1,Oat,198.5,,,ND-Berti_2025_TM-1_PL-4.3,6/18/2025,1,4.3,Oat,17
2025,ND02,1,19.2,2,image,find image,,ND-Berti_2025_TM-3_PL-4.1,7/9/2025,2,4.1,Pea,48.5,,,ND-Berti_2025_TM-1_PL-4.3,6/18/2025,1,4.3,Pea,11.5
2025,ND02,1,2.2,3,image,find image,,ND-Berti_2025_TM-3_PL-4.1,7/9/2025,2,4.1,Other,93.5,,,ND-Berti_2025_TM-1_PL-4.3,6/18/2025,1,4.3,Other,2.81
2025,ND02,1,20.2,3,image,find image,,ND-Berti_2025_TM-3_PL-5.3,7/9/2025,2,5.3,Oat,258,,,ND-Berti_2025_TM-1_PL-5.1,6/18/2025,1,5.1,Oat,32.5
2025,ND02,1,3.2,2,image,find image,,ND-Berti_2025_TM-3_PL-5.3,7/9/2025,2,5.3,Pea,0,,,ND-Berti_2025_TM-1_PL-5.1,6/18/2025,1,5.1,Pea,0
2025,ND02,1,4.3,3,image,find image,,ND-Berti_2025_TM-3_PL-5.3,7/9/2025,2,5.3,Other,73,,,ND-Berti_2025_TM-1_PL-5.1,6/18/2025,1,5.1,Other,1.64
2025,ND02,1,5.1,2,image,find image,,ND-Berti_2025_TM-3_PL-6.3,7/9/2025,2,6.3,Oat,290.5,,,ND-Berti_2025_TM-1_PL-6.2,6/18/2025,1,6.2,Oat,24.5
2025,ND02,1,6.2,3,image,find image,,ND-Berti_2025_TM-3_PL-6.3,7/9/2025,2,6.3,Pea,43.5,,,ND-Berti_2025_TM-1_PL-6.2,6/18/2025,1,6.2,Pea,20.5
2025,ND02,1,7.3,2,image,find image,,ND-Berti_2025_TM-3_PL-6.3,7/9/2025,2,6.3,Other,15.5,,,ND-Berti_2025_TM-1_PL-6.2,6/18/2025,1,6.2,Other,1.09
2025,ND02,1,8.1,3,image,find image,,ND-Berti_2025_TM-3_PL-7.1,7/9/2025,2,7.1,Oat,0,,,ND-Berti_2025_TM-1_PL-7.3,6/18/2025,1,7.3,Oat,0
2025,ND02,1,9.1,1,image,find image,,ND-Berti_2025_TM-3_PL-7.1,7/9/2025,2,7.1,Pea,167.5,,,ND-Berti_2025_TM-1_PL-7.3,6/18/2025,1,7.3,Pea,21.5
2025,ND02,2,1.1,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-7.1,7/9/2025,2,7.1,Other,39,,,ND-Berti_2025_TM-1_PL-7.3,6/18/2025,1,7.3,Other,0.3
2025,ND02,2,10.2,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-8.2,7/9/2025,2,8.2,Oat,261.5,,,ND-Berti_2025_TM-1_PL-8.1,6/18/2025,1,8.1,Oat,21
2025,ND02,2,11.1,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-8.2,7/9/2025,2,8.2,Pea,97.5,,,ND-Berti_2025_TM-1_PL-8.1,6/18/2025,1,8.1,Pea,14.5
2025,ND02,2,12.1,3,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-8.2,7/9/2025,2,8.2,Other,0,,,ND-Berti_2025_TM-1_PL-8.1,6/18/2025,1,8.1,Other,0.5
