current_year,affiliation,timing,plot_id,count,missing,biomass plot_id,height cm,,Image Name,subplot,Oat,Pea,Other,,B4I_2025_PM3D_NY_20_subplot_3,741858,NY-Jannink_2025_TM-1_PL-741858,6/2/2025,1,741858,Oat,40.8
2025,NY02,1,19.2,4,biomass,delete,,,NY-Jannink_2025_TM-1_PL-741874,741875,0,41.4,0,,B4I_2025_PM3D_NY_20_subplot_3,741858,NY-Jannink_2025_TM-1_PL-741858,6/2/2025,1,741858,Pea,0
2025,NY02,1,741874,4,biomass,added biomass,,,NY-Jannink_2025_TM-1_PL-741879,741877,32.7,18.6,1.8,,B4I_2025_PM3D_NY_20_subplot_3,741858,NY-Jannink_2025_TM-1_PL-741858,6/2/2025,1,741858,Other,0
2025,NY02,1,741879,4,biomass,added biomass,,,NY-Jannink_2025_TM-1_PL-741902,741901,20.8,26.4,1.2,,B4I_2025_PM3D_NY_02_subplot_3,741861,NY-Jannink_2025_TM-1_PL-741861,6/2/2025,1,741861,Oat,27.1
2025,NY02,1,741902,4,biomass,added biomass,,,NY-Jannink_2025_TM-2_PL-741889,741890,0,245.5,8.4,,B4I_2025_PM3D_NY_02_subplot_3,741861,NY-Jannink_2025_TM-1_PL-741861,6/2/2025,1,741861,Pea,7.1
2025,NY02,1,741858,4,complete,good,,,,CU_ARS_2026_WOP_031_subplot_1,,,,,B4I_2025_PM3D_NY_02_subplot_3,741861,NY-Jannink_2025_TM-1_PL-741861,6/2/2025,1,741861,Other,1.1
2025,NY02,1,741861,12,complete,good,,,,CU_ARS_2026_WOP_049_subplot_3,,,,,B4I_2025_PM3D_NY_14_subplot_2,741863,NY-Jannink_2025_TM-1_PL-741863,6/2/2025,1,741863,Oat,37.8
2025,NY02,1,741863,12,complete,good,,,,CU_ARS_2026_WOP_062_subplot_2,,,,,B4I_2025_PM3D_NY_14_subplot_2,741863,NY-Jannink_2025_TM-1_PL-741863,6/2/2025,1,741863,Pea,14.7
2025,NY02,1,741865,12,complete,good,,,,CU_ARS_2026_WOP_090_subplot_3,,,,,B4I_2025_PM3D_NY_14_subplot_2,741863,NY-Jannink_2025_TM-1_PL-741863,6/2/2025,1,741863,Other,1.4
2025,NY02,1,741870,8,complete,good,,,,CU_ARS_2026_WOP_107_subplot_3,,,,,B4I_2025_PM3D_NY_07_subplot_1,741865,NY-Jannink_2025_TM-1_PL-741865,6/2/2025,1,741865,Oat,38
2025,NY02,1,741873,8,complete,good,,,,CU_ARS_2026_WOP_159_subplot_2,,,,,B4I_2025_PM3D_NY_07_subplot_1,741865,NY-Jannink_2025_TM-1_PL-741865,6/2/2025,1,741865,Pea,9.8
2025,NY02,1,741881,16,complete,good,,,,CU_ARS_2026_WOP_190_subplot_3,,,,,B4I_2025_PM3D_NY_07_subplot_1,741865,NY-Jannink_2025_TM-1_PL-741865,6/2/2025,1,741865,Other,4.3
2025,NY02,1,741885,8,complete,good,,,,CU_ARS_2026_WOP_196_subplot_3,,,,,B4I_2025_PM3D_NY_17_subplot_3,741870,NY-Jannink_2025_TM-1_PL-741870,6/2/2025,1,741870,Oat,13.6
2025,NY02,1,741886,8,complete,good,,,,CU_ARS_2026_WOP_205_subplot_1,,,,,B4I_2025_PM3D_NY_17_subplot_3,741870,NY-Jannink_2025_TM-1_PL-741870,6/2/2025,1,741870,Pea,6.2
2025,NY02,1,741891,8,complete,good,,,,CU_ARS_2026_WOP_208_subplot_2,,,,,B4I_2025_PM3D_NY_17_subplot_3,741870,NY-Jannink_2025_TM-1_PL-741870,6/2/2025,1,741870,Other,0
2025,NY02,1,741894,12,complete,good,,,,CU_ARS_2026_WOP_220_subplot_2,,,,,B4I_2025_PM3D_NY_09_subplot_3,741873,NY-Jannink_2025_TM-1_PL-741873,6/2/2025,1,741873,Oat,41
2025,NY02,1,741895,8,complete,good,,,,CU_ARS_2026_WOP_281_subplot_2,,,,,B4I_2025_PM3D_NY_09_subplot_3,741873,NY-Jannink_2025_TM-1_PL-741873,6/2/2025,1,741873,Pea,0
2025,NY02,1,741898,8,complete,good,,,,CU_ARS_2026_WOP_284_subplot_3,,,,,B4I_2025_PM3D_NY_09_subplot_3,741873,NY-Jannink_2025_TM-1_PL-741873,6/2/2025,1,741873,Other,1.3
2025,NY02,1,741905,16,complete,good,,,,CU_ARS_2026_WOP_298_subplot_2,,,,,B4I_2025_PM3D_NY_15_subplot_2,741875,NY-Jannink_2025_TM-1_PL-741875,6/2/2025,1,741875,Oat,0
2025,NY02,1,741908,8,complete,good,,,,CU_ARS_2026_WOP_305_subplot_3,,,,,B4I_2025_PM3D_NY_15_subplot_2,741875,NY-Jannink_2025_TM-1_PL-741875,6/2/2025,1,741875,Pea,41.4
2025,NY02,1,741910,8,complete,good,,,,CU_ARS_2026_WOP_323_subplot_3,,,,,B4I_2025_PM3D_NY_15_subplot_2,741875,NY-Jannink_2025_TM-1_PL-741875,6/2/2025,1,741875,Other,0
2025,NY02,1,741915,8,complete,good,,,,CU_ARS_2026_WOP_324_subplot_2,,,,,B4I_2025_PM3D_NY_13_subplot_1,741877,NY-Jannink_2025_TM-1_PL-741877,6/2/2025,1,741877,Oat,32.7
2025,NY02,1,741875,1,image,used biomass,,,,CU_ARS_2026_WOP_343_subplot_3,,,,,B4I_2025_PM3D_NY_13_subplot_1,741877,NY-Jannink_2025_TM-1_PL-741877,6/2/2025,1,741877,Pea,18.6
2025,NY02,1,741877,3,image,used biomass,,,,CU_ARS_2026_WOP_344_subplot_2,,,,,B4I_2025_PM3D_NY_13_subplot_1,741877,NY-Jannink_2025_TM-1_PL-741877,6/2/2025,1,741877,Other,1.8
2025,NY02,1,741901,3,image,used biomass,,,,CU_ARS_2026_WOP_369_subplot_2,,,,,B4I_2025_PM3D_NY_19_subplot_2,741881,NY-Jannink_2025_TM-1_PL-741881,6/2/2025,1,741881,Oat,22.1
2025,NY02,1,CU_ARS_2026_WOP_031_subplot_1,4,biomass,added biomass,,,,CU_ARS_2026_WOP_381_subplot_2,,,,,B4I_2025_PM3D_NY_19_subplot_2,741881,NY-Jannink_2025_TM-1_PL-741881,6/2/2025,1,741881,Pea,15.5
2025,NY02,1,CU_ARS_2026_WOP_049_subplot_3,4,biomass,added biomass,,,,CU_ARS_2026_WOP_388_subplot_2,,,,,B4I_2025_PM3D_NY_19_subplot_2,741881,NY-Jannink_2025_TM-1_PL-741881,6/2/2025,1,741881,Other,0
2025,NY02,1,CU_ARS_2026_WOP_062_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_08_subplot_3,741885,NY-Jannink_2025_TM-1_PL-741885,6/2/2025,1,741885,Oat,0
2025,NY02,1,CU_ARS_2026_WOP_090_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_08_subplot_3,741885,NY-Jannink_2025_TM-1_PL-741885,6/2/2025,1,741885,Pea,11.6
2025,NY02,1,CU_ARS_2026_WOP_107_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_08_subplot_3,741885,NY-Jannink_2025_TM-1_PL-741885,6/2/2025,1,741885,Other,4.4
2025,NY02,1,CU_ARS_2026_WOP_159_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_03_subplot_1,741886,NY-Jannink_2025_TM-1_PL-741886,6/2/2025,1,741886,Oat,53.8
2025,NY02,1,CU_ARS_2026_WOP_190_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_03_subplot_1,741886,NY-Jannink_2025_TM-1_PL-741886,6/2/2025,1,741886,Pea,0
2025,NY02,1,CU_ARS_2026_WOP_196_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_03_subplot_1,741886,NY-Jannink_2025_TM-1_PL-741886,6/2/2025,1,741886,Other,0.4
2025,NY02,1,CU_ARS_2026_WOP_205_subplot_1,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_11_subplot_3,741891,NY-Jannink_2025_TM-1_PL-741891,6/2/2025,1,741891,Oat,0
2025,NY02,1,CU_ARS_2026_WOP_208_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_11_subplot_3,741891,NY-Jannink_2025_TM-1_PL-741891,6/2/2025,1,741891,Pea,15.7
2025,NY02,1,CU_ARS_2026_WOP_220_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_11_subplot_3,741891,NY-Jannink_2025_TM-1_PL-741891,6/2/2025,1,741891,Other,0.9
2025,NY02,1,CU_ARS_2026_WOP_281_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_05_subplot_3,741894,NY-Jannink_2025_TM-1_PL-741894,6/2/2025,1,741894,Oat,16
2025,NY02,1,CU_ARS_2026_WOP_284_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_05_subplot_3,741894,NY-Jannink_2025_TM-1_PL-741894,6/2/2025,1,741894,Pea,7.9
2025,NY02,1,CU_ARS_2026_WOP_298_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_05_subplot_3,741894,NY-Jannink_2025_TM-1_PL-741894,6/2/2025,1,741894,Other,2
2025,NY02,1,CU_ARS_2026_WOP_305_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_04_subplot_1,741895,NY-Jannink_2025_TM-1_PL-741895,6/2/2025,1,741895,Oat,49.6
2025,NY02,1,CU_ARS_2026_WOP_323_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_04_subplot_1,741895,NY-Jannink_2025_TM-1_PL-741895,6/2/2025,1,741895,Pea,0
2025,NY02,1,CU_ARS_2026_WOP_324_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_04_subplot_1,741895,NY-Jannink_2025_TM-1_PL-741895,6/2/2025,1,741895,Other,1.3
2025,NY02,1,CU_ARS_2026_WOP_343_subplot_3,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_06_subplot_1,741898,NY-Jannink_2025_TM-1_PL-741898,6/2/2025,1,741898,Oat,0
2025,NY02,1,CU_ARS_2026_WOP_344_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_06_subplot_1,741898,NY-Jannink_2025_TM-1_PL-741898,6/2/2025,1,741898,Pea,32.1
2025,NY02,1,CU_ARS_2026_WOP_369_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_06_subplot_1,741898,NY-Jannink_2025_TM-1_PL-741898,6/2/2025,1,741898,Other,4.7
2025,NY02,1,CU_ARS_2026_WOP_381_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_12_subplot_1,741901,NY-Jannink_2025_TM-1_PL-741901,6/2/2025,1,741901,Oat,20.8
2025,NY02,1,CU_ARS_2026_WOP_388_subplot_2,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_12_subplot_1,741901,NY-Jannink_2025_TM-1_PL-741901,6/2/2025,1,741901,Pea,26.4
2025,NY02,1,TEST,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_12_subplot_1,741901,NY-Jannink_2025_TM-1_PL-741901,6/2/2025,1,741901,Other,1.2
2025,NY02,1,TEST1,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_18_subplot_2,741905,NY-Jannink_2025_TM-1_PL-741905,6/2/2025,1,741905,Oat,15
2025,NY02,1,TEST2,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_18_subplot_2,741905,NY-Jannink_2025_TM-1_PL-741905,6/2/2025,1,741905,Pea,23.6
2025,NY02,1,test1,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_18_subplot_2,741905,NY-Jannink_2025_TM-1_PL-741905,6/2/2025,1,741905,Other,0
2025,NY02,1,test10,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_16_subplot_2,741908,NY-Jannink_2025_TM-1_PL-741908,6/2/2025,1,741908,Oat,68.1
2025,NY02,1,test2,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_16_subplot_2,741908,NY-Jannink_2025_TM-1_PL-741908,6/2/2025,1,741908,Pea,0
2025,NY02,1,test3,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_16_subplot_2,741908,NY-Jannink_2025_TM-1_PL-741908,6/2/2025,1,741908,Other,0.6
2025,NY02,1,test4,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_01_subplot_1,741910,NY-Jannink_2025_TM-1_PL-741910,6/2/2025,1,741910,Oat,0
2025,NY02,1,test5,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_01_subplot_1,741910,NY-Jannink_2025_TM-1_PL-741910,6/2/2025,1,741910,Pea,33.9
2025,NY02,1,test6,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_01_subplot_1,741910,NY-Jannink_2025_TM-1_PL-741910,6/2/2025,1,741910,Other,0.3
2025,NY02,1,test7,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_10_subplot_3,741915,NY-Jannink_2025_TM-1_PL-741915,6/2/2025,1,741915,Oat,26.3
2025,NY02,1,test8,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_10_subplot_3,741915,NY-Jannink_2025_TM-1_PL-741915,6/2/2025,1,741915,Pea,9.2
2025,NY02,1,test9,4,biomass,delete,,,,,,,,,B4I_2025_PM3D_NY_10_subplot_3,741915,NY-Jannink_2025_TM-1_PL-741915,6/2/2025,1,741915,Other,0
2025,NY02,2,741889,4,biomass,added biomass,,,,,,,,,B4I_2025_PM3D_NY_20_subplot_1,741856,NY-Jannink_2025_TM-2_PL-741856,6/24/2025,2,741856,Oat,455.9
2025,NY02,2,741856,4,complete,good,,,,,,,,,B4I_2025_PM3D_NY_20_subplot_1,741856,NY-Jannink_2025_TM-2_PL-741856,6/24/2025,2,741856,Pea,0
2025,NY02,2,741864,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_20_subplot_1,741856,NY-Jannink_2025_TM-2_PL-741856,6/24/2025,2,741856,Other,0
2025,NY02,2,741866,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_02_subplot_2,741860,NY-Jannink_2025_TM-2_PL-741860,6/24/2025,2,741860,Oat,251.6
2025,NY02,2,741869,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_02_subplot_2,741860,NY-Jannink_2025_TM-2_PL-741860,6/24/2025,2,741860,Pea,59
2025,NY02,2,741871,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_02_subplot_2,741860,NY-Jannink_2025_TM-2_PL-741860,6/24/2025,2,741860,Other,6.1
2025,NY02,2,741876,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_14_subplot_3,741864,NY-Jannink_2025_TM-2_PL-741864,6/24/2025,2,741864,Oat,149.2
2025,NY02,2,741879,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_14_subplot_3,741864,NY-Jannink_2025_TM-2_PL-741864,6/24/2025,2,741864,Pea,83.1
2025,NY02,2,741882,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_14_subplot_3,741864,NY-Jannink_2025_TM-2_PL-741864,6/24/2025,2,741864,Other,2.2
2025,NY02,2,741883,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_07_subplot_2,741866,NY-Jannink_2025_TM-2_PL-741866,6/24/2025,2,741866,Oat,315.7
2025,NY02,2,741888,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_07_subplot_2,741866,NY-Jannink_2025_TM-2_PL-741866,6/24/2025,2,741866,Pea,22.5
2025,NY02,2,741893,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_07_subplot_2,741866,NY-Jannink_2025_TM-2_PL-741866,6/24/2025,2,741866,Other,8.7
2025,NY02,2,741896,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_17_subplot_2,741869,NY-Jannink_2025_TM-2_PL-741869,6/24/2025,2,741869,Oat,96.6
2025,NY02,2,741899,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_17_subplot_2,741869,NY-Jannink_2025_TM-2_PL-741869,6/24/2025,2,741869,Pea,146.2
2025,NY02,2,741903,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_17_subplot_2,741869,NY-Jannink_2025_TM-2_PL-741869,6/24/2025,2,741869,Other,0
2025,NY02,2,741904,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_09_subplot_1,741871,NY-Jannink_2025_TM-2_PL-741871,6/24/2025,2,741871,Oat,205.4
2025,NY02,2,741909,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_09_subplot_1,741871,NY-Jannink_2025_TM-2_PL-741871,6/24/2025,2,741871,Pea,0
2025,NY02,2,741911,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_09_subplot_1,741871,NY-Jannink_2025_TM-2_PL-741871,6/24/2025,2,741871,Other,2.2
2025,NY02,2,741914,12,complete,good,,,,,,,,,B4I_2025_PM3D_NY_15_subplot_3,741876,NY-Jannink_2025_TM-2_PL-741876,6/24/2025,2,741876,Oat,0
2025,NY02,2,741860,3,image,,,,,,,,,,B4I_2025_PM3D_NY_15_subplot_3,741876,NY-Jannink_2025_TM-2_PL-741876,6/24/2025,2,741876,Pea,136.5
2025,NY02,2,741890,2,image,used biomass,,,,,,,,,B4I_2025_PM3D_NY_15_subplot_3,741876,NY-Jannink_2025_TM-2_PL-741876,6/24/2025,2,741876,Other,7.5
2025,NY02,3,1.3,8,complete,good,,,,,,,,,B4I_2025_PM3D_NY_13_subplot_3,741879,NY-Jannink_2025_TM-2_PL-741879,6/24/2025,2,741879,Oat,171.2
2025,NY02,3,2.1,3,image,2025-07-15_T3_2.1,119,,,,,,,,B4I_2025_PM3D_NY_11_subplot_2,741890,NY-Jannink_2025_TM-2_PL-741890,6/24/2025,2,741890,Oat,0
