"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Crown rust severity (flag leaf) - percent|CO_350:0005029","Crown rust severity (flag leaf) - percent|day 153|COMP:0000162","Crown rust severity (flag leaf) - percent|day 161|COMP:0000163","Grain moisture content - percent|CO_350:0000536","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Lodging incidence - percent|CO_350:0000165","Lodging severity - 0-9 Rating|CO_350:0005007","Maturity date - Julian day|CO_350:0000271","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Pea Grain Moisture Content - %|CO_xxx:0003018","Pea Grain Weight - g|CO_xxx:0003006","Pea Grain Yield - g/m2|CO_xxx:0003008","Pea Maturity Date - Julian Day|CO_xxx:0003015","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|CO_xxx:0003005","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Pea Plant Height - cm|timepoint 4|COMP:0000125","Pea Test Weight - g/L|CO_xxx:0003016","Pea Thousand Grain Weight - g|CO_xxx:0003017","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|CO_350:0000232","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Plant height - cm|timepoint 4|COMP:0000117","Test weight - g/L|CO_350:0000259","Thousand grain weight - g|CO_350:0000251","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","plot","733786","B4I_2025_AL_1001","1","1","1001","1","1","test","","733468","NDP250174Y","","","","","","29.15","5.578947368","122","","0","","115","","12.3","2.354066986","","5","18","18","39","","","","151.8518519","12","26","26","66","","","","20.55",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","subplot","736095","B4I_2025_AL_1001_subplot_1","1","1","1001","1","1","test","","","","","","","","","","","","","","","","","","","","5","","16","37","","","","","11","","26","71","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","subplot","736096","B4I_2025_AL_1001_subplot_2","1","1","1001","1","1","test","","","","","","","","","","","","","","","","","","","","3","","15","37","","","","","12","","23","61","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","subplot","736097","B4I_2025_AL_1001_subplot_3","1","1","1001","1","1","test","","","","","","","","","","","","","","","","","","","","5","","18","39","","","","","12","","26","66","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","plot","733642","B4I_2025_AL_1002","1","1","1002","1","2","test","","733502","NDP170336G","","","","","","7.7","1.473684211","122","","0","","115","","7.7","1.473684211","","1","17","17","42","","","","128.3333333","10","21","21","68","","","","18.03278689",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","subplot","735855","B4I_2025_AL_1002_subplot_1","1","1","1002","1","2","test","","","","","","","","","","","","","","","","","","","","3","","20","45","","","","","14","","25","64","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","subplot","735856","B4I_2025_AL_1002_subplot_2","1","1","1002","1","2","test","","","","","","","","","","","","","","","","","","","","1","","21","52","","","","","10","","24","64","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","subplot","735857","B4I_2025_AL_1002_subplot_3","1","1","1002","1","2","test","","","","","","","","","","","","","","","","","","","","1","","17","42","","","","","10","","21","68","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","plot","733701","B4I_2025_AL_1003","1","1","1003","1","3","test","","733289","NDP250149G","","","","","","79.55","15.22488038","122","","1","","115","","23.95","4.583732057","","6","21","21","46","","","","128.7634409","17","21","21","74","","","","23.4",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","subplot","735558","B4I_2025_AL_1003_subplot_1","1","1","1003","1","3","test","","","","","","","","","","","","","","","","","","","","3","","18","38","","","","","12","","23","75","","","","",""
