"plot_subplot","subplot_name","accession_name","plot_number","subplot_number","block_number","row_number","col_number","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3","Above ground dry biomass - g|timepoint 1|COMP:0000110","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Above ground dry biomass - g|timepoint 2|COMP:0000111","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Above ground dry biomass - g|timepoint 3|COMP:0000112","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Weed above ground dry biomass - g|timepoint 3|COMP:0000128"
"1_1","B4I_2025_PM3D_IA_01_subplot_1","NO_OATS_PLANTED",1,1,1,21,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1_2","B4I_2025_PM3D_IA_01_subplot_2","NO_OATS_PLANTED",1,2,1,21,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1_3","B4I_2025_PM3D_IA_01_subplot_3","NO_OATS_PLANTED",1,3,1,21,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_1","B4I_2025_PM3D_IA_02_subplot_1","ND190393",2,1,1,20,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_2","B4I_2025_PM3D_IA_02_subplot_2","ND190393",2,2,1,20,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_3","B4I_2025_PM3D_IA_02_subplot_3","ND190393",2,3,1,20,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3_1","B4I_2025_PM3D_IA_03_subplot_1","NO_OATS_PLANTED",3,1,1,19,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3_2","B4I_2025_PM3D_IA_03_subplot_2","NO_OATS_PLANTED",3,2,1,19,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3_3","B4I_2025_PM3D_IA_03_subplot_3","NO_OATS_PLANTED",3,3,1,19,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4_1","B4I_2025_PM3D_IA_04_subplot_1","NO_OATS_PLANTED",4,1,1,18,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4_2","B4I_2025_PM3D_IA_04_subplot_2","NO_OATS_PLANTED",4,2,1,18,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4_3","B4I_2025_PM3D_IA_04_subplot_3","NO_OATS_PLANTED",4,3,1,18,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5_1","B4I_2025_PM3D_IA_05_subplot_1","IL17-1704",5,1,1,17,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5_2","B4I_2025_PM3D_IA_05_subplot_2","IL17-1704",5,2,1,17,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5_3","B4I_2025_PM3D_IA_05_subplot_3","IL17-1704",5,3,1,17,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6_1","B4I_2025_PM3D_IA_06_subplot_1","ND210038",6,1,1,16,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6_2","B4I_2025_PM3D_IA_06_subplot_2","ND210038",6,2,1,16,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6_3","B4I_2025_PM3D_IA_06_subplot_3","ND210038",6,3,1,16,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7_1","B4I_2025_PM3D_IA_07_subplot_1","ND Spilde",7,1,1,15,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7_2","B4I_2025_PM3D_IA_07_subplot_2","ND Spilde",7,2,1,15,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7_3","B4I_2025_PM3D_IA_07_subplot_3","ND Spilde",7,3,1,15,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8_1","B4I_2025_PM3D_IA_08_subplot_1","SD Momentum",8,1,1,14,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8_2","B4I_2025_PM3D_IA_08_subplot_2","SD Momentum",8,2,1,14,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8_3","B4I_2025_PM3D_IA_08_subplot_3","SD Momentum",8,3,1,14,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9_1","B4I_2025_PM3D_IA_09_subplot_1","SD Momentum",9,1,1,13,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9_2","B4I_2025_PM3D_IA_09_subplot_2","SD Momentum",9,2,1,13,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9_3","B4I_2025_PM3D_IA_09_subplot_3","SD Momentum",9,3,1,13,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_1","B4I_2025_PM3D_IA_10_subplot_1","IL17-1704",10,1,1,12,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_2","B4I_2025_PM3D_IA_10_subplot_2","IL17-1704",10,2,1,12,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10_3","B4I_2025_PM3D_IA_10_subplot_3","IL17-1704",10,3,1,12,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11_1","B4I_2025_PM3D_IA_11_subplot_1","ND Spilde",11,1,1,11,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11_2","B4I_2025_PM3D_IA_11_subplot_2","ND Spilde",11,2,1,11,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11_3","B4I_2025_PM3D_IA_11_subplot_3","ND Spilde",11,3,1,11,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12_1","B4I_2025_PM3D_IA_12_subplot_1","NO_OATS_PLANTED",12,1,1,10,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12_2","B4I_2025_PM3D_IA_12_subplot_2","NO_OATS_PLANTED",12,2,1,10,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
