plot_name	row_number	col_number
B4I_2025_NY_5001	1	1
B4I_2025_NY_5002	1	2
B4I_2025_NY_5003	1	3
B4I_2025_NY_5004	1	4
B4I_2025_NY_5005	1	5
B4I_2025_NY_5006	1	6
B4I_2025_NY_5007	1	7
B4I_2025_NY_5008	1	8
B4I_2025_NY_5009	1	9
B4I_2025_NY_5010	1	10
B4I_2025_NY_5011	1	11
B4I_2025_NY_5012	1	12
B4I_2025_NY_5013	1	13
B4I_2025_NY_5014	1	14
B4I_2025_NY_5015	1	15
B4I_2025_NY_5016	1	16
B4I_2025_NY_5017	1	17
B4I_2025_NY_5018	1	18
B4I_2025_NY_5019	1	19
B4I_2025_NY_5020	1	20
B4I_2025_NY_5021	1	21
B4I_2025_NY_5022	1	22
B4I_2025_NY_5023	1	23
B4I_2025_NY_5024	1	24
B4I_2025_NY_5025	1	25
B4I_2025_NY_5026	2	25
B4I_2025_NY_5027	2	24
B4I_2025_NY_5028	2	23
B4I_2025_NY_5029	2	22
B4I_2025_NY_5030	2	21
B4I_2025_NY_5031	2	20
B4I_2025_NY_5032	2	19
B4I_2025_NY_5033	2	18
B4I_2025_NY_5034	2	17
B4I_2025_NY_5035	2	16
B4I_2025_NY_5036	2	15
B4I_2025_NY_5037	2	14
B4I_2025_NY_5038	2	13
B4I_2025_NY_5039	2	12
B4I_2025_NY_5040	2	11
B4I_2025_NY_5041	2	10
B4I_2025_NY_5042	2	9
B4I_2025_NY_5043	2	8
B4I_2025_NY_5044	2	7
B4I_2025_NY_5045	2	6
B4I_2025_NY_5046	2	5
B4I_2025_NY_5047	2	4
B4I_2025_NY_5048	2	3
B4I_2025_NY_5049	2	2
B4I_2025_NY_5050	2	1
B4I_2025_NY_5051	3	1
B4I_2025_NY_5052	3	2
B4I_2025_NY_5053	3	3
B4I_2025_NY_5054	3	4
B4I_2025_NY_5055	3	5
B4I_2025_NY_5056	3	6
B4I_2025_NY_5057	3	7
B4I_2025_NY_5058	3	8
B4I_2025_NY_5059	3	9
B4I_2025_NY_5060	3	10
B4I_2025_NY_5061	3	11
B4I_2025_NY_5062	3	12
B4I_2025_NY_5063	3	13
B4I_2025_NY_5064	3	14
B4I_2025_NY_5065	3	15
B4I_2025_NY_5066	3	16
B4I_2025_NY_5067	3	17
B4I_2025_NY_5068	3	18
B4I_2025_NY_5069	3	19
B4I_2025_NY_5070	3	20
B4I_2025_NY_5071	3	21
B4I_2025_NY_5072	3	22
B4I_2025_NY_5073	3	23
B4I_2025_NY_5074	3	24
B4I_2025_NY_5075	3	25
B4I_2025_NY_5076	4	25
B4I_2025_NY_5077	4	24
B4I_2025_NY_5078	4	23
B4I_2025_NY_5079	4	22
B4I_2025_NY_5080	4	21
B4I_2025_NY_5081	4	20
B4I_2025_NY_5082	4	19
B4I_2025_NY_5083	4	18
B4I_2025_NY_5084	4	17
B4I_2025_NY_5085	4	16
B4I_2025_NY_5086	4	15
B4I_2025_NY_5087	4	14
B4I_2025_NY_5088	4	13
B4I_2025_NY_5089	4	12
B4I_2025_NY_5090	4	11
B4I_2025_NY_5091	4	10
B4I_2025_NY_5092	4	9
B4I_2025_NY_5093	4	8
B4I_2025_NY_5094	4	7
B4I_2025_NY_5095	4	6
B4I_2025_NY_5096	4	5
B4I_2025_NY_5097	4	4
B4I_2025_NY_5098	4	3
B4I_2025_NY_5099	4	2
B4I_2025_NY_5100	4	1
B4I_2025_NY_5101	5	1
B4I_2025_NY_5102	5	2
B4I_2025_NY_5103	5	3
B4I_2025_NY_5104	5	4
B4I_2025_NY_5105	5	5
B4I_2025_NY_5106	5	6
B4I_2025_NY_5107	5	7
B4I_2025_NY_5108	5	8
B4I_2025_NY_5109	5	9
B4I_2025_NY_5110	5	10
B4I_2025_NY_5111	5	11
B4I_2025_NY_5112	5	12
B4I_2025_NY_5113	5	13
B4I_2025_NY_5114	5	14
B4I_2025_NY_5115	5	15
B4I_2025_NY_5116	5	16
B4I_2025_NY_5117	5	17
B4I_2025_NY_5118	5	18
B4I_2025_NY_5119	5	19
B4I_2025_NY_5120	5	20
B4I_2025_NY_5121	5	21
B4I_2025_NY_5122	5	22
B4I_2025_NY_5123	5	23
B4I_2025_NY_5124	5	24
B4I_2025_NY_5125	5	25
B4I_2025_NY_5126	6	25
B4I_2025_NY_5127	6	24
B4I_2025_NY_5128	6	23
B4I_2025_NY_5129	6	22
B4I_2025_NY_5130	6	21
B4I_2025_NY_5131	6	20
B4I_2025_NY_5132	6	19
B4I_2025_NY_5133	6	18
B4I_2025_NY_5134	6	17
B4I_2025_NY_5135	6	16
B4I_2025_NY_5136	6	15
B4I_2025_NY_5137	6	14
B4I_2025_NY_5138	6	13
B4I_2025_NY_5139	6	12
B4I_2025_NY_5140	6	11
B4I_2025_NY_5141	6	10
B4I_2025_NY_5142	6	9
B4I_2025_NY_5143	6	8
B4I_2025_NY_5144	6	7
B4I_2025_NY_5145	6	6
B4I_2025_NY_5146	6	5
B4I_2025_NY_5147	6	4
B4I_2025_NY_5148	6	3
B4I_2025_NY_5149	6	2
B4I_2025_NY_5150	6	1
B4I_2025_NY_5151	7	1
B4I_2025_NY_5152	7	2
B4I_2025_NY_5153	7	3
B4I_2025_NY_5154	7	4
B4I_2025_NY_5155	7	5
B4I_2025_NY_5156	7	6
B4I_2025_NY_5157	7	7
B4I_2025_NY_5158	7	8
B4I_2025_NY_5159	7	9
B4I_2025_NY_5160	7	10
B4I_2025_NY_5161	7	11
B4I_2025_NY_5162	7	12
B4I_2025_NY_5163	7	13
B4I_2025_NY_5164	7	14
B4I_2025_NY_5165	7	15
B4I_2025_NY_5166	7	16
B4I_2025_NY_5167	7	17
B4I_2025_NY_5168	7	18
B4I_2025_NY_5169	7	19
B4I_2025_NY_5170	7	20
B4I_2025_NY_5171	7	21
B4I_2025_NY_5172	7	22
B4I_2025_NY_5173	7	23
B4I_2025_NY_5174	7	24
B4I_2025_NY_5175	7	25
B4I_2025_NY_5176	8	25
B4I_2025_NY_5177	8	24
B4I_2025_NY_5178	8	23
B4I_2025_NY_5179	8	22
B4I_2025_NY_5180	8	21
B4I_2025_NY_5181	8	20
B4I_2025_NY_5182	8	19
B4I_2025_NY_5183	8	18
B4I_2025_NY_5184	8	17
B4I_2025_NY_5185	8	16
B4I_2025_NY_5186	8	15
B4I_2025_NY_5187	8	14
B4I_2025_NY_5188	8	13
B4I_2025_NY_5189	8	12
B4I_2025_NY_5190	8	11
B4I_2025_NY_5191	8	10
B4I_2025_NY_5192	8	9
B4I_2025_NY_5193	8	8
B4I_2025_NY_5194	8	7
B4I_2025_NY_5195	8	6
B4I_2025_NY_5196	8	5
B4I_2025_NY_5197	8	4
B4I_2025_NY_5198	8	3
B4I_2025_NY_5199	8	2
B4I_2025_NY_5200	8	1
B4I_2025_NY_5201	9	1
B4I_2025_NY_5202	9	2
B4I_2025_NY_5203	9	3
B4I_2025_NY_5204	9	4
B4I_2025_NY_5205	9	5
B4I_2025_NY_5206	9	6
B4I_2025_NY_5207	9	7
B4I_2025_NY_5208	9	8
B4I_2025_NY_5209	9	9
B4I_2025_NY_5210	9	10
B4I_2025_NY_5211	9	11
B4I_2025_NY_5212	9	12
B4I_2025_NY_5213	9	13
B4I_2025_NY_5214	9	14
B4I_2025_NY_5215	9	15
B4I_2025_NY_5216	9	16
B4I_2025_NY_5217	9	17
B4I_2025_NY_5218	9	18
B4I_2025_NY_5219	9	19
B4I_2025_NY_5220	9	20
B4I_2025_NY_5221	9	21
B4I_2025_NY_5222	9	22
B4I_2025_NY_5223	9	23
B4I_2025_NY_5224	9	24
B4I_2025_NY_5225	9	25
B4I_2025_NY_5226	10	25
B4I_2025_NY_5227	10	24
B4I_2025_NY_5228	10	23
B4I_2025_NY_5229	10	22
B4I_2025_NY_5230	10	21
B4I_2025_NY_5231	10	20
B4I_2025_NY_5232	10	19
B4I_2025_NY_5233	10	18
B4I_2025_NY_5234	10	17
B4I_2025_NY_5235	10	16
B4I_2025_NY_5236	10	15
B4I_2025_NY_5237	10	14
B4I_2025_NY_5238	10	13
B4I_2025_NY_5239	10	12
B4I_2025_NY_5240	10	11
B4I_2025_NY_5241	10	10
B4I_2025_NY_5242	10	9
B4I_2025_NY_5243	10	8
B4I_2025_NY_5244	10	7
B4I_2025_NY_5245	10	6
B4I_2025_NY_5246	10	5
B4I_2025_NY_5247	10	4
B4I_2025_NY_5248	10	3
B4I_2025_NY_5249	10	2
B4I_2025_NY_5250	10	1
B4I_2025_NY_5251	11	1
B4I_2025_NY_5252	11	2
B4I_2025_NY_5253	11	3
B4I_2025_NY_5254	11	4
B4I_2025_NY_5255	11	5
B4I_2025_NY_5256	11	6
B4I_2025_NY_5257	11	7
B4I_2025_NY_5258	11	8
B4I_2025_NY_5259	11	9
B4I_2025_NY_5260	11	10
B4I_2025_NY_5261	11	11
B4I_2025_NY_5262	11	12
B4I_2025_NY_5263	11	13
B4I_2025_NY_5264	11	14
B4I_2025_NY_5265	11	15
B4I_2025_NY_5266	11	16
B4I_2025_NY_5267	11	17
B4I_2025_NY_5268	11	18
B4I_2025_NY_5269	11	19
B4I_2025_NY_5270	11	20
B4I_2025_NY_5271	11	21
B4I_2025_NY_5272	11	22
B4I_2025_NY_5273	11	23
B4I_2025_NY_5274	11	24
B4I_2025_NY_5275	11	25
B4I_2025_NY_5276	12	25
B4I_2025_NY_5277	12	24
B4I_2025_NY_5278	12	23
B4I_2025_NY_5279	12	22
B4I_2025_NY_5280	12	21
B4I_2025_NY_5281	12	20
B4I_2025_NY_5282	12	19
B4I_2025_NY_5283	12	18
B4I_2025_NY_5284	12	17
B4I_2025_NY_5285	12	16
B4I_2025_NY_5286	12	15
B4I_2025_NY_5287	12	14
B4I_2025_NY_5288	12	13
B4I_2025_NY_5289	12	12
B4I_2025_NY_5290	12	11
B4I_2025_NY_5291	12	10
B4I_2025_NY_5292	12	9
B4I_2025_NY_5293	12	8
B4I_2025_NY_5294	12	7
B4I_2025_NY_5295	12	6
B4I_2025_NY_5296	12	5
B4I_2025_NY_5297	12	4
B4I_2025_NY_5298	12	3
B4I_2025_NY_5299	12	2
B4I_2025_NY_5300	12	1
B4I_2025_NY_5301	13	1
B4I_2025_NY_5302	13	2
B4I_2025_NY_5303	13	3
B4I_2025_NY_5304	13	4
B4I_2025_NY_5305	13	5
B4I_2025_NY_5306	13	6
B4I_2025_NY_5307	13	7
B4I_2025_NY_5308	13	8
B4I_2025_NY_5309	13	9
B4I_2025_NY_5310	13	10
B4I_2025_NY_5311	13	11
B4I_2025_NY_5312	13	12
B4I_2025_NY_5313	13	13
B4I_2025_NY_5314	13	14
B4I_2025_NY_5315	13	15
B4I_2025_NY_5316	13	16
B4I_2025_NY_5317	13	17
B4I_2025_NY_5318	13	18
B4I_2025_NY_5319	13	19
B4I_2025_NY_5320	13	20
B4I_2025_NY_5321	13	21
B4I_2025_NY_5322	13	22
B4I_2025_NY_5323	13	23
B4I_2025_NY_5324	13	24
B4I_2025_NY_5325	13	25
B4I_2025_NY_5326	14	25
B4I_2025_NY_5327	14	24
B4I_2025_NY_5328	14	23
B4I_2025_NY_5329	14	22
B4I_2025_NY_5330	14	21
B4I_2025_NY_5331	14	20
B4I_2025_NY_5332	14	19
B4I_2025_NY_5333	14	18
B4I_2025_NY_5334	14	17
B4I_2025_NY_5335	14	16
B4I_2025_NY_5336	14	15
B4I_2025_NY_5337	14	14
B4I_2025_NY_5338	14	13
B4I_2025_NY_5339	14	12
B4I_2025_NY_5340	14	11
B4I_2025_NY_5341	14	10
B4I_2025_NY_5342	14	9
B4I_2025_NY_5343	14	8
B4I_2025_NY_5344	14	7
B4I_2025_NY_5345	14	6
B4I_2025_NY_5346	14	5
B4I_2025_NY_5347	14	4
B4I_2025_NY_5348	14	3
B4I_2025_NY_5349	14	2
B4I_2025_NY_5350	14	1
B4I_2025_NY_5351	15	1
B4I_2025_NY_5352	15	2
B4I_2025_NY_5353	15	3
B4I_2025_NY_5354	15	4
B4I_2025_NY_5355	15	5
B4I_2025_NY_5356	15	6
B4I_2025_NY_5357	15	7
B4I_2025_NY_5358	15	8
B4I_2025_NY_5359	15	9
B4I_2025_NY_5360	15	10
B4I_2025_NY_5361	15	11
B4I_2025_NY_5362	15	12
B4I_2025_NY_5363	15	13
B4I_2025_NY_5364	15	14
B4I_2025_NY_5365	15	15
B4I_2025_NY_5366	15	16
B4I_2025_NY_5367	15	17
B4I_2025_NY_5368	15	18
B4I_2025_NY_5369	15	19
B4I_2025_NY_5370	15	20
B4I_2025_NY_5371	15	21
B4I_2025_NY_5372	15	22
B4I_2025_NY_5373	15	23
B4I_2025_NY_5374	15	24
B4I_2025_NY_5375	15	25
B4I_2025_NY_5376	16	25
B4I_2025_NY_5377	16	24
B4I_2025_NY_5378	16	23
B4I_2025_NY_5379	16	22
B4I_2025_NY_5380	16	21
B4I_2025_NY_5381	16	20
B4I_2025_NY_5382	16	19
B4I_2025_NY_5383	16	18
B4I_2025_NY_5384	16	17
B4I_2025_NY_5385	16	16
B4I_2025_NY_5386	16	15
B4I_2025_NY_5387	16	14
B4I_2025_NY_5388	16	13
B4I_2025_NY_5389	16	12
B4I_2025_NY_5390	16	11
B4I_2025_NY_5391	16	10
B4I_2025_NY_5392	16	9
B4I_2025_NY_5393	16	8
B4I_2025_NY_5394	16	7
B4I_2025_NY_5395	16	6
B4I_2025_NY_5396	16	5
B4I_2025_NY_5397	16	4
B4I_2025_NY_5398	16	3
B4I_2025_NY_5399	16	2
B4I_2025_NY_5400	16	1
