"subplot_name","subplot_id","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","subplot_number"
"B4I_2025_PM3D_IA_01_subplot_1","741712","B4I_2025_PM3D_IA_01","NO_OATS_PLANTED","1","1","","1","21","10","1"
"B4I_2025_PM3D_IA_01_subplot_2","741713","B4I_2025_PM3D_IA_01","NO_OATS_PLANTED","1","1","","1","21","10","2"
"B4I_2025_PM3D_IA_01_subplot_3","741714","B4I_2025_PM3D_IA_01","NO_OATS_PLANTED","1","1","","1","21","10","3"
"B4I_2025_PM3D_IA_02_subplot_1","741688","B4I_2025_PM3D_IA_02","ND190393","2","1","","1","20","10","1"
"B4I_2025_PM3D_IA_02_subplot_2","741689","B4I_2025_PM3D_IA_02","ND190393","2","1","","1","20","10","2"
"B4I_2025_PM3D_IA_02_subplot_3","741690","B4I_2025_PM3D_IA_02","ND190393","2","1","","1","20","10","3"
"B4I_2025_PM3D_IA_03_subplot_1","741724","B4I_2025_PM3D_IA_03","NO_OATS_PLANTED","3","1","","1","19","10","1"
"B4I_2025_PM3D_IA_03_subplot_2","741725","B4I_2025_PM3D_IA_03","NO_OATS_PLANTED","3","1","","1","19","10","2"
"B4I_2025_PM3D_IA_03_subplot_3","741726","B4I_2025_PM3D_IA_03","NO_OATS_PLANTED","3","1","","1","19","10","3"
"B4I_2025_PM3D_IA_04_subplot_1","741733","B4I_2025_PM3D_IA_04","NO_OATS_PLANTED","4","1","","1","18","10","1"
"B4I_2025_PM3D_IA_04_subplot_2","741734","B4I_2025_PM3D_IA_04","NO_OATS_PLANTED","4","1","","1","18","10","2"
"B4I_2025_PM3D_IA_04_subplot_3","741735","B4I_2025_PM3D_IA_04","NO_OATS_PLANTED","4","1","","1","18","10","3"
"B4I_2025_PM3D_IA_05_subplot_1","741718","B4I_2025_PM3D_IA_05","IL17-1704","5","1","","1","17","10","1"
"B4I_2025_PM3D_IA_05_subplot_2","741719","B4I_2025_PM3D_IA_05","IL17-1704","5","1","","1","17","10","2"
"B4I_2025_PM3D_IA_05_subplot_3","741720","B4I_2025_PM3D_IA_05","IL17-1704","5","1","","1","17","10","3"
"B4I_2025_PM3D_IA_06_subplot_1","741727","B4I_2025_PM3D_IA_06","ND210038","6","1","","1","16","10","1"
"B4I_2025_PM3D_IA_06_subplot_2","741728","B4I_2025_PM3D_IA_06","ND210038","6","1","","1","16","10","2"
"B4I_2025_PM3D_IA_06_subplot_3","741729","B4I_2025_PM3D_IA_06","ND210038","6","1","","1","16","10","3"
"B4I_2025_PM3D_IA_07_subplot_1","741700","B4I_2025_PM3D_IA_07","ND Spilde","7","1","","1","15","10","1"
"B4I_2025_PM3D_IA_07_subplot_2","741701","B4I_2025_PM3D_IA_07","ND Spilde","7","1","","1","15","10","2"
"B4I_2025_PM3D_IA_07_subplot_3","741702","B4I_2025_PM3D_IA_07","ND Spilde","7","1","","1","15","10","3"
"B4I_2025_PM3D_IA_08_subplot_1","741682","B4I_2025_PM3D_IA_08","SD Momentum","8","1","","1","14","10","1"
"B4I_2025_PM3D_IA_08_subplot_2","741683","B4I_2025_PM3D_IA_08","SD Momentum","8","1","","1","14","10","2"
"B4I_2025_PM3D_IA_08_subplot_3","741684","B4I_2025_PM3D_IA_08","SD Momentum","8","1","","1","14","10","3"
"B4I_2025_PM3D_IA_09_subplot_1","741697","B4I_2025_PM3D_IA_09","SD Momentum","9","1","","1","13","10","1"
"B4I_2025_PM3D_IA_09_subplot_2","741698","B4I_2025_PM3D_IA_09","SD Momentum","9","1","","1","13","10","2"
"B4I_2025_PM3D_IA_09_subplot_3","741699","B4I_2025_PM3D_IA_09","SD Momentum","9","1","","1","13","10","3"
"B4I_2025_PM3D_IA_10_subplot_1","741709","B4I_2025_PM3D_IA_10","IL17-1704","10","1","","1","12","10","1"
"B4I_2025_PM3D_IA_10_subplot_2","741710","B4I_2025_PM3D_IA_10","IL17-1704","10","1","","1","12","10","2"
"B4I_2025_PM3D_IA_10_subplot_3","741711","B4I_2025_PM3D_IA_10","IL17-1704","10","1","","1","12","10","3"
"B4I_2025_PM3D_IA_11_subplot_1","741721","B4I_2025_PM3D_IA_11","ND Spilde","11","1","","1","11","10","1"
"B4I_2025_PM3D_IA_11_subplot_2","741722","B4I_2025_PM3D_IA_11","ND Spilde","11","1","","1","11","10","2"
"B4I_2025_PM3D_IA_11_subplot_3","741723","B4I_2025_PM3D_IA_11","ND Spilde","11","1","","1","11","10","3"
"B4I_2025_PM3D_IA_12_subplot_1","741730","B4I_2025_PM3D_IA_12","NO_OATS_PLANTED","12","1","","1","10","10","1"
"B4I_2025_PM3D_IA_12_subplot_2","741731","B4I_2025_PM3D_IA_12","NO_OATS_PLANTED","12","1","","1","10","10","2"
"B4I_2025_PM3D_IA_12_subplot_3","741732","B4I_2025_PM3D_IA_12","NO_OATS_PLANTED","12","1","","1","10","10","3"
