studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,notes
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704459,IL23-260,IL23-260,plot,733786,B4I_2025_AL_1001,1,1,1001,1,1,test,,733468,NDP250174Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704459,IL23-260,IL23-260,subplot,736095,B4I_2025_AL_1001_subplot_1,1,1,1001,1,1,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704459,IL23-260,IL23-260,subplot,736096,B4I_2025_AL_1001_subplot_2,1,1,1001,1,1,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704459,IL23-260,IL23-260,subplot,736097,B4I_2025_AL_1001_subplot_3,1,1,1001,1,1,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733642,B4I_2025_AL_1002,1,1,1002,1,2,test,,"733,502,733,502,733,000","NDP170336G,NDP170336G,NDP170336G",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704592,IL23-963,IL23-963,subplot,735855,B4I_2025_AL_1002_subplot_1,1,1,1002,1,2,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704592,IL23-963,IL23-963,subplot,735856,B4I_2025_AL_1002_subplot_2,1,1,1002,1,2,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704592,IL23-963,IL23-963,subplot,735857,B4I_2025_AL_1002_subplot_3,1,1,1002,1,2,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704726,IL23-2956,IL23-2956,plot,733701,B4I_2025_AL_1003,1,1,1003,1,3,test,,733289,NDP250149G,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704726,IL23-2956,IL23-2956,subplot,735558,B4I_2025_AL_1003_subplot_1,1,1,1003,1,3,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704726,IL23-2956,IL23-2956,subplot,735559,B4I_2025_AL_1003_subplot_2,1,1,1003,1,3,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704726,IL23-2956,IL23-2956,subplot,735560,B4I_2025_AL_1003_subplot_3,1,1,1003,1,3,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733638,B4I_2025_AL_1004,1,1,1004,1,4,test,,"733,312,733,312,733,000","NDP250127Y,NDP250127Y,NDP250127Y",,
