"locationName","plot.subplot","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"AL","101.1",1,1,NA,NA
"AL","101.2",3,NA,NA,1
"AL","101.3",2,NA,1,NA
"AL","102.1",1,1,NA,NA
"AL","102.2",3,NA,NA,1
"AL","102.3",2,NA,1,NA
"AL","103.1",1,1,NA,NA
"AL","103.2",2,NA,1,NA
"AL","103.3",3,NA,NA,1
"AL","104.1",3,NA,NA,1
"AL","104.2",2,NA,1,NA
"AL","104.3",1,1,NA,NA
"AL","105.1",1,1,NA,NA
"AL","105.2",3,NA,NA,1
"AL","105.3",2,NA,1,NA
"AL","106.1",2,NA,1,NA
"AL","106.2",3,NA,NA,1
"AL","106.3",1,1,NA,NA
"AL","107.1",1,1,NA,NA
"AL","107.2",3,NA,NA,1
"AL","107.3",2,NA,1,NA
"AL","108.1",2,NA,1,NA
"AL","108.2",3,NA,NA,1
"AL","108.3",1,1,NA,NA
"AL","109.1",3,NA,NA,1
"AL","109.2",2,NA,1,NA
"AL","109.3",1,1,NA,NA
"AL","110.1",1,1,NA,NA
"AL","110.2",2,NA,1,NA
"AL","110.3",3,NA,NA,1
"AL","111.1",2,NA,1,NA
"AL","111.2",1,1,NA,NA
"AL","111.3",3,NA,NA,1
"AL","112.1",3,NA,NA,1
"AL","112.2",1,1,NA,NA
"AL","112.3",2,NA,1,NA
"AL","113.1",1,1,NA,NA
"AL","113.2",3,NA,NA,1
"AL","113.3",2,NA,1,NA
"AL","114.1",2,NA,1,NA
"AL","114.2",1,1,NA,NA
"AL","114.3",3,NA,NA,1
"AL","115.1",1,1,NA,NA
"AL","115.2",3,NA,NA,1
"AL","115.3",2,NA,1,NA
"AL","116.1",3,NA,NA,1
"AL","116.2",1,1,NA,NA
"AL","116.3",2,NA,1,NA
"AL","117.1",1,1,NA,NA
"AL","117.2",3,NA,NA,1
"AL","117.3",2,NA,1,NA
"AL","118.1",2,NA,1,NA
"AL","118.2",3,NA,NA,1
"AL","118.3",1,1,NA,NA
"AL","119.1",1,1,NA,NA
"AL","119.2",3,NA,NA,1
"AL","119.3",2,NA,1,NA
"AL","120.1",2,NA,1,NA
"AL","120.2",3,NA,NA,1
"AL","120.3",1,1,NA,NA
"IA","101.1",1,1,NA,NA
"IA","101.2",2,NA,1,NA
"IA","101.3",3,NA,NA,1
"IA","102.1",1,1,NA,NA
"IA","102.2",3,NA,NA,1
"IA","102.3",2,NA,1,NA
"IA","103.1",3,NA,NA,1
"IA","103.2",2,NA,1,NA
"IA","103.3",1,1,NA,NA
"IA","104.1",1,1,NA,NA
"IA","104.2",2,NA,1,NA
"IA","104.3",3,NA,NA,1
"IA","105.1",2,NA,1,NA
"IA","105.2",3,NA,NA,1
"IA","105.3",1,1,NA,NA
"IA","106.1",2,NA,1,NA
"IA","106.2",1,1,NA,NA
"IA","106.3",3,NA,NA,1
"IA","107.1",1,1,NA,NA
"IA","107.2",3,NA,NA,1
"IA","107.3",2,NA,1,NA
"IA","108.1",3,NA,NA,1
"IA","108.2",2,NA,1,NA
"IA","108.3",1,1,NA,NA
"IA","109.1",3,NA,NA,1
"IA","109.2",1,1,NA,NA
"IA","109.3",2,NA,1,NA
"IA","110.1",1,1,NA,NA
"IA","110.2",2,NA,1,NA
"IA","110.3",3,NA,NA,1
"IA","111.1",3,NA,NA,1
"IA","111.2",2,NA,1,NA
"IA","111.3",1,1,NA,NA
"IA","112.1",2,NA,1,NA
"IA","112.2",3,NA,NA,1
"IA","112.3",1,1,NA,NA
"IA","113.1",2,NA,1,NA
"IA","113.2",1,1,NA,NA
"IA","113.3",3,NA,NA,1
"IA","114.1",3,NA,NA,1
"IA","114.2",1,1,NA,NA
"IA","114.3",2,NA,1,NA
"IA","115.1",1,1,NA,NA
"IA","115.2",3,NA,NA,1
"IA","115.3",2,NA,1,NA
"IA","116.1",1,1,NA,NA
"IA","116.2",3,NA,NA,1
"IA","116.3",2,NA,1,NA
"IA","117.1",3,NA,NA,1
"IA","117.2",2,NA,1,NA
"IA","117.3",1,1,NA,NA
"IA","118.1",2,NA,1,NA
"IA","118.2",1,1,NA,NA
"IA","118.3",3,NA,NA,1
"IA","119.1",3,NA,NA,1
"IA","119.2",2,NA,1,NA
"IA","119.3",1,1,NA,NA
"IA","120.1",2,NA,1,NA
"IA","120.2",1,1,NA,NA
"IA","120.3",3,NA,NA,1
"IL","101.1",3,NA,NA,1
"IL","101.2",1,1,NA,NA
"IL","101.3",2,NA,1,NA
"IL","102.1",2,NA,1,NA
"IL","102.2",3,NA,NA,1
"IL","102.3",1,1,NA,NA
"IL","103.1",3,NA,NA,1
"IL","103.2",2,NA,1,NA
"IL","103.3",1,1,NA,NA
"IL","104.1",3,NA,NA,1
"IL","104.2",1,1,NA,NA
"IL","104.3",2,NA,1,NA
"IL","105.1",1,1,NA,NA
"IL","105.2",3,NA,NA,1
"IL","105.3",2,NA,1,NA
"IL","106.1",1,1,NA,NA
"IL","106.2",3,NA,NA,1
"IL","106.3",2,NA,1,NA
"IL","107.1",1,1,NA,NA
"IL","107.2",2,NA,1,NA
"IL","107.3",3,NA,NA,1
"IL","108.1",1,1,NA,NA
"IL","108.2",2,NA,1,NA
"IL","108.3",3,NA,NA,1
"IL","109.1",2,NA,1,NA
"IL","109.2",1,1,NA,NA
"IL","109.3",3,NA,NA,1
"IL","110.1",2,NA,1,NA
"IL","110.2",1,1,NA,NA
"IL","110.3",3,NA,NA,1
"IL","111.1",2,NA,1,NA
"IL","111.2",1,1,NA,NA
"IL","111.3",3,NA,NA,1
"IL","112.1",1,1,NA,NA
"IL","112.2",2,NA,1,NA
"IL","112.3",3,NA,NA,1
"IL","113.1",2,NA,1,NA
"IL","113.2",1,1,NA,NA
"IL","113.3",3,NA,NA,1
"IL","114.1",1,1,NA,NA
"IL","114.2",3,NA,NA,1
"IL","114.3",2,NA,1,NA
"IL","115.1",2,NA,1,NA
"IL","115.2",3,NA,NA,1
"IL","115.3",1,1,NA,NA
"IL","116.1",1,1,NA,NA
"IL","116.2",3,NA,NA,1
"IL","116.3",2,NA,1,NA
"IL","117.1",2,NA,1,NA
"IL","117.2",3,NA,NA,1
"IL","117.3",1,1,NA,NA
"IL","118.1",2,NA,1,NA
"IL","118.2",3,NA,NA,1
"IL","118.3",1,1,NA,NA
"IL","119.1",1,1,NA,NA
"IL","119.2",2,NA,1,NA
"IL","119.3",3,NA,NA,1
"IL","120.1",2,NA,1,NA
"IL","120.2",1,1,NA,NA
"IL","120.3",3,NA,NA,1
"ND","101.1",2,NA,1,NA
"ND","101.2",3,NA,NA,1
"ND","101.3",1,1,NA,NA
"ND","102.1",2,NA,1,NA
"ND","102.2",3,NA,NA,1
"ND","102.3",1,1,NA,NA
"ND","103.1",1,1,NA,NA
"ND","103.2",2,NA,1,NA
"ND","103.3",3,NA,NA,1
"ND","104.1",2,NA,1,NA
"ND","104.2",1,1,NA,NA
"ND","104.3",3,NA,NA,1
"ND","105.1",2,NA,1,NA
"ND","105.2",1,1,NA,NA
"ND","105.3",3,NA,NA,1
"ND","106.1",2,NA,1,NA
"ND","106.2",1,1,NA,NA
"ND","106.3",3,NA,NA,1
"ND","107.1",2,NA,1,NA
"ND","107.2",3,NA,NA,1
"ND","107.3",1,1,NA,NA
"ND","108.1",2,NA,1,NA
