consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
1,IL24-5370,24,5370,3,24,72,2,2,3,3,3,13,432,1,1,IL24-5370,AL,120 g,1  ( AL--1 ),IL24-5370,B4i-26 Oat seed ~120 g
1,IL24-5370,24,5370,3,24,72,2,2,3,3,3,13,432,2,1,IL24-5370,IA,120 g,2  ( IA--1 ),IL24-5370,B4i-26 Oat seed ~120 g
1,IL24-5370,24,5370,3,24,72,2,2,3,3,3,13,432,3,1,IL24-5370,ND,120 g,3  ( ND--1 ),IL24-5370,B4i-26 Oat seed ~120 g
1,IL24-5370,24,5370,3,24,72,2,2,3,3,3,13,432,4,1,IL24-5370,NY,120 g,4  ( NY--1 ),IL24-5370,B4i-26 Oat seed ~120 g
2,IL24-6741,24,6741,4,24,96,4,4,3,4,4,19,576,5,2,IL24-6741,AL,120 g,5  ( AL--2 ),IL24-6741,B4i-26 Oat seed ~120 g
2,IL24-6741,24,6741,4,24,96,4,4,3,4,4,19,576,6,2,IL24-6741,IA,120 g,6  ( IA--2 ),IL24-6741,B4i-26 Oat seed ~120 g
2,IL24-6741,24,6741,4,24,96,4,4,3,4,4,19,576,7,2,IL24-6741,ND,120 g,7  ( ND--2 ),IL24-6741,B4i-26 Oat seed ~120 g
2,IL24-6741,24,6741,4,24,96,4,4,3,4,4,19,576,8,2,IL24-6741,NY,120 g,8  ( NY--2 ),IL24-6741,B4i-26 Oat seed ~120 g
3,IL24-6735,24,6735,4,24,96,4,4,4,4,4,20,600,9,3,IL24-6735,AL,120 g,9  ( AL--3 ),IL24-6735,B4i-26 Oat seed ~120 g
3,IL24-6735,24,6735,4,24,96,4,4,4,4,4,20,600,10,3,IL24-6735,IA,120 g,10  ( IA--3 ),IL24-6735,B4i-26 Oat seed ~120 g
3,IL24-6735,24,6735,4,24,96,4,4,4,4,4,20,600,11,3,IL24-6735,ND,120 g,11  ( ND--3 ),IL24-6735,B4i-26 Oat seed ~120 g
3,IL24-6735,24,6735,4,24,96,4,4,4,4,4,20,600,12,3,IL24-6735,NY,120 g,12  ( NY--3 ),IL24-6735,B4i-26 Oat seed ~120 g
4,IL24-7512,24,7512,4,24,96,4,3,3,3,4,17,528,13,4,IL24-7512,AL,120 g,13  ( AL--4 ),IL24-7512,B4i-26 Oat seed ~120 g
4,IL24-7512,24,7512,4,24,96,4,3,3,3,4,17,528,14,4,IL24-7512,IA,120 g,14  ( IA--4 ),IL24-7512,B4i-26 Oat seed ~120 g
4,IL24-7512,24,7512,4,24,96,4,3,3,3,4,17,528,15,4,IL24-7512,ND,120 g,15  ( ND--4 ),IL24-7512,B4i-26 Oat seed ~120 g
4,IL24-7512,24,7512,4,24,96,4,3,3,3,4,17,528,16,4,IL24-7512,NY,120 g,16  ( NY--4 ),IL24-7512,B4i-26 Oat seed ~120 g
5,IL24-6932,24,6932,3,24,72,2,3,2,3,2,12,408,17,5,IL24-6932,AL,120 g,17  ( AL--5 ),IL24-6932,B4i-26 Oat seed ~120 g
5,IL24-6932,24,6932,3,24,72,2,3,2,3,2,12,408,18,5,IL24-6932,IA,120 g,18  ( IA--5 ),IL24-6932,B4i-26 Oat seed ~120 g
5,IL24-6932,24,6932,3,24,72,2,3,2,3,2,12,408,19,5,IL24-6932,ND,120 g,19  ( ND--5 ),IL24-6932,B4i-26 Oat seed ~120 g
5,IL24-6932,24,6932,3,24,72,2,3,2,3,2,12,408,20,5,IL24-6932,NY,120 g,20  ( NY--5 ),IL24-6932,B4i-26 Oat seed ~120 g
6,IL24-426,24,426,4,24,96,3,2,3,3,4,15,480,21,6,IL24-426,AL,120 g,21  ( AL--6 ),IL24-426,B4i-26 Oat seed ~120 g
6,IL24-426,24,426,4,24,96,3,2,3,3,4,15,480,22,6,IL24-426,IA,120 g,22  ( IA--6 ),IL24-426,B4i-26 Oat seed ~120 g
6,IL24-426,24,426,4,24,96,3,2,3,3,4,15,480,23,6,IL24-426,ND,120 g,23  ( ND--6 ),IL24-426,B4i-26 Oat seed ~120 g
6,IL24-426,24,426,4,24,96,3,2,3,3,4,15,480,24,6,IL24-426,NY,120 g,24  ( NY--6 ),IL24-426,B4i-26 Oat seed ~120 g
7,IL24-7537,24,7537,4,24,96,3,3,3,3,4,16,504,25,7,IL24-7537,AL,120 g,25  ( AL--7 ),IL24-7537,B4i-26 Oat seed ~120 g
7,IL24-7537,24,7537,4,24,96,3,3,3,3,4,16,504,26,7,IL24-7537,IA,120 g,26  ( IA--7 ),IL24-7537,B4i-26 Oat seed ~120 g
7,IL24-7537,24,7537,4,24,96,3,3,3,3,4,16,504,27,7,IL24-7537,ND,120 g,27  ( ND--7 ),IL24-7537,B4i-26 Oat seed ~120 g
7,IL24-7537,24,7537,4,24,96,3,3,3,3,4,16,504,28,7,IL24-7537,NY,120 g,28  ( NY--7 ),IL24-7537,B4i-26 Oat seed ~120 g
8,IL24-3417,24,3417,2,24,48,2,2,2,2,2,10,360,29,8,IL24-3417,AL,120 g,29  ( AL--8 ),IL24-3417,B4i-26 Oat seed ~120 g
8,IL24-3417,24,3417,2,24,48,2,2,2,2,2,10,360,30,8,IL24-3417,IA,120 g,30  ( IA--8 ),IL24-3417,B4i-26 Oat seed ~120 g
8,IL24-3417,24,3417,2,24,48,2,2,2,2,2,10,360,31,8,IL24-3417,ND,120 g,31  ( ND--8 ),IL24-3417,B4i-26 Oat seed ~120 g
8,IL24-3417,24,3417,2,24,48,2,2,2,2,2,10,360,32,8,IL24-3417,NY,120 g,32  ( NY--8 ),IL24-3417,B4i-26 Oat seed ~120 g
9,IL24-3211,24,3211,4,24,96,4,4,4,3,3,18,552,33,9,IL24-3211,AL,120 g,33  ( AL--9 ),IL24-3211,B4i-26 Oat seed ~120 g
9,IL24-3211,24,3211,4,24,96,4,4,4,3,3,18,552,34,9,IL24-3211,IA,120 g,34  ( IA--9 ),IL24-3211,B4i-26 Oat seed ~120 g
9,IL24-3211,24,3211,4,24,96,4,4,4,3,3,18,552,35,9,IL24-3211,ND,120 g,35  ( ND--9 ),IL24-3211,B4i-26 Oat seed ~120 g
9,IL24-3211,24,3211,4,24,96,4,4,4,3,3,18,552,36,9,IL24-3211,NY,120 g,36  ( NY--9 ),IL24-3211,B4i-26 Oat seed ~120 g
10,IL24-8437,24,8437,3,24,72,3,2,2,3,3,13,432,37,10,IL24-8437,AL,120 g,37  ( AL--10 ),IL24-8437,B4i-26 Oat seed ~120 g
10,IL24-8437,24,8437,3,24,72,3,2,2,3,3,13,432,38,10,IL24-8437,IA,120 g,38  ( IA--10 ),IL24-8437,B4i-26 Oat seed ~120 g
10,IL24-8437,24,8437,3,24,72,3,2,2,3,3,13,432,39,10,IL24-8437,ND,120 g,39  ( ND--10 ),IL24-8437,B4i-26 Oat seed ~120 g
10,IL24-8437,24,8437,3,24,72,3,2,2,3,3,13,432,40,10,IL24-8437,NY,120 g,40  ( NY--10 ),IL24-8437,B4i-26 Oat seed ~120 g
