trial_name,breeding_program,location,year,design_type,description,trial_type,plot_width,plot_length,field_size,planting_date,harvest_date,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number,seedlot_name,num_seed_per_plot,weight_gram_seed_per_plot,entry_number,intercrop_accession_name
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1001,IL24-3968,1001,1,,,,1,1,,,24,,NDP250268G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1002,IL24-2665,1002,1,,,,1,2,,,24,,NDP250297G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1003,IL24-8631,1003,1,,,,1,3,,,24,,NDP250261G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1004,IL24-7474,1004,1,,,,1,4,,,24,,NDP180105Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1005,IL24-5271,1005,1,,,,1,5,,,24,,NDP250278G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1006,IL24-549,1006,1,,,,1,6,,,24,,NDP180078G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_PM3D_3101,IL20-6928,3101,1,,,,1,7,,,24,,CDC AMARILLO
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1007,IL24-1774,1007,1,,,,1,8,,,24,,NDP250204Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1008,IL24-3841,1008,1,,,,1,9,,,24,,NDP250008Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1009,IL24-4061,1009,1,,,,1,10,,,24,,NDP250270G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_Mono_2101,NO_OATS_PLANTED,2101,1,,,,1,11,,,24,,ND VICTORY
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1010,IL24-7473,1010,1,,,,1,12,,,24,,NDP250280G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1011,IL24-3360,1011,1,,,,1,13,,,24,,NDP250159Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1012,IL24-115,1012,1,,,,1,14,,,24,,NDP250236G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1013,IL24-3207,1013,1,,,,1,15,,,24,,NDP250313G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1014,IL24-3824,1014,1,,,,1,16,,,24,,NDP250192Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1015,IL24-3021,1015,1,,,,1,17,,,24,,NDP180030G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_PM3D_3102,IL21-3542,3102,1,,,,1,18,,,24,,NO_PEAS_PLANTED
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1016,IL24-2728,1016,1,,,,1,19,,,24,,NDP250273G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1017,IL24-2807,1017,1,,,,1,20,,,24,,NDP250260G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1018,IL24-2673,1018,1,,,,2,20,,,24,,NDP250197Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1019,IL24-2665,1019,1,,,,2,19,,,24,,NDP250298G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1020,IL24-8153,1020,1,,,,2,18,,,24,,NDP250220Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1021,IL24-3578,1021,1,,,,2,17,,,24,,NDP250242G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1022,IL24-2536,1022,1,,,,2,16,,,24,,NDP250200Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1023,IL24-6560,1023,1,,,,2,15,,,24,,NDP250219Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_PM3D_3103,NO_OATS_PLANTED,3103,1,,,,2,14,,,24,,ND VICTORY
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1024,IL24-6528,1024,1,,,,2,13,,,24,,NDP180042G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1025,IL24-2525,1025,1,,,,2,12,,,24,,NDP250292Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_PM3D_3104,IL20-7841,3104,1,,,,2,11,,,24,,NO_PEAS_PLANTED
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1026,IL24-3221,1026,1,,,,2,10,,,24,,NDP180042G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_Mono_2102,IL20-6928,2102,1,,,,2,9,,,24,,NO_PEAS_PLANTED
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1027,IL24-2733,1027,1,,,,2,8,,,24,,NDP250258Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1028,IL23-1206,1028,1,,,,2,7,,,24,,NDP250059Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1029,IL24-2733,1029,1,,,,2,6,,,24,,NDP250329G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1030,IL24-3221,1030,1,,,,2,5,,,24,,NDP250354G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1031,IL24-2010,1031,1,,,,2,4,,,24,,NDP250199Y
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1032,IL24-426,1032,1,,,,2,3,,,24,,NDP250313G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1033,IL24-3574,1033,1,,,,2,2,,,24,,NDP170004G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1034,IL24-5370,1034,1,,,,2,1,,,24,,NDP250347G
B4I_2026_NY,Intercropping Cooperative,"Ithaca, NY - Snyder",2026,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,1.3,,0.3993,2026-04-14,,NY_B4I_main_1035,IL24-4174,1035,1,,,,3,1,,,24,,NDP250272G
