"","oat_id","AL","IA","IL","ND","NY"
"1","IL15-2064",1,0,1,1,0
"2","IL19-1222",1,1,1,1,1
"3","IL20-5913",1,1,1,1,0
"4","IL20-6928",1,1,1,0,1
"5","IL20-8320",1,1,1,0,0
"6","IL21-3542",1,1,0,0,0
"7","IL21-5917",1,0,1,1,0
"8","IL22-1423",1,1,1,0,1
"9","IL22-2362",1,0,0,1,0
"10","IL22-251",2,1,1,2,1
"11","IL22-2961",1,0,1,1,0
"12","IL23-1129",1,1,0,0,1
"13","IL23-1206",1,1,0,1,2
"14","IL23-1209",1,0,1,0,0
"15","IL23-1450",1,0,1,1,0
"16","IL23-1462",2,1,1,2,2
"17","IL23-1669",1,0,0,0,1
"18","IL23-1753",1,0,0,0,0
"19","IL23-1847",1,0,1,1,0
"20","IL23-247",1,1,1,0,1
"21","IL23-271",1,1,1,1,1
"22","IL23-2942",1,1,0,1,0
"23","IL23-2963",1,0,0,1,1
"24","IL23-377",1,1,0,1,0
"25","IL23-4049",1,1,1,1,1
"26","IL23-4063",1,2,1,1,1
"27","IL23-4469",1,1,0,0,1
"28","IL23-4546",1,0,1,1,1
"29","IL23-4746",1,1,1,0,0
"30","IL23-875",1,1,1,0,1
"31","IL24-1005",1,1,1,0,0
"32","IL24-1026",2,1,1,0,1
"33","IL24-1031",3,2,2,3,2
"34","IL24-115",2,1,1,2,2
"35","IL24-1207",3,2,2,1,3
"36","IL24-1518",1,2,2,3,3
"37","IL24-155",1,1,2,2,1
"38","IL24-1553",3,1,2,2,2
"39","IL24-1647",3,2,2,0,1
"40","IL24-169",1,1,1,2,0
"41","IL24-1716",3,3,3,3,3
"42","IL24-173",2,1,0,0,2
"43","IL24-1757",1,1,0,1,2
"44","IL24-1760",1,1,2,1,1
"45","IL24-1774",1,2,1,2,1
"46","IL24-1836",2,2,2,1,1
"47","IL24-1905",2,1,2,2,2
"48","IL24-1913",1,2,2,2,3
"49","IL24-1933",1,1,1,1,1
"50","IL24-2010",3,3,3,3,3
"51","IL24-2026",3,3,3,2,3
"52","IL24-2166",2,1,2,1,2
"53","IL24-2175",1,2,2,2,1
"54","IL24-221",1,1,1,1,1
"55","IL24-2246",2,2,3,3,3
"56","IL24-2307",2,0,1,1,1
"57","IL24-2309",2,1,1,1,2
"58","IL24-2311",1,0,1,0,0
"59","IL24-2317",3,3,3,3,2
"60","IL24-2320",1,1,1,1,1
"61","IL24-2325",1,1,1,1,1
"62","IL24-2330",1,1,1,2,2
"63","IL24-2333",2,2,2,2,2
"64","IL24-2357",1,1,2,2,2
"65","IL24-2373",1,1,2,2,2
"66","IL24-2405",1,1,2,2,1
"67","IL24-2408",2,2,3,2,1
"68","IL24-2462",1,1,1,2,2
"69","IL24-2512",2,3,3,3,4
"70","IL24-2525",1,1,2,1,2
"71","IL24-2528",1,1,1,1,1
"72","IL24-2536",4,3,3,3,3
"73","IL24-2553",2,3,2,2,3
"74","IL24-2564",2,3,2,3,2
"75","IL24-2566",1,1,1,2,1
"76","IL24-2611",1,0,2,2,2
"77","IL24-2612",1,1,0,2,2
"78","IL24-2613",1,2,0,1,1
"79","IL24-2647",2,2,2,3,2
"80","IL24-2665",1,2,3,1,2
"81","IL24-2673",2,2,3,3,2
"82","IL24-2705",3,3,3,3,3
"83","IL24-2710",1,2,1,1,1
"84","IL24-2715",3,3,3,2,3
"85","IL24-2728",2,1,1,1,1
"86","IL24-2732",2,1,1,2,1
"87","IL24-2733",2,3,3,3,3
"88","IL24-2807",2,2,2,1,2
"89","IL24-2959",1,2,2,1,1
"90","IL24-2967",3,3,3,3,2
"91","IL24-3017",3,2,2,3,3
"92","IL24-3021",2,2,3,1,2
"93","IL24-3031",1,1,1,2,1
"94","IL24-3060",1,2,2,1,1
"95","IL24-310",2,3,2,2,1
"96","IL24-3111",1,1,0,1,0
"97","IL24-3207",1,1,2,2,1
"98","IL24-3211",4,4,4,3,3
"99","IL24-3213",2,2,2,1,1
"100","IL24-3221",3,2,2,2,2
"101","IL24-324",1,2,2,1,1
"102","IL24-3266",2,1,1,2,0
"103","IL24-3276",1,1,3,2,2
"104","IL24-3322",1,0,1,1,1
"105","IL24-3327",1,1,2,2,0
"106","IL24-3359",2,2,2,2,3
"107","IL24-3360",1,1,1,1,2
"108","IL24-3376",1,2,2,1,1
"109","IL24-3410",1,2,1,1,1
"110","IL24-3415",2,1,1,2,2
"111","IL24-3417",2,2,2,2,2
