oat_id,n,oatE,nOat_plots,g_oat_per_plot,g_per_oat_id
IL24-823,1,11,1,24,24
IL24-3376,1,16,1,24,24
IL24-1836,1,19,1,24,24
IL24-2566,1,21,1,24,24
IL24-5519,1,22,1,24,24
IL24-3869,1,26,1,24,24
IL24-7525,1,29,1,24,24
IL24-8005,1,31,1,24,24
IL24-2405,1,32,1,24,24
IL24-2320,1,38,1,24,24
IL24-3846,1,40,1,24,24
IL24-1647,1,43,1,24,24
IL24-552,1,45,1,24,24
IL24-2709,1,51,1,24,24
IL24-310,1,52,1,24,24
IL24-7509,1,53,1,24,24
IL24-2732,1,58,1,24,24
IL24-7847,1,59,1,24,24
IL24-4822,1,60,1,24,24
IL24-6747,1,62,1,24,24
IL24-4758,1,63,1,24,24
IL24-1774,1,64,1,24,24
IL24-7147,1,65,1,24,24
IL24-5271,1,66,1,24,24
IL24-7535,1,67,1,24,24
IL24-6924,1,69,1,24,24
IL24-6217,1,72,1,24,24
IL24-3456,1,77,1,24,24
IL24-6721,1,78,1,24,24
IL24-3862,1,80,1,24,24
IL24-4808,1,83,1,24,24
IL24-3533,1,85,1,24,24
IL24-627,1,87,1,24,24
IL24-6832,1,90,1,24,24
IL24-8505,1,93,1,24,24
IL24-1760,1,94,1,24,24
IL24-1026,1,97,1,24,24
IL24-6677,1,100,1,24,24
IL24-221,1,106,1,24,24
IL24-7468,1,107,1,24,24
IL24-1676,1,111,1,24,24
IL24-7958,1,113,1,24,24
IL24-6521,1,115,1,24,24
IL24-2175,1,118,1,24,24
IL24-6508,1,119,1,24,24
IL24-8149,1,123,1,24,24
IL24-6278,1,126,1,24,24
IL24-3322,1,128,1,24,24
IL24-1521,1,129,1,24,24
IL24-3207,1,132,1,24,24
IL24-3060,1,135,1,24,24
IL24-549,1,137,1,24,24
IL24-5361,1,138,1,24,24
IL24-8157,1,140,1,24,24
IL24-8560,1,142,1,24,24
IL24-2613,1,144,1,24,24
IL24-4174,1,148,1,24,24
IL24-155,1,152,1,24,24
IL24-8721,1,156,1,24,24
IL24-2728,1,157,1,24,24
IL24-5315,1,160,1,24,24
IL24-8631,1,162,1,24,24
IL24-2325,1,165,1,24,24
IL24-905,1,169,1,24,24
IL24-5517,1,171,1,24,24
IL24-2528,1,174,1,24,24
IL24-3213,1,177,1,24,24
IL24-3516,1,178,1,24,24
IL24-7905,1,183,1,24,24
IL24-4061,1,185,1,24,24
IL24-3031,1,188,1,24,24
IL24-324,1,194,1,24,24
IL24-374,1,200,1,24,24
IL24-3574,1,201,1,24,24
IL24-3471,1,202,1,24,24
IL24-6420,1,203,1,24,24
IL24-6522,1,204,1,24,24
IL24-7717,1,206,1,24,24
IL24-2959,1,208,1,24,24
IL24-8172,1,209,1,24,24
IL24-2408,1,210,1,24,24
IL24-3410,1,212,1,24,24
IL24-362,1,214,1,24,24
IL24-2710,1,216,1,24,24
IL24-2307,1,217,1,24,24
IL24-1933,1,219,1,24,24
IL24-618,1,222,1,24,24
IL19-1222,1,226,1,24,24
IL19-2033,1,227,1,24,24
IL19-3618,1,228,1,24,24
IL19-4877,1,229,1,24,24
IL20-6928,1,232,1,24,24
IL22-251,1,236,1,24,24
IL22-1423,1,237,1,24,24
IL23-247,1,241,1,24,24
IL23-251,1,242,1,24,24
IL23-271,1,243,1,24,24
IL23-875,1,245,1,24,24
IL23-1115,1,248,1,24,24
IL23-1129,1,249,1,24,24
IL23-1163,1,250,1,24,24
IL23-1531,1,256,1,24,24
IL23-1669,1,258,1,24,24
IL23-2371,1,264,1,24,24
IL23-2443,1,265,1,24,24
IL23-2954,1,267,1,24,24
IL23-2963,1,268,1,24,24
IL23-4049,1,270,1,24,24
IL23-4063,1,271,1,24,24
IL23-4118,1,272,1,24,24
IL23-4444,1,273,1,24,24
IL23-4469,1,274,1,24,24
IL23-4546,1,275,1,24,24
IL23-4547,1,276,1,24,24
IL24-6932,2,5,2,24,48
IL24-3417,2,8,2,24,48
IL24-7458,2,12,2,24,48
IL24-2309,2,13,2,24,48
IL24-4634,2,14,2,24,48
IL24-2647,2,15,2,24,48
IL24-6547,2,17,2,24,48
IL24-7478,2,18,2,24,48
IL24-2564,2,24,2,24,48
IL24-6159,2,25,2,24,48
IL24-2462,2,27,2,24,48
IL24-3021,2,28,2,24,48
IL24-2665,2,30,2,24,48
IL24-2611,2,34,2,24,48
IL24-8612,2,37,2,24,48
IL24-2333,2,39,2,24,48
IL24-3415,2,41,2,24,48
IL24-5446,2,42,2,24,48
IL24-2807,2,44,2,24,48
IL24-4756,2,47,2,24,48
IL24-8617,2,48,2,24,48
IL24-4117,2,49,2,24,48
IL24-3816,2,54,2,24,48
IL24-7561,2,57,2,24,48
IL24-3774,2,61,2,24,48
IL24-7337,2,68,2,24,48
IL24-8746,2,70,2,24,48
IL24-2673,2,71,2,24,48
IL24-975,2,75,2,24,48
IL24-4635,2,79,2,24,48
IL24-3821,2,86,2,24,48
IL24-2330,2,88,2,24,48
IL24-2357,2,95,2,24,48
IL24-3360,2,98,2,24,48
IL24-2967,2,99,2,24,48
