"pea_id","n","peaE","nPea_plots","g_pea_per_plot","g_per_pea_id"
"AGASSIZ",1,1,1,58.8,58.8
"ARCADIA",1,2,1,70.3,70.3
"NDP150232Y",1,7,1,82.1,82.1
"NDP150476G",1,8,1,66,66
"NDP170056G",1,14,1,61.9,61.9
"NDP170322Y",1,16,1,70.6,70.6
"NDP180078G",1,25,1,58.3,58.3
"NDP180080Y",1,26,1,66.8,66.8
"NDP180099G",1,30,1,67.2,67.2
"NDP250004Y",1,34,1,70.7,70.7
"NDP250006Y",1,35,1,71.1,71.1
"NDP250007Y",1,36,1,64.1,64.1
"NDP250015G",1,40,1,78,78
"NDP250018G",1,43,1,77,77
"NDP250022Y",1,45,1,76.8,76.8
"NDP250024Y",1,46,1,68.3,68.3
"NDP250036Y",1,48,1,60.8,60.8
"NDP250048Y",1,52,1,61.6,61.6
"NDP250051Y",1,53,1,63.9,63.9
"NDP250076Y",1,58,1,60.5,60.5
"NDP250123Y",1,64,1,69.7,69.7
"NDP250137G",1,66,1,61.3,61.3
"NDP250148G",1,67,1,68.5,68.5
"NDP250158Y",1,69,1,70.3,70.3
"NDP250160Y",1,71,1,63.4,63.4
"NDP250193Y",1,81,1,65.7,65.7
"NDP250196Y",1,84,1,68.5,68.5
"NDP250207G",1,94,1,70.7,70.7
"NDP250218Y",1,101,1,71.3,71.3
"NDP250245G",1,124,1,62.1,62.1
"NDP250250Y",1,128,1,66.5,66.5
"NDP250252Y",1,130,1,63.4,63.4
"NDP250253Y",1,131,1,64.1,64.1
"NDP250255Y",1,133,1,63.2,63.2
"NDP250265G",1,140,1,71.7,71.7
"NDP250266G",1,141,1,59.6,59.6
"NDP250267G",1,142,1,57.7,57.7
"NDP250277G",1,152,1,69.7,69.7
"NDP250281G",1,156,1,60.6,60.6
"NDP250283G",1,158,1,60.9,60.9
"NDP250284G",1,159,1,63.1,63.1
"NDP250288Y",1,162,1,72.1,72.1
"NDP250291Y",1,163,1,71.4,71.4
"NDP250295Y",1,167,1,67.1,67.1
"NDP250296Y",1,168,1,73.7,73.7
"NDP250298G",1,170,1,59.5,59.5
"NDP250300G",1,171,1,59.6,59.6
"NDP250305G",1,175,1,56.6,56.6
"NDP250306G",1,176,1,73,73
"NDP250310G",1,178,1,68.4,68.4
"NDP250320G",1,185,1,72.6,72.6
"NDP250323G",1,186,1,72,72
"NDP250324G",1,187,1,64.7,64.7
"NDP250327G",1,190,1,68.1,68.1
"NDP250330G",1,192,1,75.7,75.7
"NDP250332G",1,193,1,70.3,70.3
"NDP250338G",1,197,1,62.9,62.9
"NDP250342G",1,201,1,63.8,63.8
"NDP250344G",1,202,1,66.8,66.8
"NDP250346G",1,204,1,70.7,70.7
"NDP250348G",1,206,1,69.4,69.4
"NDP250349G",1,207,1,69.1,69.1
"NDP250351G",1,209,1,62.1,62.1
"NDP250352G",1,210,1,73.2,73.2
"NDP250357G",1,212,1,62.2,62.2
"NDP250358G",1,213,1,63.2,63.2
"NDP250360G",1,215,1,63.9,63.9
"NDP250363G",1,218,1,63.4,63.4
"NDP250366G",1,219,1,71.6,71.6
"NDP250369G",1,221,1,67,67
"NDP250370G",1,222,1,72.4,72.4
"NDP250372G",1,224,1,64.2,64.2
"NDP250373G",1,225,1,73.7,73.7
"NDP250374Y",1,226,1,70.6,70.6
"NDP250375Y",1,227,1,68.7,68.7
"NDP250377G",1,228,1,65.4,65.4
"NDP250379G",1,230,1,66.1,66.1
"NDP250382G",1,232,1,57,57
"NDP250385G",1,234,1,74.4,74.4
"NDP250386G",1,235,1,64.8,64.8
