"source","PlotNo","oatName","peaName"
"peaE 2","108-PM3D aka 138.42","IL20-7841","ARCADIA  70.3g_per_plot"
"peaE 2","109-mono aka 182.88",NA,"ARCADIA  117.2g_per_plot"
"peaE 2","112-PM3D aka 265.15","IL21-4039","ARCADIA  70.3g_per_plot"
"peaE 2","114-PM3D aka 295.8",NA,"ARCADIA  117.2g_per_plot"
"peaE 2","205-mono aka 301.15",NA,"ARCADIA  117.2g_per_plot"
"peaE 3","105-mono aka 73.84",NA,"CDC INCA  128.2g_per_plot"
"peaE 3","110-PM3D aka 161.62","IL21-3542","CDC INCA  76.9g_per_plot"
"peaE 3","201-mono aka 209.38",NA,"CDC INCA  128.2g_per_plot"
"peaE 3","113-PM3D aka 283.82","IL20-7841","CDC INCA  76.9g_per_plot"
"peaE 3","120-PM3D aka 382.07",NA,"CDC INCA  128.2g_per_plot"
"peaE 4","104-mono aka 66.56",NA,"GREENWOOD  118g_per_plot"
"peaE 4","111-PM3D aka 205.3","REINS","GREENWOOD  70.8g_per_plot"
"peaE 4","115-PM3D aka 316.06","IL21-4039","GREENWOOD  70.8g_per_plot"
"peaE 4","209-mono aka 360.66",NA,"GREENWOOD  118g_per_plot"
"peaE 4","118-PM3D aka 365.34",NA,"GREENWOOD  118g_per_plot"
"peaE 236","101-PM3D aka 6.2","IL20-6928","CDC AMARILLO  66g_per_plot"
"peaE 236","105-PM3D aka 65.06",NA,"CDC AMARILLO  110g_per_plot"
"peaE 236","108-mono aka 182.54",NA,"CDC AMARILLO  110g_per_plot"
"peaE 236","116-PM3D aka 321.11","IL20-7841","CDC AMARILLO  66g_per_plot"
"peaE 236","210-mono aka 373.94",NA,"CDC AMARILLO  110g_per_plot"
"peaE 236","119-PM3D aka 376.21","IL21-3542","CDC AMARILLO  66g_per_plot"
"peaE 237","101-mono aka 9.46",NA,"ND VICTORY  100.3g_per_plot"
"peaE 237","103-PM3D aka 23.09",NA,"ND VICTORY  100.3g_per_plot"
"peaE 237","204-mono aka 299.15",NA,"ND VICTORY  100.3g_per_plot"
"peaE 237","117-PM3D aka 330.53","REINS","ND VICTORY  60.2g_per_plot"
NA,"102-PM3D aka 15.59","IL21-3542",NA
NA,"104-PM3D aka 25.1","IL20-7841",NA
NA,"102-mono aka 26.04","IL20-6928",NA
NA,"103-mono aka 64.98","IL21-4039",NA
NA,"106-PM3D aka 98.33","IL21-4039",NA
NA,"107-PM3D aka 108.27","REINS",NA
NA,"106-mono aka 126.62","IL21-3542",NA
NA,"109-PM3D aka 143.87","IL20-6928",NA
NA,"107-mono aka 178.5","IL20-7841",NA
NA,"110-mono aka 197.36","REINS",NA
NA,"202-mono aka 244.54","IL20-6928",NA
NA,"203-mono aka 288.71","IL20-7841",NA
NA,"206-mono aka 310.41","IL21-4039",NA
NA,"207-mono aka 350.95","IL21-3542",NA
NA,"208-mono aka 354.86","REINS",NA
