source,PlotNo,oatName,peaName
oatE 11   plots 1,372,IL24-823,NDP250343G peaE 257
oatE 16   plots 1,216,IL24-3376,NDP250307G peaE 177
oatE 19   plots 1,281,IL24-1836,NDP250251Y peaE 129
oatE 21   plots 1,142,IL24-2566,NDP180030G peaE 19
oatE 22   plots 1,133,IL24-5519,NDP250190Y peaE 79
oatE 26   plots 1,308,IL24-3869,NDP250336G peaE 195
oatE 29   plots 1,191,IL24-7525,NDP180072Y peaE 24
oatE 31   plots 1,280,IL24-8005,NDP250275G peaE 150
oatE 32   plots 1,73,IL24-2405,NDP250240G peaE 119
oatE 38   plots 1,207,IL24-2320,NDP250360G peaE 215
oatE 40   plots 1,169,IL24-3846,NDP250244G peaE 123
oatE 43   plots 1,178,IL24-1647,NDP250350G peaE 208
oatE 45   plots 1,165,IL24-552,NDP250340G peaE 199
oatE 51   plots 1,82,IL24-2709,NDP250207G peaE 94
oatE 52   plots 1,85,IL24-310,NDP250291Y peaE 163
oatE 53   plots 1,215,IL24-7509,NDP250279G peaE 154
oatE 58   plots 1,151,IL24-2732,NDP250164Y peaE 73
oatE 59   plots 1,58,IL24-7847,NDP250210G peaE 96
oatE 60   plots 1,123,IL24-4822,NDP250257Y peaE 134
oatE 62   plots 1,354,IL24-6747,NDP250307G peaE 177
oatE 63   plots 1,286,IL24-4758,NDP250039Y peaE 50
oatE 64   plots 1,7,IL24-1774,NDP250204Y peaE 91
oatE 65   plots 1,266,IL24-7147,NDP250318Y peaE 184
oatE 66   plots 1,5,IL24-5271,NDP250278G peaE 153
oatE 67   plots 1,162,IL24-7535,NDP250009Y peaE 38
oatE 69   plots 1,294,IL24-6924,NDP250293Y peaE 165
oatE 72   plots 1,380,IL24-6217,NDP250238G peaE 117
oatE 77   plots 1,127,IL24-3456,NDP250378G peaE 229
oatE 78   plots 1,172,IL24-6721,NDP250219Y peaE 102
oatE 80   plots 1,148,IL24-3862,NDP250326G peaE 189
oatE 83   plots 1,288,IL24-4808,NDP250167Y peaE 75
oatE 85   plots 1,89,IL24-3533,CDC INCA peaE 3
oatE 87   plots 1,232,IL24-627,NDP250199Y peaE 87
oatE 90   plots 1,77,IL24-6832,NDP250272G peaE 147
oatE 93   plots 1,128,IL24-8505,NDP250203Y peaE 255
oatE 94   plots 1,204,IL24-1760,NDP250267G peaE 142
oatE 97   plots 1,90,IL24-1026,NDP250165Y peaE 74
oatE 100   plots 1,132,IL24-6677,NDP250339G peaE 198
oatE 106   plots 1,144,IL24-221,NDP250330G peaE 192
oatE 107   plots 1,208,IL24-7468,NDP250203Y peaE 255
oatE 111   plots 1,92,IL24-1676,NDP250215Y peaE 98
oatE 113   plots 1,259,IL24-7958,GREENWOOD peaE 4
oatE 115   plots 1,125,IL24-6521,NDP250215Y peaE 98
oatE 118   plots 1,57,IL24-2175,NDP250371G peaE 223
oatE 119   plots 1,318,IL24-6508,NDP250285G peaE 160
oatE 123   plots 1,100,IL24-8149,NDP250223G peaE 106
oatE 126   plots 1,349,IL24-6278,NDP250326G peaE 189
oatE 128   plots 1,316,IL24-3322,NDP180099G peaE 30
oatE 129   plots 1,131,IL24-1521,NDP180091G peaE 28
oatE 132   plots 1,13,IL24-3207,NDP250313G peaE 180
oatE 135   plots 1,130,IL24-3060,NDP250244G peaE 123
oatE 137   plots 1,6,IL24-549,NDP180078G peaE 25
oatE 138   plots 1,138,IL24-5361,NDP250190Y peaE 79
oatE 140   plots 1,306,IL24-8157,NDP250024Y peaE 46
oatE 142   plots 1,156,IL24-8560,NDP250198Y peaE 86
oatE 144   plots 1,67,IL24-2613,NDP250257Y peaE 134
oatE 148   plots 1,35,IL24-4174,NDP250272G peaE 147
oatE 152   plots 1,104,IL24-155,NDP250307G peaE 177
oatE 156   plots 1,102,IL24-8721,NDP250266G peaE 141
oatE 157   plots 1,16,IL24-2728,NDP250273G peaE 148
oatE 160   plots 1,246,IL24-5315,NDP250295Y peaE 167
oatE 162   plots 1,3,IL24-8631,NDP250261G peaE 138
oatE 165   plots 1,59,IL24-2325,NDP250008Y peaE 37
oatE 169   plots 1,50,IL24-905,NDP250221Y peaE 104
oatE 171   plots 1,110,IL24-5517,NDP250369G peaE 221
oatE 174   plots 1,56,IL24-2528,NDP250316Y peaE 182
oatE 177   plots 1,358,IL24-3213,NDP250195Y peaE 83
oatE 178   plots 1,139,IL24-3516,NDP250223G peaE 106
oatE 183   plots 1,344,IL24-7905,NDP250336G peaE 195
oatE 185   plots 1,9,IL24-4061,NDP250270G peaE 145
oatE 188   plots 1,270,IL24-3031,NDP250119G peaE 63
oatE 194   plots 1,303,IL24-324,NDP250241G peaE 120
oatE 200   plots 1,293,IL24-374,NDP250214Y peaE 97
oatE 201   plots 1,33,IL24-3574,NDP170004G peaE 9
oatE 202   plots 1,152,IL24-3471,CDC INCA peaE 3
oatE 203   plots 1,140,IL24-6420,NDP250197Y peaE 85
oatE 204   plots 1,234,IL24-6522,NDP250362G peaE 217
oatE 206   plots 1,247,IL24-7717,NDP250194Y peaE 82
oatE 208   plots 1,339,IL24-2959,NDP250197Y peaE 85
oatE 209   plots 1,184,IL24-8172,NDP250382G peaE 232
oatE 210   plots 1,119,IL24-2408,NDP250380G peaE 231
oatE 212   plots 1,176,IL24-3410,NDP250276G peaE 151
oatE 214   plots 1,211,IL24-362,NDP250284G peaE 159
oatE 216   plots 1,53,IL24-2710,NDP250123Y peaE 64
oatE 217   plots 1,363,IL24-2307,GREENWOOD peaE 4
oatE 219   plots 1,185,IL24-1933,NDP250312G peaE 179
oatE 222   plots 1,108,IL24-618,NDP250349G peaE 207
oatE 226   plots 1,157,IL19-1222,NDP250177Y peaE 266
oatE 227   plots 1,295,IL19-2033,NDP250288Y peaE 162
oatE 228   plots 1,304,IL19-3618,NDP170151Y peaE 244
oatE 229   plots 1,65,IL19-4877,NDP250277G peaE 152
oatE 232   plots 1,118,IL20-6928,NDP170031G peaE 243
oatE 236   plots 1,70,IL22-251,NDP250010Y peaE 39
oatE 237   plots 1,285,IL22-1423,NDP250141G peaE 253
oatE 241   plots 1,192,IL23-247,NDP250051Y peaE 53
oatE 242   plots 1,381,IL23-251,NDP170056G peaE 14
oatE 243   plots 1,154,IL23-271,NDP250121Y peaE 277
oatE 245   plots 1,105,IL23-875,NDP150232Y peaE 7
oatE 248   plots 1,180,IL23-1115,NDP250036Y peaE 48
oatE 249   plots 1,269,IL23-1129,NDP250196Y peaE 84
oatE 250   plots 1,319,IL23-1163,NDP250048Y peaE 52
oatE 256   plots 1,366,IL23-1531,NDP250137G peaE 66
oatE 258   plots 1,60,IL23-1669,NDP250089Y peaE 250
oatE 264   plots 1,143,IL23-2371,NDP170001G peaE 274
oatE 265   plots 1,250,IL23-2443,NDP250073Y peaE 276
oatE 267   plots 1,341,IL23-2954,NDP140510Y peaE 238
oatE 268   plots 1,45,IL23-2963,NDP150338Y peaE 240
oatE 270   plots 1,221,IL23-4049,NDP250084Y peaE 249
oatE 271   plots 1,124,IL23-4063,NDP170017G peaE 275
oatE 272   plots 1,253,IL23-4118,NDP150476G peaE 8
oatE 273   plots 1,218,IL23-4444,NDP250248G peaE 126
oatE 274   plots 1,357,IL23-4469,NDP250172Y peaE 278
oatE 275   plots 1,359,IL23-4546,NDP160034Y peaE 273
oatE 276   plots 1,55,IL23-4547,NDP170181Y peaE 246
oatE 5   plots 2,263,IL24-6932,NDP250164Y peaE 73
oatE 5   plots 2,284,IL24-6932,NDP180072Y peaE 24
oatE 8   plots 2,80,IL24-3417,NDP250222G peaE 105
oatE 8   plots 2,168,IL24-3417,NDP250315Y peaE 181
oatE 12   plots 2,265,IL24-7458,NDP170004G peaE 9
oatE 12   plots 2,327,IL24-7458,NDP250341G peaE 200
oatE 13   plots 2,120,IL24-2309,NDP250292Y peaE 164
oatE 13   plots 2,206,IL24-2309,NDP250333G peaE 194
oatE 14   plots 2,49,IL24-4634,NDP250202Y peaE 90
oatE 14   plots 2,394,IL24-4634,NDP250045Y peaE 51
oatE 15   plots 2,107,IL24-2647,NDP250015G peaE 40
oatE 15   plots 2,398,IL24-2647,NDP250271G peaE 146
oatE 17   plots 2,179,IL24-6547,NDP250239G peaE 118
oatE 17   plots 2,190,IL24-6547,NDP250304G peaE 174
oatE 18   plots 2,161,IL24-7478,NDP250228G peaE 111
oatE 18   plots 2,212,IL24-7478,NDP250228G peaE 111
oatE 24   plots 2,150,IL24-2564,NDP250228G peaE 111
oatE 24   plots 2,305,IL24-2564,NDP250002G peaE 33
oatE 25   plots 2,94,IL24-6159,NDP250259G peaE 136
oatE 25   plots 2,298,IL24-6159,NDP250251Y peaE 129
oatE 27   plots 2,258,IL24-2462,NDP250317Y peaE 183
oatE 27   plots 2,332,IL24-2462,NDP250004Y peaE 34
oatE 28   plots 2,15,IL24-3021,NDP180030G peaE 19
oatE 28   plots 2,166,IL24-3021,NDP250338G peaE 197
oatE 30   plots 2,2,IL24-2665,NDP250297G peaE 169
oatE 30   plots 2,19,IL24-2665,NDP250298G peaE 170
oatE 34   plots 2,233,IL24-2611,NDP250270G peaE 145
oatE 34   plots 2,326,IL24-2611,NDP250348G peaE 206
oatE 37   plots 2,177,IL24-8612,NDP250159Y peaE 70
oatE 37   plots 2,210,IL24-8612,NDP250224G peaE 107
oatE 39   plots 2,262,IL24-2333,NDP250286G peaE 161
oatE 39   plots 2,291,IL24-2333,NDP250193Y peaE 81
oatE 41   plots 2,170,IL24-3415,NDP250002G peaE 33
oatE 41   plots 2,374,IL24-3415,NDP250358G peaE 213
oatE 42   plots 2,86,IL24-5446,NDP250190Y peaE 79
oatE 42   plots 2,197,IL24-5446,NDP250258Y peaE 135
oatE 44   plots 2,17,IL24-2807,NDP250260G peaE 137
oatE 44   plots 2,245,IL24-2807,NDP250260G peaE 137
oatE 47   plots 2,129,IL24-4756,NDP250237G peaE 116
oatE 47   plots 2,297,IL24-4756,NDP250237G peaE 116
oatE 48   plots 2,220,IL24-8617,NDP250242G peaE 121
oatE 48   plots 2,320,IL24-8617,NDP250215Y peaE 98
oatE 49   plots 2,36,IL24-4117,NDP250229G peaE 112
oatE 49   plots 2,214,IL24-4117,NDP250229G peaE 112
oatE 54   plots 2,88,IL24-3816,NDP250305G peaE 175
oatE 54   plots 2,373,IL24-3816,NDP250329G peaE 191
oatE 57   plots 2,116,IL24-7561,NDP250274G peaE 149
