"source","PlotNo","oatName","peaName"
"peaE 1   plots 1",390,"IL24-3578","AGASSIZ peaE 1"
"peaE 2   plots 1",371,"IL24-3735","ARCADIA peaE 2"
"peaE 7   plots 1",105,"IL23-875","NDP150232Y peaE 7"
"peaE 8   plots 1",253,"IL23-4118","NDP150476G peaE 8"
"peaE 14   plots 1",381,"IL23-251","NDP170056G peaE 14"
"peaE 16   plots 1",241,"IL23-1462","NDP170322Y peaE 16"
"peaE 25   plots 1",6,"IL24-549","NDP180078G peaE 25"
"peaE 26   plots 1",375,"IL24-2512","NDP180080Y peaE 26"
"peaE 30   plots 1",316,"IL24-3322","NDP180099G peaE 30"
"peaE 34   plots 1",332,"IL24-2462","NDP250004Y peaE 34"
"peaE 35   plots 1",370,"IL24-5877","NDP250006Y peaE 35"
"peaE 36   plots 1",237,"IL24-3276","NDP250007Y peaE 36"
"peaE 40   plots 1",107,"IL24-2647","NDP250015G peaE 40"
"peaE 43   plots 1",84,"IL24-4767","NDP250018G peaE 43"
"peaE 45   plots 1",249,"IL24-6735","NDP250022Y peaE 45"
"peaE 46   plots 1",306,"IL24-8157","NDP250024Y peaE 46"
"peaE 48   plots 1",180,"IL23-1115","NDP250036Y peaE 48"
"peaE 52   plots 1",319,"IL23-1163","NDP250048Y peaE 52"
"peaE 53   plots 1",192,"IL23-247","NDP250051Y peaE 53"
"peaE 58   plots 1",268,"IL23-1462","NDP250076Y peaE 58"
"peaE 64   plots 1",53,"IL24-2710","NDP250123Y peaE 64"
"peaE 66   plots 1",366,"IL23-1531","NDP250137G peaE 66"
"peaE 67   plots 1",240,"IL24-6468","NDP250148G peaE 67"
"peaE 69   plots 1",71,"IL24-7538","NDP250158Y peaE 69"
"peaE 71   plots 1",287,"IL23-1206","NDP250160Y peaE 71"
"peaE 81   plots 1",291,"IL24-2333","NDP250193Y peaE 81"
"peaE 84   plots 1",269,"IL23-1129","NDP250196Y peaE 84"
"peaE 94   plots 1",82,"IL24-2709","NDP250207G peaE 94"
"peaE 101   plots 1",333,"IL24-1757","NDP250218Y peaE 101"
"peaE 124   plots 1",296,"IL24-7705","NDP250245G peaE 124"
"peaE 128   plots 1",66,"IL24-8746","NDP250250Y peaE 128"
"peaE 130   plots 1",314,"IL24-6735","NDP250252Y peaE 130"
"peaE 131   plots 1",137,"IL24-6672","NDP250253Y peaE 131"
"peaE 133   plots 1",37,"IL24-7337","NDP250255Y peaE 133"
"peaE 140   plots 1",112,"IL24-8738","NDP250265G peaE 140"
"peaE 141   plots 1",102,"IL24-8721","NDP250266G peaE 141"
"peaE 142   plots 1",204,"IL24-1760","NDP250267G peaE 142"
"peaE 152   plots 1",65,"IL19-4877","NDP250277G peaE 152"
"peaE 156   plots 1",324,"IL24-6735","NDP250281G peaE 156"
"peaE 158   plots 1",399,"IL24-1518","NDP250283G peaE 158"
"peaE 159   plots 1",211,"IL24-362","NDP250284G peaE 159"
"peaE 162   plots 1",295,"IL19-2033","NDP250288Y peaE 162"
"peaE 163   plots 1",85,"IL24-310","NDP250291Y peaE 163"
"peaE 167   plots 1",246,"IL24-5315","NDP250295Y peaE 167"
"peaE 168   plots 1",163,"IL24-4920","NDP250296Y peaE 168"
"peaE 170   plots 1",19,"IL24-2665","NDP250298G peaE 170"
"peaE 171   plots 1",368,"IL24-526","NDP250300G peaE 171"
"peaE 175   plots 1",88,"IL24-3816","NDP250305G peaE 175"
"peaE 176   plots 1",219,"IL24-6735","NDP250306G peaE 176"
"peaE 178   plots 1",63,"IL24-7512","NDP250310G peaE 178"
"peaE 185   plots 1",217,"IL24-7729","NDP250320G peaE 185"
"peaE 186   plots 1",193,"IL24-2026","NDP250323G peaE 186"
