X,location,oat_id,pea_id,combo,block_type,oat_total_plots,pea_total_plots,oat_used_plots,pea_used_plots,oat_plots_remaining,pea_plots_remaining,block,within_rep,row,col,plot_number,unit,gid,gid.no,row,col,rep,trt,block,plot,pedigree,crop,trial,location,year,design,field
801,IL,IL24-8612,NDP250198Y,IL24-8612+NDP250198Y,unique_new,125,25,9,13,116,12,1,NA,1,1,1,1,IL24-8612+NDP250198Y,NA,1,1,1,NA,1,101,IL24-8612+NDP250198Y,OatPea,iCrop,Urb,26,PR,M-7
802,IL,IL24-6125,NDP250273G,IL24-6125+NDP250273G,unique_new,159,19,9,8,150,11,1,NA,1,2,2,2,IL24-6125+NDP250273G,NA,1,2,1,NA,1,102,IL24-6125+NDP250273G,OatPea,iCrop,Urb,26,PR,M-7
803,IL,IL24-7512,NDP250249G,IL24-7512+NDP250249G,within_env,175,30,17,8,158,22,1,1,1,3,3,3,IL24-7512+NDP250249G,NA,1,3,1,NA,1,103,IL24-7512+NDP250249G,OatPea,iCrop,Urb,26,PR,M-7
804,IL,IL24-1716,NDP250240G,IL24-1716+NDP250240G,unique_new,161,17,15,15,146,2,1,NA,1,4,4,4,IL24-1716+NDP250240G,NA,1,4,1,NA,1,104,IL24-1716+NDP250240G,OatPea,iCrop,Urb,26,PR,M-7
805,IL,IL24-5361,NDP250296Y,IL24-5361+NDP250296Y,unique_new,148,9,6,4,142,5,1,NA,1,5,5,5,IL24-5361+NDP250296Y,NA,1,5,1,NA,1,105,IL24-5361+NDP250296Y,OatPea,iCrop,Urb,26,PR,M-7
806,IL,IL24-1905,NDP250165Y,IL24-1905+NDP250165Y,unique_new,136,23,9,9,127,14,1,NA,1,6,6,6,IL24-1905+NDP250165Y,NA,1,6,1,NA,1,106,IL24-1905+NDP250165Y,OatPea,iCrop,Urb,26,PR,M-7
807,IL,IL24-362,NDP180052G,IL24-362+NDP180052G,within_env,143,17,8,5,135,12,1,1,1,7,7,7,IL24-362+NDP180052G,NA,1,7,1,NA,1,107,IL24-362+NDP180052G,OatPea,iCrop,Urb,26,PR,M-7
808,IL,IL24-2611,NDP250288Y,IL24-2611+NDP250288Y,unique_new,153,24,7,5,146,19,1,NA,1,8,8,8,IL24-2611+NDP250288Y,NA,1,8,1,NA,1,108,IL24-2611+NDP250288Y,OatPea,iCrop,Urb,26,PR,M-7
809,IL,IL24-905,NDP250362G,IL24-905+NDP250362G,unique_new,154,9,3,9,151,0,1,NA,1,9,9,9,IL24-905+NDP250362G,NA,1,9,1,NA,1,109,IL24-905+NDP250362G,OatPea,iCrop,Urb,26,PR,M-7
810,IL,IL24-4938,NDP250025Y,IL24-4938+NDP250025Y,unique_new,129,17,8,12,121,5,1,NA,1,10,10,10,IL24-4938+NDP250025Y,NA,1,10,1,NA,1,110,IL24-4938+NDP250025Y,OatPea,iCrop,Urb,26,PR,M-7
811,IL,IL23-4063,NDP250059Y,IL23-4063+NDP250059Y,carryover,10,38,6,4,4,34,1,NA,1,11,11,11,IL23-4063+NDP250059Y,NA,1,11,1,NA,1,111,IL23-4063+NDP250059Y,OatPea,iCrop,Urb,26,PR,M-7
812,IL,IL24-3207,NDP250332G,IL24-3207+NDP250332G,unique_new,130,13,7,10,123,3,1,NA,1,12,12,12,IL24-3207+NDP250332G,NA,1,12,1,NA,1,112,IL24-3207+NDP250332G,OatPea,iCrop,Urb,26,PR,M-7
813,IL,IL24-6468,NDP250369G,IL24-6468+NDP250369G,unique_new,118,9,9,9,109,0,1,NA,1,13,13,13,IL24-6468+NDP250369G,NA,1,13,1,NA,1,113,IL24-6468+NDP250369G,OatPea,iCrop,Urb,26,PR,M-7
814,IL,IL24-2246,NDP250283G,IL24-2246+NDP250283G,unique_new,157,8,13,8,144,0,1,NA,1,14,14,14,IL24-2246+NDP250283G,NA,1,14,1,NA,1,114,IL24-2246+NDP250283G,OatPea,iCrop,Urb,26,PR,M-7
815,IL,IL24-2512,NDP250316Y,IL24-2512+NDP250316Y,unique_new,139,16,15,16,124,0,1,NA,1,15,15,15,IL24-2512+NDP250316Y,NA,1,15,1,NA,1,115,IL24-2512+NDP250316Y,OatPea,iCrop,Urb,26,PR,M-7
816,IL,IL24-2010,NDP250267G,IL24-2010+NDP250267G,unique_new,166,16,15,10,151,6,1,NA,1,16,16,16,IL24-2010+NDP250267G,NA,1,16,1,NA,1,116,IL24-2010+NDP250267G,OatPea,iCrop,Urb,26,PR,M-7
817,IL,IL24-5271,NDP180042G,IL24-5271+NDP180042G,within_env,154,14,4,14,150,0,1,1,1,17,17,17,IL24-5271+NDP180042G,NA,1,17,1,NA,1,117,IL24-5271+NDP180042G,OatPea,iCrop,Urb,26,PR,M-7
818,IL,IL24-3821,ARCADIA,IL24-3821+ARCADIA,unique_new,154,25,10,7,144,18,1,NA,1,18,18,18,IL24-3821+ARCADIA,NA,1,18,1,NA,1,118,IL24-3821+ARCADIA,OatPea,iCrop,Urb,26,PR,M-7
819,IL,IL24-2710,NDP250251Y,IL24-2710+NDP250251Y,unique_new,159,20,6,12,153,8,1,NA,1,19,19,19,IL24-2710+NDP250251Y,NA,1,19,1,NA,1,119,IL24-2710+NDP250251Y,OatPea,iCrop,Urb,26,PR,M-7
820,IL,IL24-6159,NDP250338G,IL24-6159+NDP250338G,unique_new,152,9,11,7,141,2,1,NA,1,20,20,20,IL24-6159+NDP250338G,NA,1,20,1,NA,1,120,IL24-6159+NDP250338G,OatPea,iCrop,Urb,26,PR,M-7
821,IL,IL24-2807,NDP250282G,IL24-2807+NDP250282G,unique_new,140,16,9,16,131,0,1,NA,2,20,21,21,IL24-2807+NDP250282G,NA,1,21,1,NA,1,121,IL24-2807+NDP250282G,OatPea,iCrop,Urb,26,PR,M-7
822,IL,IL24-6819,NDP250215Y,IL24-6819+NDP250215Y,unique_new,140,24,10,15,130,9,1,NA,2,19,22,22,IL24-6819+NDP250215Y,NA,1,22,1,NA,1,122,IL24-6819+NDP250215Y,OatPea,iCrop,Urb,26,PR,M-7
823,IL,IL24-2611,NDP250342G,IL24-2611+NDP250342G,unique_new,153,8,7,8,146,0,1,NA,2,18,23,23,IL24-2611+NDP250342G,NA,1,23,1,NA,1,123,IL24-2611+NDP250342G,OatPea,iCrop,Urb,26,PR,M-7
824,IL,IL24-3578,NDP250241G,IL24-3578+NDP250241G,unique_new,147,14,12,12,135,2,1,NA,2,17,24,24,IL24-3578+NDP250241G,NA,1,24,1,NA,1,124,IL24-3578+NDP250241G,OatPea,iCrop,Urb,26,PR,M-7
825,IL,IL23-4049,NDP170028G,IL23-4049+NDP170028G,carryover,10,37,5,3,5,34,1,NA,2,16,25,25,IL23-4049+NDP170028G,NA,1,25,1,NA,1,125,IL23-4049+NDP170028G,OatPea,iCrop,Urb,26,PR,M-7
826,IL,IL24-3456,NDP250192Y,IL24-3456+NDP250192Y,unique_new,118,34,6,19,112,15,1,NA,2,15,26,26,IL24-3456+NDP250192Y,NA,1,26,1,NA,1,126,IL24-3456+NDP250192Y,OatPea,iCrop,Urb,26,PR,M-7
827,IL,IL24-3017,NDP250286G,IL24-3017+NDP250286G,unique_new,137,20,13,5,124,15,1,NA,2,14,27,27,IL24-3017+NDP250286G,NA,1,27,1,NA,1,127,IL24-3017+NDP250286G,OatPea,iCrop,Urb,26,PR,M-7
828,IL,IL24-2373,NDP250243G,IL24-2373+NDP250243G,unique_new,148,18,8,15,140,3,1,NA,2,13,28,28,IL24-2373+NDP250243G,NA,1,28,1,NA,1,128,IL24-2373+NDP250243G,OatPea,iCrop,Urb,26,PR,M-7
