studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,Above ground dry biomass - g|timepoint 1|COMP:0000110,Above ground dry biomass - g|timepoint 2|COMP:0000111,Above ground dry biomass - g|timepoint 3|COMP:0000112,Emergence|day 128|COMP:0000130,Heading date - Julian day|CO_350:0000270,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118,Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119,Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Pea Plant Establishment - plants/ft2|CO_xxx:0003011,Pea Plant Height - cm|timepoint 1|COMP:0000122,Pea Plant Height - cm|timepoint 2|COMP:0000123,Pea Plant Height - cm|timepoint 3|COMP:0000124,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|timepoint 1|COMP:0000114,Plant height - cm|timepoint 2|COMP:0000115,Plant height - cm|timepoint 3|COMP:0000116,Weed above ground dry biomass - g|timepoint 1|COMP:0000126,Weed above ground dry biomass - g|timepoint 2|COMP:0000127,Weed above ground dry biomass - g|timepoint 3|COMP:0000128,notes
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,plot,737918,B4I_2025_PM3D_IL_1001,1,1,1001,10,2,test,,737915,NO_PEAS_PLANTED,,,,,,,,,,,,,,0,,,,26,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741769,B4I_2025_PM3D_IL_1001_subplot_1,1,1,1001,10,2,test,,,,,,345.4,,,,,,,0,,,,,,0,,,,73,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741770,B4I_2025_PM3D_IL_1001_subplot_2,1,1,1001,10,2,test,,,,,173.8,,,,,,,0,,,,,,0,,,,42,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741771,B4I_2025_PM3D_IL_1001_subplot_3,1,1,1001,10,2,test,,,,,,,580.4,,,,,,,0,,,,,,0,,,,105,,,0,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,plot,737920,B4I_2025_PM3D_IL_1002,1,1,1002,10,1,test,,733300,NDP140510Y,,,,,,,,,,,,,,8,,,,18,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741793,B4I_2025_PM3D_IL_1002_subplot_1,1,1,1002,10,1,test,,,,,,238.7,,,,,,,86.7,,,,,,51,,,,71,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741794,B4I_2025_PM3D_IL_1002_subplot_2,1,1,1002,10,1,test,,,,,,,514.9,,,,,,,121.3,,,,,,58,,,,109,,,0,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741795,B4I_2025_PM3D_IL_1002_subplot_3,1,1,1002,10,1,test,,,,,96,,,,,,,65.1,,,,,,39,,,,38,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",737913,ND190393,,plot,737916,B4I_2025_PM3D_IL_101,1,1,101,1,1,test,,733300,NDP140510Y,,,,,,,,,,,,,,6,,,,19,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",737913,ND190393,,subplot,741760,B4I_2025_PM3D_IL_101_subplot_1,1,1,101,1,1,test,,,,,83,,,,,,,56.9,,,,,,35,,,,35,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",737913,ND190393,,subplot,741761,B4I_2025_PM3D_IL_101_subplot_2,1,1,101,1,1,test,,,,,,184,,,,,,,76.6,,,,,,50,,,,68,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",737913,ND190393,,subplot,741762,B4I_2025_PM3D_IL_101_subplot_3,1,1,101,1,1,test,,,,,,,411.3,,,,,,,141,,,,,,60,,,,98,,,0,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,plot,737932,B4I_2025_PM3D_IL_102,1,1,102,1,2,test,,733329,ND VICTORY,,,,,,,,,,,,,,15,,,,0,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,subplot,741787,B4I_2025_PM3D_IL_102_subplot_1,1,1,102,1,2,test,,,,,0,,,,,,,125,,,,,,36,,,,0,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,subplot,741788,B4I_2025_PM3D_IL_102_subplot_2,1,1,102,1,2,test,,,,,,,0,,,,,,,465.5,,,,,,92,,,,0,,,0,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,subplot,741789,B4I_2025_PM3D_IL_102_subplot_3,1,1,102,1,2,test,,,,,,0,,,,,,,234.4,,,,,,60,,,,0,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732538,SD Momentum,SDMomentum,plot,737926,B4I_2025_PM3D_IL_201,1,1,201,2,2,test,,733329,ND VICTORY,,,,,,,,,,,,,,7,,,,16,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732538,SD Momentum,SDMomentum,subplot,741763,B4I_2025_PM3D_IL_201_subplot_1,1,1,201,2,2,test,,,,,,,382.8,,,,,,,172.5,,,,,,60,,,,96,,,0,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732538,SD Momentum,SDMomentum,subplot,741764,B4I_2025_PM3D_IL_201_subplot_2,1,1,201,2,2,test,,,,,68,,,,,,,55.1,,,,,,28,,,,31,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732538,SD Momentum,SDMomentum,subplot,741765,B4I_2025_PM3D_IL_201_subplot_3,1,1,201,2,2,test,,,,,,153.9,,,,,,,52.6,,,,,,52,,,,64,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,plot,737930,B4I_2025_PM3D_IL_202,1,1,202,2,1,test,,733300,NDP140510Y,,,,,,,,,,,,,,22,,,,0,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,subplot,741751,B4I_2025_PM3D_IL_202_subplot_1,1,1,202,2,1,test,,,,,0,,,,,,,120.7,,,,,,34,,,,0,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,subplot,741752,B4I_2025_PM3D_IL_202_subplot_2,1,1,202,2,1,test,,,,,,,0,,,,,,,418.8,,,,,,62,,,,0,,,0,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",703605,NO_OATS_PLANTED,,subplot,741753,B4I_2025_PM3D_IL_202_subplot_3,1,1,202,2,1,test,,,,,,0,,,,,,,243,,,,,,61,,,,0,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,plot,737923,B4I_2025_PM3D_IL_301,1,1,301,3,1,test,,733329,ND VICTORY,,,,,,,,,,,,,,9,,,,13,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741736,B4I_2025_PM3D_IL_301_subplot_1,1,1,301,3,1,test,,,,,,164.4,,,,,,,66.8,,,,,,50,,,,65,,,0,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741737,B4I_2025_PM3D_IL_301_subplot_2,1,1,301,3,1,test,,,,,89.1,,,,,,,62.5,,,,,,34,,,,36,,,0,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6829,B4I_2025_PM3D_IL,B4I 2025 PM3D biomass sampling plots,CRD,,,,,,,,140,"Urbana, IL",732546,ND210038,ND210038,subplot,741738,B4I_2025_PM3D_IL_301_subplot_3,1,1,301,3,1,test,,,,,,,351.2,,,,,,,161.1,,,,,,77,,,,97,,,0,
