Location,Affiliation,observationUnitName,observationUnitDbId,plot.subplot,biomass_timepoint,biomass_T1,biomass_T2,biomass_T3,Sample_Date,PM3D Plot ID entered,notes
AL,AL-Wolfe,B4I_2025_PM3D_AL_401_subplot_1,738026,401.1,1,1,NA,NA,3/4/2025,AUOatPea401.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_402_subplot_3,738031,402.3,1,1,NA,NA,3/4/2025,AUOatPea402.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_403_subplot_2,738012,403.2,1,1,NA,NA,3/4/2025,AUOatPea403.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_404_subplot_3,738022,404.3,1,1,NA,NA,3/4/2025,AUOatPea404.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_405_subplot_3,738007,405.3,1,1,NA,NA,3/4/2025,AUOatPea405.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_406_subplot_2,738033,406.2,1,1,NA,NA,3/4/2025,AUOatPea406.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_407_subplot_1,738014,407.1,1,1,NA,NA,3/4/2025,AUOatPea407.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_408_subplot_1,738002,408.1,1,1,NA,NA,3/4/2025,AUOatPea408.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_409_subplot_2,738018,409.2,1,1,NA,NA,3/4/2025,AUOatPea409.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_410_subplot_1,738047,410.1,1,1,NA,NA,3/4/2025,AUOatPea410.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_411_subplot_3,738001,411.3,1,1,NA,NA,3/4/2025,AUOatPea411.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_412_subplot_2,737997,412.2,1,1,NA,NA,3/4/2025,AUOatPea412.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_413_subplot_3,738046,413.3,1,1,NA,NA,3/4/2025,AUOatPea413.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_414_subplot_3,738052,414.3,1,1,NA,NA,3/4/2025,AUOatPea414.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_415_subplot_2,738036,415.2,1,1,NA,NA,3/4/2025,AUOatPea415.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_416_subplot_2,738009,416.2,1,1,NA,NA,3/4/2025,AUOatPea416.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_417_subplot_3,738043,417.3,1,1,NA,NA,3/4/2025,AUOatPea417.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_418_subplot_2,738024,418.2,1,1,NA,NA,3/4/2025,AUOatPea417.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_419_subplot_1,738053,419.1,1,1,NA,NA,3/4/2025,AUOatPea419.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_420_subplot_3,738040,420.3,1,1,NA,NA,3/4/2025,AUOatPea420.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_401_subplot_2,738027,401.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_401.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_402_subplot_2,738030,402.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_402.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_403_subplot_1,738011,403.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_403.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_404_subplot_2,738021,404.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_404.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_405_subplot_2,738006,405.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_405.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_406_subplot_1,738032,406.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_406.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_407_subplot_3,738016,407.3,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_407.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_408_subplot_2,738003,408.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_408.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_409_subplot_1,738017,409.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_409.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_410_subplot_2,738048,410.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_410.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_411_subplot_1,737999,411.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_411.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_412_subplot_1,737996,412.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_412.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_413_subplot_2,738045,413.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_413.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_414_subplot_1,738050,414.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_414.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_415_subplot_3,738037,415.3,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_415.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_416_subplot_1,738008,416.1,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_416.1,
AL,AL-Wolfe,B4I_2025_PM3D_AL_417_subplot_2,738042,417.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_417.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_418_subplot_3,738025,418.3,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_418.3,
AL,AL-Wolfe,B4I_2025_PM3D_AL_419_subplot_2,738054,419.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_419.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_420_subplot_2,738039,420.2,2,NA,1,NA,5/12/2025,20EXTRAPLOTS_420.2,
AL,AL-Wolfe,B4I_2025_PM3D_AL_401_subplot_3,738028,401.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_402_subplot_1,738029,402.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_403_subplot_3,738013,403.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_404_subplot_1,738020,404.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_405_subplot_1,738005,405.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_406_subplot_3,738034,406.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_407_subplot_2,738015,407.2,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_408_subplot_3,738004,408.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_409_subplot_3,738019,409.3,3,NA,NA,1,,,no images taken
