Number of bands=29
Number of spectra=2
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(72_138)-(1142_1028),(1230_122)-(2365_1092)
426.15,9.29,9.00
444.62,5.38,5.15
470.00,4.69,4.49
481.51,4.67,4.47
499.92,4.99,4.84
518.31,6.36,6.14
536.68,10.05,9.28
550.00,11.46,10.50
573.36,11.38,10.57
591.67,9.67,9.28
609.96,8.92,8.70
620.00,8.33,8.23
646.47,7.35,7.46
664.70,6.40,6.68
682.90,5.88,6.22
701.08,9.12,9.19
719.25,20.61,18.69
737.39,33.95,29.74
755.51,43.32,37.67
773.61,44.36,38.66
791.69,45.08,39.36
809.75,44.71,39.09
827.79,43.99,38.52
845.80,43.99,38.54
863.80,43.94,38.50
881.78,43.62,38.24
899.73,42.64,37.37
917.66,40.71,35.72
935.58,39.52,34.76
