Number of bands=29,,,,,,,,
Number of spectra=8,,,,,,,,
Ref Reflectance=95.00,,,,,,,,
Data type=0, reflectance in %,,,,,,,
 Wavelength (nm),(166_262)-(737_523),(190_71)-(618_1001),(1191_71)-(1619_1060),(2096_95)-(2524_1048),(2704_107)-(3132_965),(3431_83)-(3823_1013),(3919_35)-(4299_1084),(4432_11)-(4836_1072)
426.15,7.75,8.35,9.09,8.33,8.32,9.26,9.13,8.9
444.62,4.02,4.48,4.71,4.65,4.29,4.9,4.92,4.9
470,2.87,3.28,3.39,3.61,3.09,3.83,3.84,3.87
481.51,2.62,3.03,3.12,3.41,2.84,3.64,3.65,3.7
499.92,2.58,3.01,3.1,3.49,2.83,3.79,3.76,3.89
518.31,3.27,3.86,3.91,4.68,3.47,4.73,4.93,4.93
536.68,5.23,6.44,6.8,8.2,5.74,7.61,8.58,7.8
550,5.85,7.28,7.83,9.4,6.56,8.77,9.93,8.88
573.36,5.59,6.81,7.5,8.91,6.33,8.82,9.65,8.86
591.67,4.54,5.33,5.81,7.07,5.02,7.42,7.73,7.54
609.96,4.06,4.67,5.05,6.29,4.43,6.83,6.9,6.99
620,3.72,4.2,4.52,5.7,4.01,6.36,6.29,6.55
646.47,3.12,3.37,3.62,4.66,3.31,5.61,5.22,5.78
664.7,2.63,2.71,2.89,3.78,2.75,4.9,4.28,5.08
682.9,2.4,2.41,2.59,3.38,2.54,4.5,3.82,4.73
701.08,4.08,4.53,4.87,6.76,4.08,6.67,7.06,7.32
719.25,10.03,12.57,14.35,18.35,10.92,15.1,18.48,15.85
737.39,17.59,22.93,26.54,31.91,19.8,24.94,31.4,25.08
755.51,23.36,31.05,36.62,41.14,27.4,32.77,40.9,31.57
773.61,23.93,31.75,37.61,42.33,27.86,33.5,42.06,32.46
791.69,24.07,31.96,38.15,42.53,28.26,34.06,42.49,32.78
809.75,23.6,31.22,37.4,42.05,27.56,33.54,41.93,32.51
827.79,22.79,30.06,36.19,41.17,26.38,32.6,40.95,31.96
845.8,22.75,30.08,36.22,41.14,26.41,32.69,41.04,31.97
863.8,22.53,29.78,36.01,41,26.13,32.58,40.95,31.88
881.78,22.17,29.19,35.47,40.62,25.62,32.24,40.57,31.64
899.73,21.1,27.68,34.11,39.31,24.3,31.18,39.38,30.84
917.66,19.69,25.6,31.57,37.31,22.12,29.2,37.2,29.5
935.58,19.42,24.56,30.36,35.89,21.25,28.56,35.92,29.35
