Number of bands=29
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(232_76)-(1188_985),(1333_131)-(2251_1065),(2645_122)-(3385_1057),(3577_131)-(4253_1065),(4474_126)-(5531_1023),(5689_67)-(6894_1090)
426.15,8.41,8.06,7.85,8.29,7.20,8.21
444.62,4.19,4.08,4.14,4.19,3.82,4.33
470.00,2.79,2.76,3.00,2.91,2.73,3.21
481.51,2.47,2.46,2.74,2.63,2.46,2.99
499.92,2.32,2.34,2.69,2.53,2.43,3.03
518.31,2.69,2.73,3.33,2.95,2.96,3.70
536.68,4.52,4.38,5.40,4.80,4.63,5.70
550.00,5.15,4.94,6.06,5.47,5.12,6.41
573.36,4.82,4.61,5.61,5.22,4.69,6.23
591.67,3.64,3.59,4.45,4.14,3.68,5.23
609.96,3.09,3.10,3.91,3.64,3.19,4.77
620.00,2.74,2.78,3.55,3.31,2.86,4.44
646.47,2.16,2.22,2.89,2.75,2.28,3.89
664.70,1.71,1.82,2.39,2.32,1.88,3.43
682.90,1.49,1.62,2.20,2.11,1.86,3.25
701.08,2.60,2.79,4.14,3.29,3.54,4.95
719.25,8.49,8.17,11.07,9.05,9.38,11.11
737.39,17.81,16.60,21.10,17.75,17.67,19.58
755.51,27.08,24.82,29.83,26.29,24.89,27.08
773.61,28.23,25.90,31.07,27.37,25.75,27.95
791.69,28.71,26.26,31.32,27.78,25.87,28.35
809.75,27.99,25.61,30.68,27.13,25.26,27.79
827.79,26.71,24.50,29.71,26.04,24.27,26.84
845.80,26.71,24.51,29.71,26.07,24.24,26.92
863.80,26.43,24.24,29.45,25.81,23.93,26.73
881.78,25.87,23.72,28.98,25.36,23.37,26.31
899.73,24.42,22.37,27.49,24.08,21.97,25.08
917.66,22.30,20.52,25.68,22.09,20.31,23.28
935.58,21.55,20.00,24.78,21.35,19.80,22.60
