Number of bands=29,,,,,,,
Number of spectra=6,,,,,,,
Ref Reflectance=95.00,,,,,,,
Data type=0, reflectance in %,,,,,,
 Wavelength (nm),(95_369)-(1001_1125),(1057_157)-(2125_1071),(2265_135)-(3252_1060),(3389_223)-(4185_1092),(4351_182)-(5130_1118),(5219_84)-(6144_1023),
426.15,8.8,9.18,6.98,8.99,7.74,7.95,8.273333333
444.62,4.95,4.94,4.28,4.71,4.59,4.53,4.666666667
470,4.24,4,3.58,3.64,3.91,3.71,3.846666667
481.51,4.17,3.87,3.46,3.43,3.81,3.57,3.718333333
499.92,4.44,4.03,3.71,3.46,4.07,3.75,3.91
518.31,5.66,5.16,5.43,4.44,5.45,4.96,5.183333333
536.68,9.04,8.67,8.71,7.92,8.6,8.31,8.541666667
550,10.34,10.05,9.58,9.24,9.67,9.49,9.728333333
573.36,10.3,10.04,8.64,9.03,9.28,9.15,9.406666667
591.67,8.73,8.27,6.98,7.11,7.87,7.48,7.74
609.96,8.06,7.51,6.1,6.25,7.22,6.74,6.98
620,7.51,6.92,5.57,5.64,6.74,6.19,6.428333333
646.47,6.59,5.94,4.43,4.59,5.8,5.19,5.423333333
664.7,5.73,5.03,3.57,3.64,4.99,4.34,4.55
682.9,5.23,4.51,3.66,3.13,4.73,4.01,4.211666667
701.08,8.27,7.33,8.77,6.01,8.61,7.45,7.74
719.25,18.5,18.05,20.27,17.01,18.2,18.15,18.36333333
737.39,29.84,29.98,33,30.12,28.53,30.39,30.31
755.51,37.67,38.53,40.54,40.13,35.09,38.84,38.46666667
773.61,38.57,39.57,41.48,41.35,35.92,39.89,39.46333333
791.69,39.02,40.08,41.48,41.86,36.08,40.18,39.78333333
809.75,38.69,39.71,40.75,41.31,35.73,39.76,39.325
827.79,38.02,39.01,39.96,40.39,35.14,38.98,38.58333333
845.8,38.03,38.98,39.96,40.29,35.11,38.98,38.55833333
863.8,37.94,38.86,39.67,40.11,34.95,38.83,38.39333333
881.78,37.69,38.57,39.09,39.73,34.65,38.47,38.03333333
899.73,36.74,37.69,37.35,38.64,33.54,37.24,36.86666667
917.66,35.03,35.93,35.56,36.55,32.15,35.41,35.105
935.58,34.16,35.32,33.41,35.6,31.25,34.43,34.02833333
