"bulk_pack","accessionOat","Location","g_oat_per_location","nPlots","state","oatEntry"
1,"IL15-2064",1,24,1,"AL",1
2,"IL15-2064",2,24,1,"IA",1
3,"IL15-2064",3,24,1,"IL",1
4,"IL17-1704",2,48,2,"IA",2
5,"IL17-3125",1,48,2,"AL",3
6,"IL17-3125",3,24,1,"IL",3
7,"IL17-3125",4,24,1,"ND",3
8,"IL17-3125",5,72,3,"NY",3
9,"IL19-1222",1,24,1,"AL",5
10,"IL19-1222",2,48,2,"IA",5
11,"IL19-1222",3,48,2,"IL",5
12,"IL19-1222",4,48,2,"ND",5
13,"IL19-1222",5,24,1,"NY",5
14,"IL19-2033",1,48,2,"AL",6
15,"IL19-2033",2,48,2,"IA",6
16,"IL19-2033",3,24,1,"IL",6
17,"IL19-2033",4,48,2,"ND",6
18,"IL19-2033",5,24,1,"NY",6
19,"IL19-2673",1,24,1,"AL",7
20,"IL19-2673",2,24,1,"IA",7
21,"IL19-2673",3,48,2,"IL",7
22,"IL19-2673",4,24,1,"ND",7
23,"IL19-3618",1,24,1,"AL",8
24,"IL19-3618",2,48,2,"IA",8
25,"IL19-3618",3,48,2,"IL",8
26,"IL19-3618",4,48,2,"ND",8
27,"IL19-3661",1,24,1,"AL",9
28,"IL19-3661",2,24,1,"IA",9
29,"IL19-3661",3,24,1,"IL",9
30,"IL19-3661",4,24,1,"ND",9
31,"IL19-3661",5,24,1,"NY",9
32,"IL19-4556",1,48,2,"AL",10
33,"IL19-4556",2,96,4,"IA",10
34,"IL19-4556",4,72,3,"ND",10
35,"IL19-4556",5,72,3,"NY",10
36,"IL19-4877",1,48,2,"AL",11
37,"IL19-4877",2,72,3,"IA",11
38,"IL19-4877",3,24,1,"IL",11
39,"IL19-4877",4,48,2,"ND",11
40,"IL19-4877",5,24,1,"NY",11
41,"IL19-511",2,48,2,"IA",4
42,"IL19-511",3,48,2,"IL",4
43,"IL19-511",4,48,2,"ND",4
44,"IL19-511",5,24,1,"NY",4
45,"IL19-5332",3,24,1,"IL",12
46,"IL19-5332",4,24,1,"ND",12
47,"IL19-5332",5,24,1,"NY",12
48,"IL19-5336",1,24,1,"AL",13
49,"IL19-5336",2,24,1,"IA",13
50,"IL19-5336",4,72,3,"ND",13
51,"IL19-5467",2,48,2,"IA",14
52,"IL19-5467",4,72,3,"ND",14
53,"IL19-5467",5,48,2,"NY",14
54,"IL19-6345",1,72,3,"AL",15
55,"IL19-6345",2,24,1,"IA",15
56,"IL19-6345",3,24,1,"IL",15
57,"IL19-6345",4,72,3,"ND",15
58,"IL19-6406",3,48,2,"IL",16
59,"IL19-6406",4,24,1,"ND",16
60,"IL19-6406",5,24,1,"NY",16
61,"IL19-6432",1,24,1,"AL",17
62,"IL19-6432",2,48,2,"IA",17
63,"IL19-6432",3,48,2,"IL",17
64,"IL19-6432",4,24,1,"ND",17
65,"IL19-6432",5,72,3,"NY",17
66,"IL19-6920",3,48,2,"IL",18
67,"IL19-6920",4,48,2,"ND",18
68,"IL19-6920",5,72,3,"NY",18
69,"IL19-7048",1,24,1,"AL",19
70,"IL19-7048",2,24,1,"IA",19
71,"IL19-7048",3,24,1,"IL",19
72,"IL19-7048",4,48,2,"ND",19
73,"IL19-7048",5,24,1,"NY",19
74,"IL19-7058",1,48,2,"AL",20
75,"IL19-7058",3,24,1,"IL",20
76,"IL19-7058",4,24,1,"ND",20
77,"IL19-7058",5,24,1,"NY",20
78,"IL19-7063",1,48,2,"AL",21
79,"IL19-7063",4,72,3,"ND",21
80,"IL19-7063",5,72,3,"NY",21
81,"IL20-1037",2,48,2,"IA",26
82,"IL20-1037",3,48,2,"IL",26
83,"IL20-1037",4,24,1,"ND",26
84,"IL20-1037",5,48,2,"NY",26
85,"IL20-5913",1,24,1,"AL",27
86,"IL20-5913",2,24,1,"IA",27
87,"IL20-5913",3,48,2,"IL",27
88,"IL20-5913",4,72,3,"ND",27
89,"IL20-5913",5,24,1,"NY",27
90,"IL20-615",1,48,2,"AL",22
91,"IL20-615",2,24,1,"IA",22
92,"IL20-615",3,48,2,"IL",22
93,"IL20-615",4,24,1,"ND",22
94,"IL20-615",5,24,1,"NY",22
95,"IL20-618",1,48,2,"AL",23
96,"IL20-618",2,24,1,"IA",23
97,"IL20-618",3,96,4,"IL",23
98,"IL20-677",2,24,1,"IA",24
99,"IL20-677",3,24,1,"IL",24
100,"IL20-677",4,48,2,"ND",24
101,"IL20-6928",1,48,2,"AL",28
102,"IL20-6928",2,120,5,"IA",28
103,"IL20-6928",3,24,1,"IL",28
104,"IL20-6928",4,48,2,"ND",28
105,"IL20-6928",5,48,2,"NY",28
106,"IL20-746",1,24,1,"AL",25
107,"IL20-746",2,48,2,"IA",25
108,"IL20-746",3,24,1,"IL",25
109,"IL20-746",4,48,2,"ND",25
110,"IL20-746",5,72,3,"NY",25
111,"IL20-7727",3,24,1,"IL",29
112,"IL20-7727",4,72,3,"ND",29
113,"IL20-7727",5,48,2,"NY",29
114,"IL20-7841",1,24,1,"AL",30
115,"IL20-7841",2,72,3,"IA",30
116,"IL20-7841",3,72,3,"IL",30
117,"IL20-7841",4,24,1,"ND",30
118,"IL20-8320",1,48,2,"AL",31
119,"IL20-8320",2,24,1,"IA",31
120,"IL20-8320",3,24,1,"IL",31
121,"IL20-8320",5,48,2,"NY",31
122,"IL20-8446",1,24,1,"AL",32
123,"IL20-8446",2,96,4,"IA",32
124,"IL20-8446",3,24,1,"IL",32
125,"IL20-8446",4,96,4,"ND",32
126,"IL20-8446",5,24,1,"NY",32
127,"IL20-8456",1,24,1,"AL",33
128,"IL20-8456",3,24,1,"IL",33
129,"IL20-8456",4,120,5,"ND",33
130,"IL20-8456",5,48,2,"NY",33
131,"IL21-3542",1,24,1,"AL",35
132,"IL21-3542",2,48,2,"IA",35
133,"IL21-3542",3,24,1,"IL",35
134,"IL21-3542",4,24,1,"ND",35
135,"IL21-3542",5,24,1,"NY",35
136,"IL21-4011",1,24,1,"AL",36
137,"IL21-4011",2,24,1,"IA",36
138,"IL21-4011",3,24,1,"IL",36
139,"IL21-4011",4,48,2,"ND",36
140,"IL21-4011",5,96,4,"NY",36
141,"IL21-4020",1,48,2,"AL",37
142,"IL21-4020",2,24,1,"IA",37
143,"IL21-4020",3,24,1,"IL",37
144,"IL21-4020",4,24,1,"ND",37
145,"IL21-4020",5,192,8,"NY",37
146,"IL21-4039",1,96,4,"AL",38
147,"IL21-4039",2,24,1,"IA",38
148,"IL21-4039",3,24,1,"IL",38
149,"IL21-4043",1,24,1,"AL",39
150,"IL21-4043",2,24,1,"IA",39
151,"IL21-4043",3,24,1,"IL",39
152,"IL21-4043",4,48,2,"ND",39
153,"IL21-4178",2,48,2,"IA",40
154,"IL21-4178",3,72,3,"IL",40
155,"IL21-4178",5,120,5,"NY",40
156,"IL21-4364",3,24,1,"IL",41
157,"IL21-4364",4,48,2,"ND",41
158,"IL21-4364",5,48,2,"NY",41
159,"IL21-5917",1,24,1,"AL",42
160,"IL21-5917",2,24,1,"IA",42
161,"IL21-5917",4,24,1,"ND",42
162,"IL21-5917",5,48,2,"NY",42
163,"IL21-5955",1,48,2,"AL",43
164,"IL21-5955",2,72,3,"IA",43
165,"IL21-5955",3,48,2,"IL",43
166,"IL21-5955",4,72,3,"ND",43
167,"IL21-5955",5,24,1,"NY",43
168,"IL21-5956",1,24,1,"AL",44
169,"IL21-5956",2,72,3,"IA",44
170,"IL21-5956",3,24,1,"IL",44
171,"IL21-5956",5,96,4,"NY",44
172,"IL21-6116",2,24,1,"IA",45
173,"IL21-6116",3,72,3,"IL",45
174,"IL21-6116",4,48,2,"ND",45
175,"IL21-6116",5,48,2,"NY",45
176,"IL21-6257",1,24,1,"AL",46
177,"IL21-6257",2,48,2,"IA",46
178,"IL21-6257",3,48,2,"IL",46
179,"IL21-6257",4,24,1,"ND",46
180,"IL21-6257",5,24,1,"NY",46
181,"IL21-753",1,24,1,"AL",34
182,"IL21-753",2,72,3,"IA",34
183,"IL21-753",3,96,4,"IL",34
184,"IL21-753",4,24,1,"ND",34
185,"IL21-753",5,24,1,"NY",34
186,"IL21-7653",1,48,2,"AL",47
187,"IL21-7653",2,24,1,"IA",47
188,"IL21-7653",3,24,1,"IL",47
189,"IL21-7653",4,48,2,"ND",47
190,"IL21-7653",5,72,3,"NY",47
191,"IL21-7822",1,48,2,"AL",48
192,"IL21-7822",2,48,2,"IA",48
193,"IL21-7822",3,48,2,"IL",48
194,"IL21-7822",4,48,2,"ND",48
195,"IL21-7822",5,24,1,"NY",48
196,"IL21-8143",1,72,3,"AL",49
197,"IL21-8143",2,48,2,"IA",49
198,"IL21-8143",3,48,2,"IL",49
199,"IL21-8143",4,24,1,"ND",49
200,"IL21-8143",5,120,5,"NY",49
201,"IL22-1019",1,24,1,"AL",52
202,"IL22-1019",2,48,2,"IA",52
203,"IL22-1019",3,24,1,"IL",52
204,"IL22-1019",4,48,2,"ND",52
