bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
1,1,NDP250027G,1,229.2,4,AL
2,1,NDP250027G,2,114.6,2,IA
3,1,NDP250027G,3,229.2,4,IL
4,1,NDP250027G,4,57.3,1,ND
5,1,NDP250027G,5,114.6,2,NY
6,2,NDP250028Y,2,189.9,3,IA
7,2,NDP250028Y,3,63.3,1,IL
8,2,NDP250028Y,4,63.3,1,ND
9,3,NDP250029Y,2,121.2,2,IA
10,3,NDP250029Y,3,60.6,1,IL
11,3,NDP250029Y,4,121.2,2,ND
12,3,NDP250029Y,5,121.2,2,NY
13,4,NDP250030Y,1,63.6,1,AL
14,4,NDP250030Y,2,127.2,2,IA
15,4,NDP250030Y,3,254.4,4,IL
16,4,NDP250030Y,4,63.6,1,ND
17,4,NDP250030Y,5,127.2,2,NY
18,5,NDP250031Y,1,71.1,1,AL
19,5,NDP250031Y,2,355.4,5,IA
20,5,NDP250031Y,3,71.1,1,IL
21,5,NDP250031Y,4,71.1,1,ND
22,5,NDP250031Y,5,142.2,2,NY
23,6,NDP250032Y,1,102.6,2,AL
24,6,NDP250032Y,4,51.3,1,ND
25,6,NDP250032Y,5,51.3,1,NY
26,7,NDP250033Y,1,51.9,1,AL
27,7,NDP250033Y,2,155.7,3,IA
28,7,NDP250033Y,3,51.9,1,IL
29,7,NDP250033Y,4,51.9,1,ND
30,7,NDP250033Y,5,51.9,1,NY
31,8,NDP250034Y,2,75,1,IA
32,8,NDP250034Y,5,150,2,NY
33,9,NDP250035G,2,108,2,IA
34,9,NDP250035G,3,108,2,IL
35,9,NDP250035G,4,54,1,ND
36,9,NDP250035G,5,108,2,NY
37,10,NDP250036Y,1,240,4,AL
38,10,NDP250036Y,2,60,1,IA
39,10,NDP250036Y,3,180,3,IL
40,10,NDP250036Y,4,60,1,ND
41,10,NDP250036Y,5,120,2,NY
42,11,NDP250037Y,1,138,2,AL
43,11,NDP250037Y,3,69,1,IL
44,11,NDP250037Y,4,69,1,ND
45,11,NDP250037Y,5,207,3,NY
46,12,NDP250038Y,1,61.8,1,AL
47,12,NDP250038Y,2,61.8,1,IA
48,12,NDP250038Y,3,61.8,1,IL
49,12,NDP250038Y,4,61.8,1,ND
50,12,NDP250038Y,5,61.8,1,NY
51,13,NDP250039Y,2,129.6,2,IA
