collection_order,type,location_name,trial_name,plot_number,plot_name,accession_name,entry_number,seedlot_name,row_number,col_number,rep_number,block_number,is_a_control
1,plot,"Tallassee, AL",B4I_2025_AL,1001,B4I_2025_AL_1001,IL23-260,,,1,1,1,1,
2,plot,"Tallassee, AL",B4I_2025_AL,1002,B4I_2025_AL_1002,IL23-963,,,1,2,1,1,
3,plot,"Tallassee, AL",B4I_2025_AL,1003,B4I_2025_AL_1003,IL23-2956,,,1,3,1,1,
4,plot,"Tallassee, AL",B4I_2025_AL,1004,B4I_2025_AL_1004,IL23-1650,,,1,4,1,1,
5,plot,"Tallassee, AL",B4I_2025_AL,1005,B4I_2025_AL_1005,IL23-723,,,1,5,1,1,
6,plot,"Tallassee, AL",B4I_2025_AL,1006,B4I_2025_AL_1006,IL23-1209,,,1,6,1,1,
7,plot,"Tallassee, AL",B4I_2025_AL,1007,B4I_2025_AL_1007,IL23-1206,,,1,7,1,1,
8,plot,"Tallassee, AL",B4I_2025_AL,1008,B4I_2025_AL_1008,IL21-8143,,,1,8,1,1,
9,plot,"Tallassee, AL",B4I_2025_AL,1009,B4I_2025_AL_1009,IL23-3655,,,1,9,1,1,
10,plot,"Tallassee, AL",B4I_2025_AL,1010,B4I_2025_AL_1010,IL23-1669,,,1,10,1,1,
11,plot,"Tallassee, AL",B4I_2025_AL,1011,B4I_2025_AL_1011,IL23-3576,,,1,11,1,1,
12,plot,"Tallassee, AL",B4I_2025_AL,1012,B4I_2025_AL_1012,IL21-7653,,,1,12,1,1,
13,plot,"Tallassee, AL",B4I_2025_AL,1013,B4I_2025_AL_1013,IL23-1450,,,1,13,1,1,
14,plot,"Tallassee, AL",B4I_2025_AL,1014,B4I_2025_AL_1014,IL23-1815,,,1,14,1,1,
15,plot,"Tallassee, AL",B4I_2025_AL,1015,B4I_2025_AL_1015,IL23-1423,,,1,15,1,1,
16,plot,"Tallassee, AL",B4I_2025_AL,1016,B4I_2025_AL_1016,IL23-1459,,,1,16,1,1,
17,plot,"Tallassee, AL",B4I_2025_AL,1017,B4I_2025_AL_1017,IL23-739,,,1,17,1,1,
18,plot,"Tallassee, AL",B4I_2025_AL,1018,B4I_2025_AL_1018,IL23-810,,,1,18,1,1,
19,plot,"Tallassee, AL",B4I_2025_AL,1019,B4I_2025_AL_1019,IL22-4548,,,1,19,1,1,
20,plot,"Tallassee, AL",B4I_2025_AL,1020,B4I_2025_AL_1020,IL23-3673,,,1,20,1,1,
