bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location
1,1,NDP250027G,1,229.2
2,1,NDP250027G,2,114.6
3,1,NDP250027G,3,229.2
4,1,NDP250027G,4,57.3
5,1,NDP250027G,5,114.6
6,2,NDP250028Y,2,189.9
7,2,NDP250028Y,3,63.3
8,2,NDP250028Y,4,63.3
9,3,NDP250029Y,2,121.2
10,3,NDP250029Y,3,60.6
11,3,NDP250029Y,4,121.2
12,3,NDP250029Y,5,121.2
13,4,NDP250030Y,1,63.6
14,4,NDP250030Y,2,127.2
15,4,NDP250030Y,3,254.4
16,4,NDP250030Y,4,63.6
17,4,NDP250030Y,5,127.2
18,5,NDP250031Y,1,71.1
19,5,NDP250031Y,2,355.4
20,5,NDP250031Y,3,71.1
21,5,NDP250031Y,4,71.1
22,5,NDP250031Y,5,142.2
23,6,NDP250032Y,1,102.6
24,6,NDP250032Y,4,51.3
25,6,NDP250032Y,5,51.3
26,7,NDP250033Y,1,51.9
27,7,NDP250033Y,2,155.7
28,7,NDP250033Y,3,51.9
29,7,NDP250033Y,4,51.9
30,7,NDP250033Y,5,51.9
31,8,NDP250034Y,2,75.0
32,8,NDP250034Y,5,150.0
33,9,NDP250035G,2,108.0
34,9,NDP250035G,3,108.0
35,9,NDP250035G,4,54.0
36,9,NDP250035G,5,108.0
37,10,NDP250036Y,1,240.0
38,10,NDP250036Y,2,60.0
39,10,NDP250036Y,3,180.0
40,10,NDP250036Y,4,60.0
41,10,NDP250036Y,5,120.0
42,11,NDP250037Y,1,138.0
43,11,NDP250037Y,3,69.0
44,11,NDP250037Y,4,69.0
45,11,NDP250037Y,5,207.0
46,12,NDP250038Y,1,61.8
47,12,NDP250038Y,2,61.8
48,12,NDP250038Y,3,61.8
49,12,NDP250038Y,4,61.8
50,12,NDP250038Y,5,61.8
51,13,NDP250039Y,2,129.6
52,13,NDP250039Y,3,194.4
53,13,NDP250039Y,4,64.8
54,14,NDP250040Y,1,254.4
55,14,NDP250040Y,3,127.2
56,14,NDP250040Y,4,127.2
57,14,NDP250040Y,5,63.6
58,15,NDP250041Y,1,112.8
59,15,NDP250041Y,2,56.4
60,15,NDP250041Y,3,56.4
61,15,NDP250041Y,4,112.8
62,15,NDP250041Y,5,112.8
63,16,NDP250042Y,1,177.6
64,16,NDP250042Y,2,88.8
65,16,NDP250042Y,3,88.8
66,16,NDP250042Y,4,44.4
67,16,NDP250042Y,5,133.2
68,17,NDP250043Y,1,356.4
69,17,NDP250043Y,2,118.8
70,17,NDP250043Y,3,59.4
71,17,NDP250043Y,4,237.6
72,17,NDP250043Y,5,59.4
73,18,NDP250044Y,2,57.6
74,18,NDP250044Y,3,57.6
75,18,NDP250044Y,5,115.2
76,19,NDP250045Y,1,63.9
77,19,NDP250045Y,2,63.9
78,19,NDP250045Y,3,127.8
79,19,NDP250045Y,4,191.7
80,20,NDP250046Y,1,66.9
81,20,NDP250046Y,2,66.9
82,20,NDP250046Y,3,133.8
83,20,NDP250046Y,4,66.9
84,20,NDP250046Y,5,66.9
85,21,NDP250047Y,1,64.8
86,21,NDP250047Y,2,64.8
87,21,NDP250047Y,3,64.8
88,21,NDP250047Y,5,64.8
89,22,NDP250048Y,1,65.1
90,22,NDP250048Y,2,195.3
91,22,NDP250048Y,3,195.3
92,22,NDP250048Y,4,195.3
93,23,NDP250049Y,1,440.0
94,23,NDP250049Y,3,73.3
95,23,NDP250049Y,4,73.3
96,23,NDP250049Y,5,220.0
97,24,NDP250050Y,1,120.0
98,24,NDP250050Y,2,180.0
99,24,NDP250050Y,3,120.0
100,24,NDP250050Y,4,60.0
101,24,NDP250050Y,5,60.0
102,25,NDP250051Y,1,139.6
103,25,NDP250051Y,2,279.1
104,25,NDP250051Y,3,279.1
105,25,NDP250051Y,4,139.6
106,25,NDP250051Y,5,209.3
107,26,NDP250052Y,1,180.0
108,26,NDP250052Y,2,60.0
109,26,NDP250052Y,3,60.0
110,26,NDP250052Y,4,60.0
111,26,NDP250052Y,5,60.0
112,27,NDP250053G,1,55.4
113,27,NDP250053G,2,110.9
114,27,NDP250053G,4,55.4
115,27,NDP250053G,5,221.7
116,28,NDP250054G,1,134.4
117,28,NDP250054G,2,67.2
118,28,NDP250054G,5,67.2
119,29,NDP250055G,1,65.4
120,29,NDP250055G,2,65.4
121,29,NDP250055G,3,65.4
122,29,NDP250055G,4,65.4
123,29,NDP250055G,5,65.4
124,30,NDP250056G,1,57.6
125,30,NDP250056G,4,115.2
126,30,NDP250056G,5,57.6
127,31,NDP250057G,1,128.4
128,31,NDP250057G,2,192.6
129,31,NDP250057G,3,128.4
130,31,NDP250057G,4,128.4
131,31,NDP250057G,5,64.2
132,32,NDP250058G,1,65.4
133,32,NDP250058G,2,65.4
134,32,NDP250058G,3,65.4
135,32,NDP250058G,4,65.4
136,32,NDP250058G,5,130.8
137,33,NDP250059Y,2,61.8
138,33,NDP250059Y,3,123.6
139,33,NDP250059Y,4,185.4
140,33,NDP250059Y,5,123.6
141,34,NDP250060Y,1,134.1
142,34,NDP250060Y,3,67.1
143,34,NDP250060Y,5,67.1
144,35,NDP250061Y,1,61.8
145,35,NDP250061Y,3,123.6
146,35,NDP250061Y,4,61.8
147,35,NDP250061Y,5,61.8
148,36,NDP250062Y,1,142.8
149,36,NDP250062Y,2,142.8
150,36,NDP250062Y,3,71.4
151,36,NDP250062Y,5,71.4
152,37,NDP250063Y,1,71.7
153,37,NDP250063Y,3,215.2
154,37,NDP250063Y,4,143.5
155,37,NDP250063Y,5,71.7
156,38,NDP250064Y,1,138.0
157,38,NDP250064Y,2,138.0
158,38,NDP250064Y,4,138.0
159,38,NDP250064Y,5,138.0
160,39,NDP250065Y,1,74.4
161,39,NDP250065Y,2,74.4
162,39,NDP250065Y,4,74.4
163,39,NDP250065Y,5,74.4
164,40,NDP250066Y,2,66.9
165,40,NDP250066Y,3,66.9
166,40,NDP250066Y,4,200.7
167,41,NDP250067Y,1,66.3
168,41,NDP250067Y,2,66.3
169,41,NDP250067Y,3,198.9
170,41,NDP250067Y,4,132.6
171,42,NDP250068Y,2,127.2
172,42,NDP250068Y,3,63.6
173,42,NDP250068Y,4,63.6
174,43,NDP250069Y,1,124.8
175,43,NDP250069Y,2,124.8
176,43,NDP250069Y,3,249.6
177,43,NDP250069Y,4,187.2
178,43,NDP250069Y,5,249.6
179,44,NDP250070Y,1,192.6
180,44,NDP250070Y,2,128.4
181,44,NDP250070Y,3,128.4
182,44,NDP250070Y,4,64.2
183,45,NDP250071Y,2,59.1
184,45,NDP250071Y,3,118.2
185,45,NDP250071Y,5,177.3
186,46,NDP250072Y,1,122.4
187,46,NDP250072Y,2,122.4
188,46,NDP250072Y,3,183.6
189,46,NDP250072Y,5,61.2
190,47,NDP250073Y,1,166.5
191,47,NDP250073Y,2,166.5
192,47,NDP250073Y,3,277.5
193,47,NDP250073Y,4,111.0
194,47,NDP250073Y,5,55.5
195,48,NDP250074Y,1,56.2
196,48,NDP250074Y,2,168.6
197,48,NDP250074Y,3,281.1
198,48,NDP250074Y,4,56.2
199,48,NDP250074Y,5,56.2
200,49,NDP250075Y,3,63.0
201,49,NDP250075Y,4,63.0
