peaEntry,accessionPea,Replication,Location,PlotNumber,combo2,g_pea_per_plot,rand,filler_plots,state
16,NDP250042Y,Rep 2,5,204,NDP250042Y+IL23-1753,44.4,0.81670866,1,NY
17,NDP250043Y,Rep 0,1,76,NDP250043Y+IL23-3823,59.4,0.982010518,2,AL
17,NDP250043Y,Rep 0,4,71,NDP250043Y+IL23-3335,59.4,0.944756332,2,ND
23,NDP250049Y,Rep 1,1,322,NDP250049Y+IL23-612,73.33333333,0.931372035,1,AL
25,NDP250051Y,Rep 0,1,55,NDP250051Y+IL23-247,69.7826087,0.982467582,3,AL
25,NDP250051Y,Rep 0,4,333,NDP250051Y+IL23-247,69.7826087,0.997401478,3,ND
25,NDP250051Y,Rep 0,5,373,NDP250051Y+IL23-475,69.7826087,0.923889232,3,NY
31,NDP250057G,Rep 0,3,323,NDP250057G+IL19-6432,64.2,0.862688692,2,IL
31,NDP250057G,Rep 0,5,169,NDP250057G+IL23-1613,64.2,0.831574099,2,NY
47,NDP250073Y,Rep 0,3,340,NDP250073Y+IL23-2843,55.5,0.998592734,1,IL
50,NDP250076Y,Rep 0,3,382,NDP250076Y+IL19-7058,58.2,0.879107005,1,IL
65,NDP250091Y,Rep 1,3,362,NDP250091Y+IL23-1619,60,0.838827467,3,IL
65,NDP250091Y,Rep 1,4,161,NDP250091Y+IL23-423,60,0.934306115,3,ND
65,NDP250091Y,Rep 0,5,147,NDP250091Y+IL20-1037,60,0.932605349,3,NY
72,NDP250098Y,Rep 0,4,282,NDP250098Y+IL23-524,70.8,0.983609331,1,ND
84,NDP250110G,Rep 1,2,72,NDP250110G+IL23-3710,56.4,0.777503304,1,IA
86,NDP250112G,Rep 1,1,58,NDP250112G+IL20-618,53.4,0.718078523,3,AL
86,NDP250112G,Rep 1,3,112,NDP250112G+IL23-2443,53.4,0.845491125,3,IL
86,NDP250112G,Rep 2,3,246,NDP250112G+IL23-951,53.4,0.720332791,3,IL
87,NDP250113G,Rep 0,5,141,NDP250113G+IL22-2362,54.6,0.997704628,1,NY
94,NDP250120G,Rep 0,5,143,NDP250120G+IL23-445,68.7,0.763314229,1,NY
99,NDP250125Y,Rep 0,3,178,NDP250125Y+IL23-2751,70.10526316,0.968204997,1,IL
105,NDP250131Y,Rep 0,1,183,NDP250131Y+IL23-4037,60,0.869774646,1,AL
115,NDP250141G,Rep 0,3,51,NDP250141G+IL23-1638,54,0.608584143,2,IL
115,NDP250141G,Rep 0,5,287,NDP250141G+IL23-2235,54,0.586734175,2,NY
123,NDP250149G,Rep 0,4,328,NDP250149G+IL23-4722,63.6,0.789142266,2,ND
123,NDP250149G,Rep 2,5,390,NDP250149G+IL23-415,63.6,0.88660959,2,NY
151,NDP250177Y,Rep 0,1,116,NDP250177Y+IL23-251,79.15662651,0.815759232,2,AL
151,NDP250177Y,Rep 0,2,346,NDP250177Y+IL23-1413,79.15662651,0.856744563,2,IA
152,NDP250178Y,Rep 0,4,261,NDP250178Y+IL23-2956,75.15789474,0.904525463,2,ND
152,NDP250178Y,Rep 0,4,389,NDP250178Y+IL23-4423,75.15789474,0.993312476,2,ND
