,sn,crop,accession,Count,N_6ftseedsneededPlots,weight,Check
229,229,Oat,IL23-3635,20,480,300,FALSE
20,20,Oat,IL19-7058,19,456,300,FALSE
513,513,Pea,NDP170252Y,19,1121,599.5,FALSE
288,288,Pea,NDP250034Y,18,1062,849.2,FALSE
355,355,Pea,NDP250101Y,18,1062,775.5,FALSE
65,65,Oat,IL22-3365,17,408,300,FALSE
167,167,Oat,IL23-1621,17,408,300,FALSE
205,205,Oat,IL23-2458,17,408,300,FALSE
287,287,Pea,NDP250033Y,17,1003,660,FALSE
477,477,Pea,NDP170017G,17,1003,704,FALSE
141,141,Oat,IL23-1259,16,384,300,FALSE
248,248,Oat,IL23-3838,16,384,300,FALSE
340,340,Pea,NDP250086Y,16,944,869,FALSE
442,442,Pea,NDP250188G,16,944,693,FALSE
3,3,Oat,IL17-3125,15,360,300,FALSE
222,222,Oat,IL23-3545,15,360,300,FALSE
282,282,Pea,NDP250028Y,15,885,781,FALSE
396,396,Pea,NDP250142G,15,885,774.4,FALSE
401,401,Pea,NDP250147G,15,885,847,FALSE
410,410,Pea,NDP250156Y,15,885,753.5,FALSE
428,428,Pea,NDP250174Y,15,885,764.5,FALSE
512,512,Pea,NDP170249Y,15,885,720.5,FALSE
28,28,Oat,IL20-6928,14,336,300,FALSE
63,63,Oat,IL22-3146,14,336,300,FALSE
235,235,Oat,IL23-3675,14,336,300,FALSE
279,279,Oat,IL23-4746,14,336,300,FALSE
283,283,Pea,NDP250029Y,14,826,753.5,FALSE
404,404,Pea,NDP250150G,14,826,781,FALSE
413,413,Pea,NDP250159Y,14,826,825,FALSE
433,433,Pea,NDP250179Y,14,826,731.5,FALSE
459,459,Pea,NDP150221G,14,826,940.5,TRUE
4,4,Oat,IL19-511,13,312,300,FALSE
49,49,Oat,IL21-8143,13,312,300,FALSE
113,113,Oat,IL23-739,13,312,300,FALSE
197,197,Oat,IL23-2034,13,312,300,FALSE
220,220,Oat,IL23-3468,13,312,300,FALSE
226,226,Oat,IL23-3576,13,312,300,FALSE
249,249,Oat,IL23-3842,13,312,300,FALSE
363,363,Pea,NDP250109G,13,767,764.5,FALSE
372,372,Pea,NDP250118G,13,767,720.5,FALSE
291,291,Pea,NDP250037Y,13,767,841.5,TRUE
305,305,Pea,NDP250051Y,13,767,827.2,TRUE
316,316,Pea,NDP250062Y,13,767,869,TRUE
356,356,Pea,NDP250102Y,13,767,913,TRUE
384,384,Pea,NDP250130Y,13,767,792,TRUE
418,418,Pea,NDP250164Y,13,767,797.5,TRUE
423,423,Pea,NDP250169Y,13,767,940.5,TRUE
457,457,Pea,NDP150210Y,13,767,902,TRUE
296,296,Pea,NDP250042Y,12,708,583,FALSE
492,492,Pea,NDP170099G,12,708,693,FALSE
91,91,Oat,IL23-376,12,288,300,TRUE
97,97,Oat,IL23-445,12,288,300,TRUE
100,100,Oat,IL23-509,12,288,300,TRUE
112,112,Oat,IL23-723,12,288,300,TRUE
139,139,Oat,IL23-1228,12,288,300,TRUE
164,164,Oat,IL23-1614,12,288,300,TRUE
172,172,Oat,IL23-1638,12,288,300,TRUE
247,247,Oat,IL23-3830,12,288,300,TRUE
272,272,Oat,IL23-4554,12,288,300,TRUE
352,352,Pea,NDP250098Y,12,708,858,TRUE
353,353,Pea,NDP250099Y,12,708,726,TRUE
373,373,Pea,NDP250119G,12,708,759,TRUE
374,374,Pea,NDP250120G,12,708,836,TRUE
376,376,Pea,NDP250122Y,12,708,935,TRUE
431,431,Pea,NDP250177Y,12,708,899.8,TRUE
432,432,Pea,NDP250178Y,12,708,894.3,TRUE
440,440,Pea,NDP250186G,12,708,753.5,TRUE
446,446,Pea,NDP120083Y,12,708,891,TRUE
453,453,Pea,NDP150084Y,12,708,1232,TRUE
454,454,Pea,NDP150106G,12,708,759,TRUE
465,465,Pea,NDP150412G,12,708,709.5,TRUE
467,467,Pea,NDP160034Y,12,708,858,TRUE
365,365,Pea,NDP250111G,11,649,643.5,FALSE
76,76,Oat,IL22-5335,11,264,300,TRUE
90,90,Oat,IL23-360,11,264,300,TRUE
110,110,Oat,IL23-661,11,264,300,TRUE
134,134,Oat,IL23-1163,11,264,300,TRUE
147,147,Oat,IL23-1413,11,264,300,TRUE
154,154,Oat,IL23-1432,11,264,300,TRUE
169,169,Oat,IL23-1628,11,264,300,TRUE
176,176,Oat,IL23-1653,11,264,300,TRUE
194,194,Oat,IL23-1959,11,264,300,TRUE
201,201,Oat,IL23-2246,11,264,300,TRUE
258,258,Oat,IL23-4118,11,264,300,TRUE
276,276,Oat,IL23-4718,11,264,300,TRUE
286,286,Pea,NDP250032Y,11,649,654.5,TRUE
306,306,Pea,NDP250052Y,11,649,728.2,TRUE
312,312,Pea,NDP250058G,11,649,803,TRUE
349,349,Pea,NDP250095Y,11,649,682,TRUE
359,359,Pea,NDP250105G,11,649,783.2,TRUE
361,361,Pea,NDP250107G,11,649,792,TRUE
380,380,Pea,NDP250126Y,11,649,861.3,TRUE
392,392,Pea,NDP250138G,11,649,770,TRUE
438,438,Pea,NDP250184G,11,649,731.5,TRUE
455,455,Pea,NDP150119G,11,649,830.5,TRUE
511,511,Pea,NDP170247Y,11,649,746.9,TRUE
23,23,Oat,IL20-618,10,240,300,TRUE
31,31,Oat,IL20-8320,10,240,300,TRUE
51,51,Oat,IL22-948,10,240,300,TRUE
66,66,Oat,IL22-3958,10,240,300,TRUE
74,74,Oat,IL22-4714,10,240,300,TRUE
102,102,Oat,IL23-524,10,240,300,TRUE
103,103,Oat,IL23-543,10,240,300,TRUE
126,126,Oat,IL23-957,10,240,300,TRUE
136,136,Oat,IL23-1206,10,240,300,TRUE
137,137,Oat,IL23-1209,10,240,300,TRUE
155,155,Oat,IL23-1450,10,240,300,TRUE
196,196,Oat,IL23-2021,10,240,300,TRUE
207,207,Oat,IL23-2625,10,240,300,TRUE
224,224,Oat,IL23-3565,10,240,300,TRUE
233,233,Oat,IL23-3669,10,240,300,TRUE
234,234,Oat,IL23-3673,10,240,300,TRUE
237,237,Oat,IL23-3730,10,240,300,TRUE
243,243,Oat,IL23-3823,10,240,300,TRUE
264,264,Oat,IL23-4274,10,240,300,TRUE
289,289,Pea,NDP250035G,10,590,682,TRUE
294,294,Pea,NDP250040Y,10,590,786.5,TRUE
318,318,Pea,NDP250064Y,10,590,841.5,TRUE
323,323,Pea,NDP250069Y,10,590,770,TRUE
350,350,Pea,NDP250096Y,10,590,682,TRUE
351,351,Pea,NDP250097Y,10,590,792,TRUE
354,354,Pea,NDP250100Y,10,590,768.9,TRUE
366,366,Pea,NDP250112G,10,590,676.5,TRUE
427,427,Pea,NDP250173Y,10,590,841.5,TRUE
441,441,Pea,NDP250187G,10,590,731.5,TRUE
447,447,Pea,NDP120181Y,10,590,935,TRUE
452,452,Pea,NDP150070G,10,590,803,TRUE
466,466,Pea,NDP150476G,10,590,887.7,TRUE
478,478,Pea,NDP170022G,10,590,830.5,TRUE
479,479,Pea,NDP170027G,10,590,775.5,TRUE
489,489,Pea,NDP170084G,10,590,701.8,TRUE
491,491,Pea,NDP170094Y,10,590,748,TRUE
495,495,Pea,NDP170110Y,10,590,859.1,TRUE
514,514,Pea,NDP170253Y,10,590,726,TRUE
515,515,Pea,NDP170273Y,10,590,845.9,TRUE
37,37,Oat,IL21-4020,9,216,300,TRUE
46,46,Oat,IL21-6257,9,216,300,TRUE
48,48,Oat,IL21-7822,9,216,300,TRUE
60,60,Oat,IL22-2662,9,216,300,TRUE
117,117,Oat,IL23-875,9,216,300,TRUE
121,121,Oat,IL23-913,9,216,300,TRUE
122,122,Oat,IL23-923,9,216,300,TRUE
149,149,Oat,IL23-1421,9,216,300,TRUE
163,163,Oat,IL23-1613,9,216,300,TRUE
173,173,Oat,IL23-1644,9,216,300,TRUE
231,231,Oat,IL23-3655,9,216,300,TRUE
236,236,Oat,IL23-3710,9,216,300,TRUE
270,270,Oat,IL23-4546,9,216,300,TRUE
281,281,Pea,NDP250027G,9,531,720.5,TRUE
284,284,Pea,NDP250030Y,9,531,786.5,TRUE
285,285,Pea,NDP250031Y,9,531,842.6,TRUE
293,293,Pea,NDP250039Y,9,531,797.5,TRUE
299,299,Pea,NDP250045Y,9,531,766.7,TRUE
303,303,Pea,NDP250049Y,9,531,859.1,TRUE
309,309,Pea,NDP250055G,9,531,803,TRUE
314,314,Pea,NDP250060Y,9,531,782.1,TRUE
321,321,Pea,NDP250067Y,9,531,800.8,TRUE
339,339,Pea,NDP250085Y,9,531,704,TRUE
341,341,Pea,NDP250087Y,9,531,910.8,TRUE
348,348,Pea,NDP250094Y,9,531,660,TRUE
367,367,Pea,NDP250113G,9,531,687.5,TRUE
369,369,Pea,NDP250115G,9,531,825,TRUE
375,375,Pea,NDP250121Y,9,531,869,TRUE
388,388,Pea,NDP250134G,9,531,731.5,TRUE
397,397,Pea,NDP250143G,9,531,814,TRUE
400,400,Pea,NDP250146G,9,531,775.5,TRUE
405,405,Pea,NDP250151Y,9,531,830.5,TRUE
406,406,Pea,NDP250152Y,9,531,869,TRUE
407,407,Pea,NDP250153Y,9,531,825,TRUE
424,424,Pea,NDP250170Y,9,531,775.5,TRUE
443,443,Pea,NDP250189G,9,531,855.8,TRUE
445,445,Pea,ND VICTORY,9,531,638,TRUE
449,449,Pea,NDP121714R,9,531,842.6,TRUE
460,460,Pea,NDP150223G,9,531,902,TRUE
470,470,Pea,NDP160188Y,9,531,858,TRUE
471,471,Pea,NDP170001G,9,531,671,TRUE
487,487,Pea,NDP170056G,9,531,746.9,TRUE
488,488,Pea,NDP170057G,9,531,643.5,TRUE
490,490,Pea,NDP170089G,9,531,709.5,TRUE
500,500,Pea,NDP170156Y,9,531,788.7,TRUE
508,508,Pea,NDP170200Y,9,531,671,TRUE
7,7,Oat,IL19-2673,8,192,300,TRUE
15,15,Oat,IL19-6345,8,192,300,TRUE
21,21,Oat,IL19-7063,8,192,300,TRUE
26,26,Oat,IL20-1037,8,192,300,TRUE
27,27,Oat,IL20-5913,8,192,300,TRUE
33,33,Oat,IL20-8456,8,192,300,TRUE
34,34,Oat,IL21-753,8,192,300,TRUE
53,53,Oat,IL22-1256,8,192,300,TRUE
58,58,Oat,IL22-2362,8,192,300,TRUE
67,67,Oat,IL22-4050,8,192,300,TRUE
71,71,Oat,IL22-4432,8,192,300,TRUE
78,78,Oat,IL22-5830,8,192,300,TRUE
80,80,Oat,IL22-6264,8,192,300,TRUE
85,85,Oat,IL23-259,8,192,300,TRUE
86,86,Oat,IL23-260,8,192,300,TRUE
94,94,Oat,IL23-418,8,192,300,TRUE
95,95,Oat,IL23-422,8,192,300,TRUE
116,116,Oat,IL23-810,8,192,300,TRUE
128,128,Oat,IL23-963,8,192,300,TRUE
131,131,Oat,IL23-1037,8,192,300,TRUE
132,132,Oat,IL23-1115,8,192,300,TRUE
138,138,Oat,IL23-1225,8,192,300,TRUE
142,142,Oat,IL23-1348,8,192,300,TRUE
143,143,Oat,IL23-1358,8,192,300,TRUE
146,146,Oat,IL23-1410,8,192,300,TRUE
151,151,Oat,IL23-1423,8,192,300,TRUE
170,170,Oat,IL23-1631,8,192,300,TRUE
186,186,Oat,IL23-1775,8,192,300,TRUE
188,188,Oat,IL23-1815,8,192,300,TRUE
232,232,Oat,IL23-3661,8,192,300,TRUE
241,241,Oat,IL23-3754,8,192,300,TRUE
244,244,Oat,IL23-3826,8,192,300,TRUE
245,245,Oat,IL23-3827,8,192,300,TRUE
260,260,Oat,IL23-4243,8,192,300,TRUE
268,268,Oat,IL23-4542,8,192,300,TRUE
292,292,Pea,NDP250038Y,8,472,764.5,TRUE
295,295,Pea,NDP250041Y,8,472,709.5,TRUE
300,300,Pea,NDP250046Y,8,472,819.5,TRUE
310,310,Pea,NDP250056G,8,472,720.5,TRUE
319,319,Pea,NDP250065Y,8,472,896.5,TRUE
322,322,Pea,NDP250068Y,8,472,786.5,TRUE
324,324,Pea,NDP250070Y,8,472,792,TRUE
332,332,Pea,NDP250078Y,8,472,715,TRUE
337,337,Pea,NDP250083Y,8,472,676.5,TRUE
342,342,Pea,NDP250088Y,8,472,830.5,TRUE
344,344,Pea,NDP250090Y,8,472,775.5,TRUE
346,346,Pea,NDP250092Y,8,472,847,TRUE
370,370,Pea,NDP250116G,8,472,786.5,TRUE
371,371,Pea,NDP250117G,8,472,808.5,TRUE
383,383,Pea,NDP250129Y,8,472,786.5,TRUE
393,393,Pea,NDP250139G,8,472,753.5,TRUE
395,395,Pea,NDP250141G,8,472,682,TRUE
402,402,Pea,NDP250148G,8,472,939.4,TRUE
403,403,Pea,NDP250149G,8,472,786.5,TRUE
409,409,Pea,NDP250155Y,8,472,671,TRUE
436,436,Pea,NDP250182G,8,472,709.5,TRUE
439,439,Pea,NDP250185G,8,472,792,TRUE
456,456,Pea,NDP150179Y,8,472,726,TRUE
458,458,Pea,NDP150218Y,8,472,830.5,TRUE
463,463,Pea,NDP150232Y,8,472,1100,TRUE
464,464,Pea,NDP150338Y,8,472,880,TRUE
474,474,Pea,NDP170008G,8,472,777.7,TRUE
476,476,Pea,NDP170012G,8,472,809.6,TRUE
496,496,Pea,NDP170111G,8,472,759,TRUE
497,497,Pea,NDP170133G,8,472,737,TRUE
505,505,Pea,NDP170183Y,8,472,728.2,TRUE
517,517,Pea,NDP170328G,8,472,792,TRUE
2,2,Oat,IL17-1704,7,168,300,TRUE
