"","accession","categories","Count","extra_seed","unique_combos","across_loc","within_loc","Count2","crop"
"1","IL23-524","unique_combos,across_loc",20,0,10,10,0,20,"Oat"
"2","IL23-1815","across_loc,unique_combos",19,24,4,15,0,19,"Oat"
"3","IL22-5365","unique_combos,across_loc",15,120,10,5,0,15,"Oat"
"4","IL23-259","unique_combos,within_loc",15,120,11,0,4,15,"Oat"
"5","IL23-951","across_loc,unique_combos,within_loc",15,120,8,5,2,15,"Oat"
"6","IL23-971","across_loc,unique_combos,within_loc",15,120,8,5,2,15,"Oat"
"7","IL23-1608","across_loc,unique_combos,within_loc",14,144,7,5,2,14,"Oat"
"8","IL23-4572","unique_combos,across_loc,within_loc",14,144,7,5,2,14,"Oat"
"9","IL21-4020","unique_combos,within_loc",13,168,9,0,4,13,"Oat"
"10","IL21-8143","across_loc,unique_combos",13,168,8,5,0,13,"Oat"
"11","IL23-247","across_loc,unique_combos",13,168,8,5,0,13,"Oat"
"12","IL23-2443","unique_combos,across_loc,within_loc",13,168,6,5,2,13,"Oat"
"13","IL19-4556","unique_combos",12,192,12,0,0,12,"Oat"
"14","IL20-6928","within_loc,unique_combos",12,192,6,0,6,12,"Oat"
"15","IL22-3146","unique_combos,within_loc",12,192,10,0,2,12,"Oat"
"16","IL23-512","within_loc,unique_combos",12,192,10,0,2,12,"Oat"
"17","IL23-1209","unique_combos,across_loc",12,192,7,5,0,12,"Oat"
"18","IL23-1450","unique_combos,within_loc",12,192,10,0,2,12,"Oat"
"19","IL23-1619","unique_combos,within_loc",12,192,8,0,4,12,"Oat"
"20","IL23-4722","across_loc,unique_combos,within_loc",12,192,5,5,2,12,"Oat"
"21","IL20-8446","across_loc,unique_combos",11,216,6,5,0,11,"Oat"
"22","IL21-5955","within_loc,unique_combos",11,216,9,0,2,11,"Oat"
"23","IL22-4548","unique_combos,within_loc",11,216,9,0,2,11,"Oat"
"24","IL23-271","across_loc,unique_combos",11,216,6,5,0,11,"Oat"
"25","IL23-612","unique_combos,within_loc",11,216,7,0,4,11,"Oat"
"26","IL23-669","unique_combos,within_loc",11,216,9,0,2,11,"Oat"
"27","IL23-739","unique_combos,within_loc",11,216,7,0,4,11,"Oat"
"28","IL23-1462","unique_combos",11,216,11,0,0,11,"Oat"
"29","IL23-1613","unique_combos",11,216,11,0,0,11,"Oat"
"30","IL23-1644","across_loc,unique_combos",11,216,6,5,0,11,"Oat"
"31","IL23-1650","unique_combos,within_loc",11,216,9,0,2,11,"Oat"
"32","IL23-3312","across_loc,unique_combos",11,216,1,10,0,11,"Oat"
"33","IL23-3576","across_loc,unique_combos,within_loc",11,216,2,5,4,11,"Oat"
