"source","PlotNo","oatName","peaName"
"oatE 3   plots 3","069","IL17-3125","NDP250153Y peaE 127"
"oatE 3   plots 3","234","IL17-3125","NDP250144G peaE 118"
"oatE 3   plots 3","248","IL17-3125","NDP250150G peaE 124"
"oatE 4   plots 1","366","IL19-511","NDP170057G peaE 208"
"oatE 5   plots 1","040","IL19-1222","NDP170190Y peaE 227"
"oatE 6   plots 1","306","IL19-2033","NDP250114G peaE 88"
"oatE 9   plots 1","262","IL19-3661","NDP121714R peaE 169"
"oatE 10   plots 3","105","IL19-4556","NDP170028G peaE 200"
"oatE 10   plots 3","354","IL19-4556","NDP250151Y peaE 125"
"oatE 10   plots 3","375","IL19-4556","NDP250122Y peaE 96"
"oatE 11   plots 1","034","IL19-4877","NDP170153Y peaE 219"
"oatE 12   plots 1","186","IL19-5332","NDP250036Y peaE 10"
"oatE 14   plots 2","369","IL19-5467","NDP160129G peaE 188"
"oatE 14   plots 2","389","IL19-5467","NDP250069Y peaE 43"
"oatE 16   plots 1","296","IL19-6406","NDP250135Y peaE 109"
"oatE 17   plots 3","074","IL19-6432","NDP250092Y peaE 66"
"oatE 17   plots 3","192","IL19-6432","NDP250150G peaE 124"
"oatE 17   plots 3","224","IL19-6432","NDP250069Y peaE 43"
"oatE 18   plots 3","146","IL19-6920","NDP250091Y peaE 65"
"oatE 18   plots 3","380","IL19-6920","NDP150106G peaE 174"
"oatE 18   plots 3","392","IL19-6920","NDP250103G peaE 77"
"oatE 19   plots 1","295","IL19-7048","NDP170043G peaE 204"
"oatE 20   plots 1","267","IL19-7058","NDP250105G peaE 79"
"oatE 21   plots 3","148","IL19-7063","NDP250125Y peaE 99"
"oatE 21   plots 3","304","IL19-7063","NDP250173Y peaE 147"
"oatE 21   plots 3","379","IL19-7063","NDP250033Y peaE 7"
"oatE 22   plots 1","279","IL20-615","NDP250124Y peaE 98"
"oatE 25   plots 3","207","IL20-746","NDP170202Y peaE 229"
"oatE 25   plots 3","229","IL20-746","NDP170031G peaE 201"
"oatE 25   plots 3","345","IL20-746","NDP170101G peaE 213"
"oatE 26   plots 2","147","IL20-1037","ND VICTORY peaE 165"
"oatE 26   plots 2","286","IL20-1037","NDP150223G peaE 180"
"oatE 27   plots 1","316","IL20-5913","NDP170156Y peaE 220"
"oatE 28   plots 2","104","IL20-6928","NDP170156Y peaE 220"
"oatE 28   plots 2","364","IL20-6928","NDP170156Y peaE 220"
"oatE 29   plots 2","109","IL20-7727","NDP170161Y peaE 221"
"oatE 29   plots 2","212","IL20-7727","NDP250049Y peaE 23"
"oatE 31   plots 2","078","IL20-8320","NDP250084Y peaE 58"
"oatE 31   plots 2","084","IL20-8320","NDP250112G peaE 86"
"oatE 32   plots 1","335","IL20-8446","NDP250089Y peaE 63"
"oatE 33   plots 2","317","IL20-8456","NDP170273Y peaE 235"
"oatE 33   plots 2","331","IL20-8456","NDP250071Y peaE 45"
"oatE 34   plots 1","072","IL21-753","NDP170151Y peaE 218"
"oatE 35   plots 1","252","IL21-3542","NDP250056G peaE 30"
"oatE 36   plots 4","009","IL21-4011","NDP250069Y peaE 43"
"oatE 36   plots 4","153","IL21-4011","NDP170101G peaE 213"
"oatE 36   plots 4","276","IL21-4011","NDP150476G peaE 186"
"oatE 36   plots 4","315","IL21-4011","NDP170056G peaE 207"
"oatE 37   plots 8","004","IL21-4020","NDP250155Y peaE 129"
"oatE 37   plots 8","010","IL21-4020","NDP250131Y peaE 105"
"oatE 37   plots 8","042","IL21-4020","NDP150221G peaE 179"
"oatE 37   plots 8","061","IL21-4020","NDP250084Y peaE 58"
"oatE 37   plots 8","139","IL21-4020","NDP250159Y peaE 133"
"oatE 37   plots 8","239","IL21-4020","NDP250167Y peaE 141"
"oatE 37   plots 8","256","IL21-4020","NDP250131Y peaE 105"
"oatE 37   plots 8","327","IL21-4020","NDP150221G peaE 179"
"oatE 40   plots 5","114","IL21-4178","NDP250128Y peaE 102"
"oatE 40   plots 5","187","IL21-4178","NDP250154Y peaE 128"
"oatE 40   plots 5","255","IL21-4178","NDP250189G peaE 163"
"oatE 40   plots 5","264","IL21-4178","NDP250058G peaE 32"
"oatE 40   plots 5","272","IL21-4178","NDP250189G peaE 163"
"oatE 41   plots 2","003","IL21-4364","NDP250178Y peaE 152"
