"source","PlotNo","oatName","peaName"
"peaE 6   plots 1","190","IL23-660 oatE 109","NDP250032Y"
"peaE 7   plots 1","379","IL19-7063 oatE 21","NDP250033Y"
"peaE 12   plots 1","049","IL23-1775 oatE 186","NDP250038Y"
"peaE 14   plots 1","103","IL23-3627 oatE 228","NDP250040Y"
"peaE 17   plots 1","127","IL23-3337 oatE 217","NDP250043Y"
"peaE 20   plots 1","247","IL23-1666 oatE 181","NDP250046Y"
"peaE 21   plots 1","282","IL22-2362 oatE 58","NDP250047Y"
"peaE 24   plots 1","140","IL23-3754 oatE 241","NDP250050Y"
"peaE 26   plots 1","156","IL23-771 oatE 115","NDP250052Y"
"peaE 28   plots 1","395","IL23-612 oatE 106","NDP250054G"
"peaE 29   plots 1","013","IL23-2751 oatE 208","NDP250055G"
"peaE 30   plots 1","252","IL21-3542 oatE 35","NDP250056G"
"peaE 34   plots 1","016","IL23-3710 oatE 236","NDP250060Y"
"peaE 35   plots 1","384","IL23-1859 oatE 192","NDP250061Y"
"peaE 36   plots 1","025","IL22-4714 oatE 74","NDP250062Y"
"peaE 37   plots 1","008","IL23-739 oatE 113","NDP250063Y"
"peaE 39   plots 1","100","IL23-1462 oatE 157","NDP250065Y"
"peaE 46   plots 1","378","IL23-524 oatE 102","NDP250072Y"
"peaE 47   plots 1","210","IL22-1256 oatE 53","NDP250073Y"
"peaE 48   plots 1","203","IL23-4722 oatE 278","NDP250074Y"
"peaE 50   plots 1","142","IL23-4243 oatE 260","NDP250076Y"
"peaE 54   plots 1","045","IL23-3655 oatE 231","NDP250080Y"
"peaE 56   plots 1","064","IL23-2034 oatE 197","NDP250082Y"
"peaE 59   plots 1","399","IL23-2956 oatE 212","NDP250085Y"
"peaE 66   plots 1","074","IL19-6432 oatE 17","NDP250092Y"
"peaE 67   plots 1","079","IL23-558 oatE 105","NDP250093Y"
"peaE 68   plots 1","249","IL23-971 oatE 130","NDP250094Y"
"peaE 73   plots 1","023","IL23-267 oatE 87","NDP250099Y"
"peaE 74   plots 1","014","IL23-3443 oatE 219","NDP250100Y"
"peaE 75   plots 1","149","IL23-2625 oatE 207","NDP250101Y"
"peaE 76   plots 1","361","IL23-4259 oatE 263","NDP250102Y"
"peaE 81   plots 1","318","IL21-5956 oatE 44","NDP250107G"
"peaE 85   plots 1","076","IL23-1236 oatE 140","NDP250111G"
"peaE 87   plots 1","116","IL23-1037 oatE 131","NDP250113G"
"peaE 90   plots 1","121","IL23-422 oatE 95","NDP250116G"
"peaE 91   plots 1","150","IL23-1556 oatE 160","NDP250117G"
"peaE 94   plots 1","298","IL23-1669 oatE 183","NDP250120G"
"peaE 95   plots 1","351","IL23-271 oatE 89","NDP250121Y"
"peaE 97   plots 1","002","IL22-5365 oatE 77","NDP250123Y"
"peaE 99   plots 1","148","IL19-7063 oatE 21","NDP250125Y"
"peaE 108   plots 1","108","IL23-1650 oatE 174","NDP250134G"
"peaE 110   plots 1","144","IL21-5956 oatE 44","NDP250136G"
"peaE 111   plots 1","348","IL22-2850 oatE 61","NDP250137G"
"peaE 112   plots 1","113","IL23-771 oatE 115","NDP250138G"
"peaE 113   plots 1","238","IL22-5365 oatE 77","NDP250139G"
"peaE 115   plots 1","214","IL23-1947 oatE 193","NDP250141G"
"peaE 117   plots 1","254","IL22-4432 oatE 71","NDP250143G"
"peaE 118   plots 1","234","IL17-3125 oatE 3","NDP250144G"
"peaE 120   plots 1","027","IL23-1608 oatE 161","NDP250146G"
"peaE 121   plots 1","211","IL23-2954 oatE 211","NDP250147G"
"peaE 122   plots 1","382","IL23-1815 oatE 188","NDP250148G"
"peaE 132   plots 1","371","IL23-3312 oatE 215","NDP250158Y"
"peaE 133   plots 1","139","IL21-4020 oatE 37","NDP250159Y"
"peaE 141   plots 1","239","IL21-4020 oatE 37","NDP250167Y"
"peaE 142   plots 1","358","IL21-8143 oatE 49","NDP250168Y"
"peaE 149   plots 1","183","IL23-1644 oatE 173","NDP250175Y"
"peaE 151   plots 1","322","IL23-939 oatE 123","NDP250177Y"
"peaE 157   plots 1","047","IL23-1414 oatE 148","NDP250183G"
"peaE 158   plots 1","095","IL23-1165 oatE 135","NDP250184G"
"peaE 159   plots 1","166","IL23-4546 oatE 270","NDP250185G"
"peaE 174   plots 1","380","IL19-6920 oatE 18","NDP150106G"
"peaE 175   plots 1","260","IL23-1348 oatE 142","NDP150119G"
"peaE 178   plots 1","131","IL23-2625 oatE 207","NDP150218Y"
"peaE 181   plots 1","134","IL23-4718 oatE 276","NDP150228Y"
"peaE 185   plots 1","117","IL22-3262 oatE 64","NDP150412G"
"peaE 188   plots 1","369","IL19-5467 oatE 14","NDP160129G"
"peaE 192   plots 1","374","IL21-6116 oatE 45","NDP170004G"
"peaE 196   plots 1","343","IL23-475 oatE 99","NDP170012G"
"peaE 199   plots 1","059","IL23-1657 oatE 178","NDP170027G"
"peaE 222   plots 1","174","IL23-621 oatE 107","NDP170177Y"
"peaE 223   plots 1","020","IL23-2021 oatE 196","NDP170181Y"
"peaE 228   plots 1","291","IL23-3874 oatE 252","NDP170200Y"
"peaE 231   plots 1","253","IL23-524 oatE 102","NDP170247Y"
"peaE 232   plots 1","309","IL23-4274 oatE 264","NDP170249Y"
"peaE 233   plots 1","240","IL23-669 oatE 111","NDP170252Y"
"peaE 236   plots 1","051","IL23-4259 oatE 263","NDP170322Y"
"peaE 1   plots 2","133","IL23-360 oatE 90","NDP250027G"
"peaE 1   plots 2","197","IL23-512 oatE 101","NDP250027G"
"peaE 3   plots 2","091","IL21-7653 oatE 47","NDP250029Y"
"peaE 3   plots 2","300","IL21-7653 oatE 47","NDP250029Y"
"peaE 4   plots 2","094","IL23-445 oatE 97","NDP250030Y"
"peaE 4   plots 2","162","IL23-3468 oatE 220","NDP250030Y"
"peaE 5   plots 2","065","IL23-4547 oatE 271","NDP250031Y"
"peaE 5   plots 2","341","IL23-3572 oatE 225","NDP250031Y"
"peaE 8   plots 2","273","IL23-2751 oatE 208","NDP250034Y"
"peaE 8   plots 2","372","IL23-2751 oatE 208","NDP250034Y"
"peaE 9   plots 2","221","IL23-1610 oatE 162","NDP250035G"
"peaE 9   plots 2","330","IL22-4432 oatE 71","NDP250035G"
"peaE 10   plots 2","186","IL19-5332 oatE 12","NDP250036Y"
"peaE 10   plots 2","349","IL23-913 oatE 121","NDP250036Y"
"peaE 15   plots 2","011","IL22-6261 oatE 79","NDP250041Y"
"peaE 15   plots 2","068","IL23-4259 oatE 263","NDP250041Y"
"peaE 16   plots 2","112","IL23-1432 oatE 154","NDP250042Y"
"peaE 16   plots 2","175","IL23-1753 oatE 184","NDP250042Y"
"peaE 18   plots 2","043","IL22-948 oatE 51","NDP250044Y"
"peaE 18   plots 2","159","IL23-3337 oatE 217","NDP250044Y"
"peaE 25   plots 2","270","IL23-247 oatE 82","NDP250051Y"
"peaE 25   plots 2","307","IL23-1209 oatE 137","NDP250051Y"
"peaE 32   plots 2","264","IL21-4178 oatE 40","NDP250058G"
"peaE 32   plots 2","294","IL23-259 oatE 85","NDP250058G"
"peaE 33   plots 2","096","IL23-1206 oatE 136","NDP250059Y"
"peaE 33   plots 2","233","IL23-3468 oatE 220","NDP250059Y"
"peaE 38   plots 2","093","IL23-1638 oatE 172","NDP250064Y"
"peaE 38   plots 2","297","IL22-4459 oatE 72","NDP250064Y"
"peaE 52   plots 2","135","IL23-543 oatE 103","NDP250078Y"
"peaE 52   plots 2","161","IL22-4169 oatE 68","NDP250078Y"
"peaE 53   plots 2","111","IL23-1547 oatE 159","NDP250079Y"
"peaE 53   plots 2","325","IL22-4548 oatE 73","NDP250079Y"
"peaE 55   plots 2","164","IL21-8143 oatE 49","NDP250081Y"
"peaE 55   plots 2","216","IL23-2235 oatE 200","NDP250081Y"
"peaE 64   plots 2","080","IL22-4459 oatE 72","NDP250090Y"
"peaE 64   plots 2","184","IL23-1657 oatE 178","NDP250090Y"
"peaE 72   plots 2","024","IL23-4575 oatE 275","NDP250098Y"
"peaE 72   plots 2","081","IL23-524 oatE 102","NDP250098Y"
"peaE 77   plots 2","263","IL23-1666 oatE 181","NDP250103G"
"peaE 77   plots 2","392","IL19-6920 oatE 18","NDP250103G"
"peaE 78   plots 2","126","IL23-963 oatE 128","NDP250104G"
"peaE 78   plots 2","215","IL23-4469 oatE 267","NDP250104G"
"peaE 79   plots 2","062","IL22-4459 oatE 72","NDP250105G"
"peaE 79   plots 2","267","IL19-7058 oatE 20","NDP250105G"
"peaE 80   plots 2","319","IL23-1775 oatE 186","NDP250106G"
"peaE 80   plots 2","394","IL23-923 oatE 122","NDP250106G"
"peaE 83   plots 2","340","IL23-558 oatE 105","NDP250109G"
"peaE 83   plots 2","397","IL23-4718 oatE 276","NDP250109G"
"peaE 84   plots 2","168","IL23-3627 oatE 228","NDP250110G"
"peaE 84   plots 2","367","IL23-509 oatE 100","NDP250110G"
"peaE 86   plots 2","084","IL20-8320 oatE 31","NDP250112G"
"peaE 86   plots 2","246","IL23-1209 oatE 137","NDP250112G"
"peaE 88   plots 2","306","IL19-2033 oatE 6","NDP250114G"
"peaE 88   plots 2","346","IL22-6261 oatE 79","NDP250114G"
"peaE 89   plots 2","052","IL23-1614 oatE 164","NDP250115G"
"peaE 89   plots 2","268","IL23-3468 oatE 220","NDP250115G"
"peaE 96   plots 2","360","IL21-5917 oatE 42","NDP250122Y"
"peaE 96   plots 2","375","IL19-4556 oatE 10","NDP250122Y"
"peaE 98   plots 2","257","IL23-512 oatE 101","NDP250124Y"
"peaE 98   plots 2","279","IL20-615 oatE 22","NDP250124Y"
"peaE 100   plots 2","088","IL23-2843 oatE 209","NDP250126Y"
"peaE 100   plots 2","193","IL22-1423 oatE 54","NDP250126Y"
"peaE 102   plots 2","114","IL21-4178 oatE 40","NDP250128Y"
"peaE 102   plots 2","223","IL23-723 oatE 112","NDP250128Y"
"peaE 107   plots 2","107","IL23-360 oatE 90","NDP250133G"
"peaE 107   plots 2","123","IL23-1638 oatE 172","NDP250133G"
"peaE 123   plots 2","152","IL23-4722 oatE 278","NDP250149G"
"peaE 123   plots 2","163","IL23-415 oatE 93","NDP250149G"
"peaE 125   plots 2","213","IL23-4469 oatE 267","NDP250151Y"
"peaE 125   plots 2","354","IL19-4556 oatE 10","NDP250151Y"
"peaE 126   plots 2","128","IL23-763 oatE 114","NDP250152Y"
"peaE 126   plots 2","376","IL23-3312 oatE 215","NDP250152Y"
"peaE 128   plots 2","187","IL21-4178 oatE 40","NDP250154Y"
"peaE 128   plots 2","194","IL23-3857 oatE 251","NDP250154Y"
"peaE 129   plots 2","004","IL21-4020 oatE 37","NDP250155Y"
"peaE 129   plots 2","337","IL23-3627 oatE 228","NDP250155Y"
"peaE 131   plots 2","208","IL23-1668 oatE 182","NDP250157Y"
"peaE 131   plots 2","328","IL23-4575 oatE 275","NDP250157Y"
"peaE 137   plots 2","007","IL23-1650 oatE 174","NDP250163Y"
"peaE 137   plots 2","283","IL23-3565 oatE 224","NDP250163Y"
"peaE 144   plots 2","058","IL23-1815 oatE 188","NDP250170Y"
"peaE 144   plots 2","217","IL23-3842 oatE 249","NDP250170Y"
"peaE 156   plots 2","106","IL23-3468 oatE 220","NDP250182G"
"peaE 156   plots 2","284","IL23-3468 oatE 220","NDP250182G"
"peaE 161   plots 2","041","IL23-1209 oatE 137","NDP250187G"
"peaE 161   plots 2","220","IL23-4049 oatE 255","NDP250187G"
"peaE 162   plots 2","115","IL22-4235 oatE 69","NDP250188G"
"peaE 162   plots 2","302","IL22-4235 oatE 69","NDP250188G"
"peaE 167   plots 2","087","IL23-3549 oatE 223","NDP120181Y"
"peaE 167   plots 2","182","IL23-3549 oatE 223","NDP120181Y"
"peaE 168   plots 2","012","IL23-1614 oatE 164","NDP121711R"
"peaE 168   plots 2","275","IL23-971 oatE 130","NDP121711R"
"peaE 169   plots 2","206","IL23-3661 oatE 232","NDP121714R"
"peaE 169   plots 2","262","IL19-3661 oatE 9","NDP121714R"
"peaE 173   plots 2","171","IL23-971 oatE 130","NDP150084Y"
"peaE 173   plots 2","195","IL23-963 oatE 128","NDP150084Y"
"peaE 176   plots 2","265","IL23-250 oatE 83","NDP150179Y"
"peaE 176   plots 2","285","IL23-551 oatE 104","NDP150179Y"
"peaE 177   plots 2","066","IL23-1663 oatE 180","NDP150210Y"
"peaE 177   plots 2","179","IL23-1847 oatE 191","NDP150210Y"
"peaE 182   plots 2","050","IL23-236 oatE 81","NDP150231Y"
"peaE 182   plots 2","344","IL23-4252 oatE 261","NDP150231Y"
"peaE 183   plots 2","205","IL23-1623 oatE 168","NDP150232Y"
"peaE 183   plots 2","352","IL23-4572 oatE 274","NDP150232Y"
"peaE 189   plots 2","032","IL23-4063 oatE 256","NDP160153Y"
"peaE 189   plots 2","385","IL23-1348 oatE 142","NDP160153Y"
"peaE 190   plots 2","313","IL23-4835 oatE 280","NDP160188Y"
"peaE 190   plots 2","333","IL23-3337 oatE 217","NDP160188Y"
"peaE 191   plots 2","030","IL23-360 oatE 90","NDP170001G"
"peaE 191   plots 2","393","IL23-2371 oatE 203","NDP170001G"
"peaE 193   plots 2","129","IL23-1228 oatE 139","NDP170006G"
"peaE 193   plots 2","370","IL23-669 oatE 111","NDP170006G"
"peaE 195   plots 2","281","IL23-1655 oatE 177","NDP170011G"
"peaE 195   plots 2","329","IL23-1206 oatE 136","NDP170011G"
"peaE 201   plots 2","229","IL20-746 oatE 25","NDP170031G"
"peaE 201   plots 2","269","IL22-2364 oatE 59","NDP170031G"
"peaE 205   plots 2","305","IL22-6264 oatE 80","NDP170052G"
"peaE 205   plots 2","388","IL21-8143 oatE 49","NDP170052G"
"peaE 206   plots 2","155","IL23-1348 oatE 142","NDP170054Y"
"peaE 206   plots 2","235","IL23-2443 oatE 204","NDP170054Y"
"peaE 207   plots 2","310","IL23-4572 oatE 274","NDP170056G"
"peaE 207   plots 2","315","IL21-4011 oatE 36","NDP170056G"
"peaE 208   plots 2","031","IL23-763 oatE 114","NDP170057G"
"peaE 208   plots 2","366","IL19-511 oatE 4","NDP170057G"
"peaE 209   plots 2","209","IL22-3146 oatE 63","NDP170084G"
"peaE 209   plots 2","400","IL22-6261 oatE 79","NDP170084G"
"peaE 215   plots 2","019","IL23-4575 oatE 275","NDP170110Y"
"peaE 215   plots 2","355","IL23-551 oatE 104","NDP170110Y"
"peaE 216   plots 2","118","IL23-524 oatE 102","NDP170111G"
"peaE 216   plots 2","180","IL23-943 oatE 124","NDP170111G"
"peaE 219   plots 2","034","IL19-4877 oatE 11","NDP170153Y"
"peaE 219   plots 2","353","IL23-1631 oatE 170","NDP170153Y"
